fps,value_loss,true_reward,clipfrac,policy_entropy,explained_variance,approxkl,serial_timesteps,n_updates,ep_len_mean,time_elapsed,policy_loss,total_timesteps,ep_reward_mean
7839,52.5071,-0.50674206,0.025618,5.6715693,0.01614081859588623,0.0034158824,500,1,27.78,0.0202329158782959,-0.0038948264,50000,-5.239615862344508
8009,32.72878,-0.49426833,0.030227995,5.675674,0.05487418174743652,0.0034675514,1000,2,26.64,7.011380672454834,-0.0041820197,100000,-4.311242409319166
8159,31.550287,-0.4844783,0.024120007,5.674307,0.06437242031097412,0.0032487824,1500,3,28.99,13.81637692451477,-0.003497772,150000,-5.623720404559717
8031,24.527277,-0.46832064,0.025304003,5.6750426,0.148628830909729,0.0031693382,2000,4,28.94,20.51261806488037,-0.0037310303,200000,-4.888476915338305
7726,27.220705,-0.48003778,0.023774004,5.682487,0.14684462547302246,0.003092337,2500,5,29.12,27.353741884231567,-0.0038710558,250000,-4.214216397834898
8154,65.37373,-0.48687673,0.017242,5.6733055,0.02906930446624756,0.0026456253,3000,6,28.15,34.35016846656799,-0.0031184168,300000,-4.131111124361069
7927,22.79561,-0.46859095,0.029190004,5.6756682,0.2040560245513916,0.0033059714,3500,7,27.94,41.14619278907776,-0.0039938563,350000,-5.581646691895348
8099,20.09359,-0.45685452,0.023600005,5.6873546,0.24444055557250977,0.0030481985,4000,8,28.86,48.052218198776245,-0.0034830328,400000,-4.061233878553467
7831,21.950762,-0.4657855,0.035556007,5.694637,0.2036547064781189,0.0037822223,4500,9,29.61,54.47409462928772,-0.004551159,450000,-5.1714490834266735
7767,21.10091,-0.4535425,0.031928,5.712522,0.20098590850830078,0.0034628422,5000,10,25.44,61.29840803146362,-0.0034681293,500000,-3.496806101362381
7929,37.145496,-0.49933594,0.025590003,5.7201543,0.1018059253692627,0.0031767217,5500,11,31.29,68.36821842193604,-0.0038160316,550000,-7.314367228283954
7956,16.036022,-0.448116,0.029509999,5.7178645,0.3100839853286743,0.0034450334,6000,12,25.91,75.30820751190186,-0.0039050644,600000,-4.13121455131637
7633,12.268367,-0.43596095,0.03417201,5.720043,0.45699697732925415,0.0038027498,6500,13,29.45,81.99382996559143,-0.004111187,650000,-5.74027942608198
8221,12.426423,-0.42940065,0.026283996,5.7165136,0.38366538286209106,0.0033126727,7000,14,29.19,89.16581559181213,-0.0037428015,700000,-5.049086068643869
7993,34.746925,-0.46039596,0.027434003,5.728915,0.061286211013793945,0.003277986,7500,15,34.5,95.6865873336792,-0.0043964772,750000,-6.248214631569408
8106,12.041683,-0.4289479,0.033062004,5.7381716,0.4005269408226013,0.0036236166,8000,16,29.01,102.5733745098114,-0.0039755707,800000,-4.706153807629017
7921,10.631026,-0.41903868,0.03137001,5.736891,0.3958895802497864,0.0036971983,8500,17,32.76,109.22807693481445,-0.0038348201,850000,-5.952573941601499
7985,32.75743,-0.42379406,0.021035997,5.7511964,0.10596424341201782,0.0029358675,9000,18,26.77,116.02646565437317,-0.0030896699,900000,-3.3077696110106443
7765,7.2069983,-0.39925203,0.029398002,5.7683163,0.5071975588798523,0.0033371686,9500,19,31.34,122.87588214874268,-0.0040551666,950000,-4.071623044778462
7956,6.742293,-0.3960316,0.037598006,5.758707,0.5246984660625458,0.0041752825,10000,20,30.27,129.7659342288971,-0.0043696584,1000000,-4.876729202428833
7784,36.14877,-0.42381677,0.020417998,5.76242,0.09681224822998047,0.0029326356,10500,21,29.74,136.5992887020111,-0.0039558276,1050000,-3.918331765758412
7891,8.92613,-0.39807457,0.035086002,5.774046,0.3603987693786621,0.003728,11000,22,28.82,143.64337372779846,-0.0042433394,1100000,-3.1043426627393456
7893,5.048709,-0.3794429,0.03463999,5.7685976,0.5442582964897156,0.003761988,11500,23,31.66,150.59693956375122,-0.0044691795,1150000,-4.480438600950274
7898,5.174986,-0.37337294,0.034057997,5.7661924,0.5260104238986969,0.0037843706,12000,24,32.97,157.30154395103455,-0.004368809,1200000,-4.45065126874164
7864,5.356634,-0.36518008,0.032008,5.7724695,0.5146710276603699,0.0036019275,12500,25,44.0,164.1556601524353,-0.004223118,1250000,-5.6464003210466585
8185,3.8356233,-0.3691621,0.035800003,5.7676105,0.5177967846393585,0.0040198565,13000,26,28.58,170.87793040275574,-0.004619843,1300000,-3.049118742261544
7865,15.508742,-0.37898698,0.02965,5.7632036,0.18180495500564575,0.0035770992,13500,27,37.65,177.61329293251038,-0.004184871,1350000,-4.410774754395424
7845,4.463449,-0.35404915,0.031815995,5.7625804,0.5047088265419006,0.003661742,14000,28,31.09,184.65729141235352,-0.0045193024,1400000,-2.9377929160510394
8011,4.2644653,-0.34315977,0.030716002,5.753671,0.5361877083778381,0.003679946,14500,29,37.46,191.42896842956543,-0.004136678,1450000,-2.956792015373358
8025,6.3172016,-0.34836382,0.026429996,5.7423396,0.395682156085968,0.0035260362,15000,30,41.96,198.21080803871155,-0.0038272245,1500000,-5.343006276337806
8118,22.341778,-0.36510453,0.020125994,5.738227,0.09737265110015869,0.0028997466,15500,31,44.73,205.03317499160767,-0.003199591,1550000,-5.456589532407961
8133,4.8944645,-0.33195025,0.030584002,5.7393703,0.48797518014907837,0.0034619411,16000,32,58.96,211.83150911331177,-0.0046498687,1600000,-8.471285398132805
