serial_timesteps,policy_loss,approxkl,ep_reward_mean,n_updates,fps,ep_len_mean,explained_variance,true_reward,total_timesteps,clipfrac,value_loss,policy_entropy,time_elapsed
500,-0.0055017835,0.005377087,-45.814271697951824,1,9691,41.42,0.0024952292442321777,-0.8617669,50000,0.060952,388.62024,5.690013,0.0025682449340820312
1000,-0.0049736146,0.0047960584,-7.065348875924901,2,9912,31.91,0.008456587791442871,-0.7178934,100000,0.052438002,171.8423,5.7433205,5.946901082992554
1500,-0.005544725,0.004722707,-73.08314668176762,3,9905,39.05,0.011995434761047363,-0.9005648,150000,0.051194,445.2386,5.7992725,11.56369137763977
2000,-0.0055202926,0.005192356,-23.491864145071304,4,9896,36.31,0.029513120651245117,-0.68792546,200000,0.05795001,121.18667,5.82818,17.153300762176514
2500,-0.0049005495,0.0048353216,-31.415403572499272,5,9875,34.21,0.024295330047607422,-0.8076376,250000,0.048898,293.22995,5.8363495,22.524118661880493
3000,-0.0051044566,0.004990109,-14.792389502840598,6,9922,35.58,0.03414374589920044,-0.7567879,300000,0.053862013,217.26765,5.8658586,28.143391609191895
3500,-0.0052882796,0.0050961007,-7.347025388556067,7,9866,31.91,0.06178313493728638,-0.68771976,350000,0.054861993,149.92949,5.891913,33.65867471694946
4000,-0.0050327247,0.004463696,-29.690123624198733,8,9928,36.54,0.06640744209289551,-0.7185094,400000,0.046904,150.88152,5.9364142,39.30421543121338
4500,-0.0055174953,0.0047586896,-17.659747360883888,9,9906,36.28,0.06956833600997925,-0.72188544,450000,0.050396018,180.06796,5.969269,44.837021827697754
5000,-0.004743647,0.0046645543,-18.586557947874898,10,9900,34.43,0.06910979747772217,-0.74984443,500000,0.04973401,188.39015,6.000614,50.460169076919556
5500,-0.0053510224,0.0049651726,-8.345874741182051,11,9900,32.04,0.10908156633377075,-0.66998494,550000,0.054436002,96.490295,6.034674,56.044182538986206
6000,-0.004983282,0.004644471,-10.792744258343664,12,9896,30.79,0.12327224016189575,-0.670264,600000,0.047744,101.35222,6.0476403,61.58612084388733
6500,-0.005508685,0.0047307382,-20.772403602451597,13,9927,39.62,0.12741172313690186,-0.6693745,650000,0.049921993,91.92999,6.086315,67.3038899898529
7000,-0.004911355,0.004625492,-20.40182422372176,14,9973,34.17,0.09572100639343262,-0.6988188,700000,0.047828015,149.75024,6.1056557,72.84756207466125
7500,-0.0060793925,0.00496472,-11.279996751411964,15,9962,30.04,0.241968035697937,-0.59873754,750000,0.053290006,41.868443,6.119864,78.31348204612732
8000,-0.005746339,0.0046381387,-6.734544052636032,16,9921,30.39,0.12394273281097412,-0.6254549,800000,0.048062,76.0781,6.1485834,83.86856007575989
8500,-0.005761757,0.0049728365,-6.047272180374257,17,9929,28.56,0.10881197452545166,-0.63495475,850000,0.054627996,85.52835,6.1970973,89.50430011749268
9000,-0.006191917,0.005254362,-8.544974516703878,18,9856,34.5,0.27431952953338623,-0.5717768,900000,0.057168007,32.06405,6.20526,95.16547203063965
9500,-0.0050288993,0.00504634,-5.377807524688542,19,9871,31.09,0.29880398511886597,-0.54482454,950000,0.055111993,26.729145,6.215301,100.6236732006073
10000,-0.0055524935,0.004966219,-5.834860407357119,20,9945,32.02,0.23218697309494019,-0.5412288,1000000,0.05393001,32.42677,6.2520423,106.20399260520935
10500,-0.004820804,0.0046793045,-5.205794479268516,21,9943,29.07,0.18602901697158813,-0.53940237,1050000,0.049673997,36.626343,6.2903175,111.71666431427002
11000,-0.004790938,0.004807739,-4.887560593545641,22,9923,30.84,0.10847944021224976,-0.5338897,1100000,0.051176008,59.93751,6.32973,117.30572366714478
11500,-0.005346217,0.00501746,-4.615044616559462,23,9874,29.05,0.2898977994918823,-0.5048537,1150000,0.054940004,19.765814,6.345781,122.8575189113617
12000,-0.0058362545,0.005144906,-4.9227214233792616,24,9956,28.37,0.5057658553123474,-0.48548487,1200000,0.057839993,8.828164,6.351166,128.39738154411316
12500,-0.0044129943,0.00482292,-5.081940943880586,25,9927,28.97,0.312752902507782,-0.49152878,1250000,0.051995993,15.499526,6.3598847,134.00478768348694
13000,-0.006401249,0.005008294,-6.322165815046828,26,9932,30.67,0.41657865047454834,-0.49464473,1300000,0.054273993,12.276416,6.3713727,139.55631756782532
13500,-0.005332264,0.0053590126,-6.880561534059002,27,9925,36.78,0.30536484718322754,-0.48418745,1350000,0.059044015,17.207798,6.3652363,144.91137957572937
14000,-0.005689469,0.0051459707,-7.047293388790113,28,9927,36.43,0.5235044658184052,-0.46074376,1400000,0.05693799,7.2667294,6.3551292,150.43846535682678
14500,-0.004492507,0.005284854,-8.530282564073786,29,9905,31.82,0.3681088089942932,-0.46060652,1450000,0.058210015,10.570849,6.342981,156.09097337722778
15000,-0.005578007,0.0053695887,-4.436548360981396,30,9907,31.82,0.6826406121253967,-0.44125882,1500000,0.061528005,3.4694943,6.336154,161.7880208492279
15500,-0.0050349156,0.0053846193,-5.661625927214245,31,9903,34.27,0.5225694179534912,-0.43939528,1550000,0.060215995,6.2846136,6.334051,167.28812170028687
16000,-0.005994211,0.005783734,-4.276420879110065,32,9906,35.97,0.7652551233768463,-0.42017633,1600000,0.06681199,1.9342864,6.315602,172.6458809375763
16500,-0.0052811084,0.005788843,-3.041107689874739,33,9923,34.57,0.7670067548751831,-0.40864503,1650000,0.065548,1.9769483,6.2938013,177.91504859924316
17000,-0.005488029,0.0056219157,-3.0241764227671046,34,9948,32.9,0.6287947297096252,-0.40611142,1700000,0.06379602,3.1606627,6.275766,183.6177921295166
17500,-0.002394206,0.004751454,-4.671663788194856,35,9918,31.16,0.13798147439956665,-0.4204244,1750000,0.046797995,25.3875,6.254077,189.07977938652039
