policy_entropy,value_loss,serial_timesteps,n_updates,total_timesteps,policy_loss,clipfrac,explained_variance,ep_len_mean,ep_reward_mean,time_elapsed,approxkl,fps,true_reward
5.6763964,40.76992,500,1,50000,-0.0039362167,0.038876005,0.0027607083320617676,28.06,-7.897089143156918,0.002703428268432617,0.003620319,11411,-0.5794582
5.678359,34.69767,1000,2,100000,-0.0027012834,0.022604,0.03848034143447876,28.54,-7.184925729506431,4.581069469451904,0.002389053,11409,-0.54137397
5.6825256,28.360006,1500,3,150000,-0.0006971171,0.013841999,0.1011238694190979,30.35,-7.452909233347237,9.088043928146362,0.0021330502,10583,-0.50546366
5.683159,25.243841,2000,4,200000,-0.00085964275,0.05916,0.1450037956237793,30.2,-6.51174731195184,13.872427701950073,0.00472843,11438,-0.48554927
5.6820292,23.371384,2500,5,250000,0.0007727427,0.04269,0.19108128547668457,24.95,-4.932150837127993,18.312366247177124,0.0038754835,10965,-0.47675243
5.679385,21.948425,3000,6,300000,-0.0002178972,0.09295,0.2338266372680664,25.79,-4.824565966532519,22.93225336074829,0.006916353,11487,-0.47261313
5.679026,19.965368,3500,7,350000,0.0045601805,0.108991995,0.2660137414932251,30.91,-6.377976080696153,27.352555751800537,0.008062418,11922,-0.46210507
5.6798525,19.162577,4000,8,400000,0.0044050766,0.165086,0.2926459312438965,27.92,-5.73065297464962,31.60527014732361,0.01312943,10724,-0.46249107
5.6841826,17.397644,4500,9,450000,0.005433305,0.11352201,0.318774938583374,32.35,-6.887772555051197,36.335649251937866,0.0085646855,11533,-0.45420027
5.6874685,17.239172,5000,10,500000,0.0015681239,0.126164,0.34635937213897705,26.77,-5.347281198825222,40.733322620391846,0.009152761,12067,-0.45966437
5.6889505,15.474933,5500,11,550000,0.0044111507,0.080622,0.3683117628097534,29.98,-5.370913829474635,44.93676137924194,0.006156236,12453,-0.44500798
5.6853447,15.41773,6000,12,600000,0.00072847994,0.116398014,0.37859392166137695,28.97,-5.64227133279679,49.010542154312134,0.008865182,11424,-0.4544381
5.6824284,14.059471,6500,13,650000,0.005524313,0.087978,0.3784773349761963,30.22,-5.867667824688906,53.447489500045776,0.006768491,12105,-0.44664344
5.683068,13.497404,7000,14,700000,0.0008157946,0.098504,0.4029211401939392,28.46,-5.273156650931705,57.63678741455078,0.007472227,11883,-0.45042768
5.6780686,12.542242,7500,15,750000,0.0041813543,0.077854,0.4060128927230835,30.35,-5.557294909699558,61.90890669822693,0.0060018455,12224,-0.44523117
5.6747427,11.580046,8000,16,800000,9.472657e-05,0.063582,0.4210118055343628,31.44,-5.851759662033655,66.07036781311035,0.005015525,10865,-0.44228074
5.6703944,11.12572,8500,17,850000,0.0027984404,0.055882,0.4100135564804077,28.25,-5.253271349829156,70.74195289611816,0.0044989185,11642,-0.4451444
5.6665564,10.076381,9000,18,900000,0.00097296305,0.075389996,0.4351315498352051,27.1,-5.329941148474172,75.10010123252869,0.0057795057,12903,-0.44427156
5.663078,9.7809925,9500,19,950000,0.0041981074,0.094236,0.3939518928527832,29.85,-6.148284877067854,79.07670879364014,0.007086666,11228,-0.44682345
5.66079,8.448611,10000,20,1000000,0.0022350727,0.090924,0.4215701222419739,24.82,-4.481069135250873,83.5883138179779,0.0067539834,11923,-0.4382799
5.6612988,8.050237,10500,21,1050000,0.0054949922,0.118286,0.40846407413482666,29.94,-5.507452511686279,87.85814428329468,0.009039131,11425,-0.43734792
5.6607676,7.2005067,11000,22,1100000,0.0034449324,0.098749995,0.41201502084732056,26.59,-5.03714486896366,92.33013129234314,0.007309439,11921,-0.4380093
5.66286,7.0383925,11500,23,1150000,0.0043451176,0.12146,0.3432660698890686,29.83,-5.430216806773447,96.58502435684204,0.009269129,11733,-0.43827495
5.6651926,6.363761,12000,24,1200000,0.0030525776,0.09100799,0.3667588233947754,28.84,-4.684146718898628,100.90724086761475,0.006697125,11745,-0.43392813
5.667138,5.805191,12500,25,1250000,0.002742234,0.101724006,0.3483310341835022,30.45,-5.6014230665680955,105.22516322135925,0.0075949105,11468,-0.4311873
5.667589,5.396434,13000,26,1300000,0.0024823856,0.091628,0.3170474171638489,28.88,-5.154775122825012,109.66916513442993,0.0067756213,11753,-0.43137333
5.6666517,4.9638605,13500,27,1350000,0.0017900842,0.084836,0.27567577362060547,29.38,-5.103595417071774,113.98351454734802,0.0063032983,12304,-0.43078312
5.666436,4.6087313,14000,28,1400000,0.002107861,0.067444,0.23211795091629028,28.86,-4.955147738734377,118.10968351364136,0.005133021,10641,-0.43138453
5.6640244,4.2617846,14500,29,1450000,0.001672135,0.062848,0.1955658197402954,30.86,-5.74898909964093,122.86935639381409,0.0048150625,11474,-0.42984265
5.660618,4.0223813,15000,30,1500000,0.00050779566,0.044624,0.15733474493026733,28.29,-4.187104025924418,127.28909420967102,0.003744827,12096,-0.4327551
5.654161,3.6242347,15500,31,1550000,0.000594732,0.030952001,0.12828952074050903,28.36,-4.816402558930858,131.49428534507751,0.0029341592,11577,-0.42792383
5.647722,3.3115234,16000,32,1600000,-0.0003290755,0.012912,0.10531365871429443,29.63,-5.455416969058991,135.89197874069214,0.0018305692,10906,-0.42826203
5.6432467,2.921863,16500,33,1650000,-0.0006390085,0.001206,0.010466933250427246,30.5,-5.486081727161508,140.53789710998535,0.00071636913,11122,-0.4251093
5.6376605,2.6059165,17000,34,1700000,-0.0004588316,1.19999995e-05,0.01931607723236084,30.42,-5.076959127473311,145.0949423313141,0.00033756119,11677,-0.41947773
5.631628,2.4472194,17500,35,1750000,-0.0005490196,1.19999995e-05,-0.026354551315307617,30.26,-5.288982908716862,149.43858170509338,0.00032693218,10593,-0.4189534
5.627186,2.2744296,18000,36,1800000,-0.0007164079,4e-06,-0.06198084354400635,27.31,-4.611469833153096,154.22145652770996,0.00030119912,11594,-0.42130223
5.6222296,2.0291362,18500,37,1850000,-0.000566937,8.4e-05,-0.11507797241210938,30.16,-4.919484969611876,158.59693264961243,0.00040949936,11497,-0.4177491
5.6183634,1.8088499,19000,38,1900000,-0.0005980159,7.6e-05,-0.15440058708190918,31.45,-5.191265585770506,163.00578927993774,0.0003399415,11166,-0.41074225
