fps,n_updates,value_loss,ep_reward_mean,approxkl,policy_loss,clipfrac,serial_timesteps,time_elapsed,policy_entropy,explained_variance,ep_len_mean,true_reward,total_timesteps
8435,1,147.04306,-5.825337603387015,0.0056126094,-0.00630465,0.063410014,500,0.0026102066040039062,5.71184,0.0040757060050964355,26.27,-0.60159385,50000
7684,2,47.51974,-5.535022123689705,0.005313756,-0.0054367655,0.059656,1000,6.550042390823364,5.739942,0.042360007762908936,24.2,-0.5448427,100000
7957,3,40.48427,-6.785762133135868,0.005859762,-0.005169177,0.06662999,1500,13.49191927909851,5.7352333,0.09956437349319458,27.24,-0.5347529,150000
8049,4,56.24911,-9.866303356551798,0.0053342553,-0.006113155,0.058877993,2000,20.382317543029785,5.762166,0.0771825909614563,29.79,-0.54869354,200000
8149,5,46.164272,-5.852944434268065,0.0052409293,-0.0057915305,0.05811001,2500,27.04891037940979,5.7865734,0.11327803134918213,27.41,-0.5335988,250000
7741,6,32.706398,-3.6511279946918513,0.0057458943,-0.006490286,0.067131996,3000,33.72723937034607,5.802168,0.22304832935333252,23.88,-0.5193063,300000
8359,7,46.06752,-4.208744796553583,0.0049722632,-0.0047579445,0.052915998,3500,40.50251793861389,5.824086,0.13511967658996582,26.57,-0.5262479,350000
7896,8,45.954926,-8.053010835895838,0.005377053,-0.0061117653,0.05543399,4000,47.12166094779968,5.843711,0.14785802364349365,29.29,-0.52861416,400000
8375,9,39.923748,-8.028382763838962,0.004871431,-0.005715112,0.050988004,4500,53.989893198013306,5.8585606,0.1892552375793457,30.6,-0.5165892,450000
7999,10,29.265118,-5.6253342491802325,0.0052970005,-0.0064911367,0.060211997,5000,60.60905170440674,5.889592,0.30651265382766724,28.98,-0.5097057,500000
7661,11,26.68786,-7.300490942355245,0.0055989427,-0.005966807,0.06412201,5500,67.44246029853821,5.8985577,0.33422499895095825,29.31,-0.5011292,550000
7794,12,26.119736,-5.76772949153019,0.005572224,-0.0052062804,0.06375799,6000,74.630362033844,5.905962,0.3645443916320801,31.44,-0.50450456,600000
8129,13,59.287445,-5.107607769180395,0.0050658644,-0.005778,0.056033988,6500,81.66870307922363,5.9493933,0.1734243631362915,30.41,-0.5390212,650000
8149,14,15.171433,-4.377163335077421,0.0058401944,-0.005896109,0.068836,7000,88.3182692527771,5.9689507,0.5001424551010132,27.27,-0.47359508,700000
8061,15,17.725658,-5.020596975640947,0.0058842264,-0.0066334074,0.068501994,7500,95.08492541313171,5.9692583,0.3983432650566101,32.24,-0.46659812,750000
7969,16,15.563027,-5.643780994761019,0.0056025553,-0.0066761523,0.06435002,8000,101.88859939575195,5.978517,0.4666318893432617,29.76,-0.46214837,800000
7930,17,12.460384,-5.155324473746787,0.005710114,-0.005798668,0.06617001,8500,108.54327750205994,5.9785347,0.5003395676612854,27.98,-0.45952126,850000
8039,18,11.360604,-4.462135002113482,0.0056625307,-0.0060122674,0.06378999,9000,115.24139785766602,5.96174,0.5168980360031128,34.86,-0.4425416,900000
7900,19,10.251553,-4.874431568383079,0.0059789326,-0.006668597,0.07104199,9500,121.91773295402527,5.971758,0.5239752233028412,31.61,-0.44110906,950000
7853,20,8.622675,-5.909724381832202,0.0057153874,-0.0064965044,0.065823995,10000,128.64922881126404,5.972739,0.5588341951370239,36.83,-0.4314665,1000000
7861,21,10.58436,-4.783767386332329,0.0055671404,-0.006313205,0.062258005,10500,135.42909216880798,5.974232,0.4152867794036865,31.14,-0.43739587,1050000
7700,22,6.748426,-3.7820989790904607,0.006024171,-0.0072196005,0.071826,11000,142.35927844047546,5.97234,0.5956719815731049,31.76,-0.40458843,1100000
7668,23,5.574799,-3.260506982711145,0.005983542,-0.0068670716,0.070666,11500,149.43501663208008,5.9632473,0.5975319445133209,29.83,-0.40475914,1150000
8142,24,8.672329,-6.5436141545401645,0.005411244,-0.006168046,0.06121,12000,156.58739972114563,5.9651747,0.4231516718864441,40.04,-0.4078397,1200000
7828,25,5.420476,-4.1351964294836945,0.005843384,-0.0065305517,0.068511985,12500,163.33421897888184,5.963174,0.6069999635219574,32.87,-0.39214978,1250000
8290,26,4.931311,-5.337733489961247,0.0055410624,-0.0059875124,0.063828,13000,170.26979684829712,5.971839,0.5326246619224548,36.87,-0.39300594,1300000
7805,27,4.511542,-4.305188738642464,0.00576949,-0.006226914,0.067839995,13500,176.70698428153992,5.9781513,0.6124511659145355,32.07,-0.38518184,1350000
