serial_timesteps,explained_variance,approxkl,ep_reward_mean,policy_entropy,value_loss,true_reward,policy_loss,fps,total_timesteps,time_elapsed,ep_len_mean,n_updates,clipfrac
500,0.0039675235748291016,0.003317509,-11.48890282961278,5.692212,265.86234,-0.7248867,-0.0041858326,7844,50000,0.002532482147216797,35.0,1,0.029516
1000,0.02611362934112549,0.0034417193,-8.365755454526134,5.7086906,57.44952,-0.57963073,-0.0042852852,8034,100000,7.146282196044922,28.87,2,0.029479992
1500,0.007999420166015625,0.003114146,-21.096739026231297,5.708038,125.43044,-0.63956904,-0.003653509,8227,150000,13.851113319396973,34.84,3,0.022252
2000,0.009018361568450928,0.002421024,-18.47721121097602,5.7129784,126.9033,-0.61555374,-0.0028375122,8340,200000,20.487087726593018,32.85,4,0.015003998
2500,0.03209328651428223,0.0028896153,-11.738914273693867,5.7216125,61.98181,-0.57465136,-0.003981146,7969,250000,27.086214303970337,32.9,5,0.020890005
3000,0.022266745567321777,0.0032539794,-12.721529426402412,5.7273893,99.98898,-0.6095385,-0.0038749487,8455,300000,33.88809561729431,32.44,6,0.026166007
3500,0.04685181379318237,0.003092042,-6.182237677543653,5.7341466,63.01069,-0.57907623,-0.003281287,8138,350000,40.393646240234375,27.95,7,0.0251
4000,0.07111126184463501,0.0027642867,-14.31554751879994,5.76052,61.312782,-0.57633483,-0.0041093654,8061,400000,46.97330069541931,36.02,8,0.020756
4500,0.09342539310455322,0.0028732237,-5.733996834460704,5.788853,50.161327,-0.57126737,-0.003318163,8091,450000,53.628337383270264,27.13,9,0.021009997
5000,0.07203495502471924,0.0031293272,-6.396306377388956,5.81187,54.334286,-0.56757283,-0.0037695211,8242,500000,60.33942651748657,28.2,10,0.025172003
5500,0.12292587757110596,0.0031968644,-7.066899189910146,5.8215747,43.771786,-0.5661004,-0.0041162334,8122,550000,67.06128644943237,30.09,11,0.026184
6000,0.047434985637664795,0.002829739,-9.31930425470351,5.8222976,86.15452,-0.5824449,-0.004360949,8188,600000,73.72979497909546,31.86,12,0.020997996
6500,0.23558181524276733,0.0031328348,-5.562031196729004,5.8283544,25.976963,-0.52435666,-0.00404488,8308,650000,80.39515590667725,29.44,13,0.024478
7000,0.04323291778564453,0.0027109748,-4.893091479327995,5.8225374,86.45797,-0.57290846,-0.002998849,8271,700000,86.91707992553711,24.86,14,0.016701998
7500,0.16481947898864746,0.002742262,-5.280388761387135,5.826044,30.335543,-0.5136572,-0.003930005,8214,750000,93.48622012138367,29.87,15,0.019618
8000,0.057452380657196045,0.002701575,-5.358338519108075,5.8457227,70.22718,-0.53805643,-0.003150256,8244,800000,100.22212219238281,30.96,16,0.021182
8500,0.25272423028945923,0.0032931638,-8.175176545374397,5.865426,21.677568,-0.5041839,-0.0044712857,8346,850000,106.87985801696777,34.52,17,0.027927995
9000,0.33758270740509033,0.0033465966,-7.221055520393475,5.8691077,15.723495,-0.49066243,-0.0038766447,8300,900000,113.46813583374023,33.42,18,0.025909998
9500,0.39315032958984375,0.0035469502,-4.076546218465519,5.8695793,13.532943,-0.47118378,-0.004629091,8364,950000,120.05624723434448,29.58,19,0.030591998
10000,0.255187451839447,0.0033298298,-6.70721465059285,5.871673,17.923874,-0.47415254,-0.003309876,8054,1000000,126.68339824676514,33.11,20,0.02655201
10500,0.21176230907440186,0.0031908187,-5.601489447351964,5.887099,20.361439,-0.47403008,-0.0038893998,8133,1050000,133.48770999908447,30.63,21,0.025424004
11000,0.4466511607170105,0.0033709276,-4.46561165225532,5.8938737,10.051731,-0.45720828,-0.003993836,7852,1100000,140.142502784729,30.39,22,0.026984
11500,0.13230067491531372,0.0031074518,-4.255236828894977,5.900434,29.024092,-0.45956516,-0.0036443835,8322,1150000,147.099463224411,32.96,23,0.025842004
12000,0.3632355332374573,0.0035022506,-4.972847866785364,5.899477,11.048461,-0.44010708,-0.003881763,8731,1200000,153.7044312953949,33.84,24,0.029465996
12500,0.34478241205215454,0.0037419107,-6.353385711770243,5.8848557,10.831037,-0.4309454,-0.004250142,8285,1250000,160.08476042747498,33.75,25,0.033217996
13000,0.38205331563949585,0.003444866,-4.419622737752288,5.8797193,9.204973,-0.42509937,-0.004164643,8247,1300000,166.70167064666748,36.41,26,0.027963996
13500,0.3923208713531494,0.0035165434,-6.7776936950877875,5.8796926,9.642488,-0.41944003,-0.004102378,8184,1350000,173.43054699897766,38.12,27,0.028464
14000,0.48665887117385864,0.0036906954,-4.34390280148049,5.877254,7.210759,-0.4072303,-0.004426334,8165,1400000,180.14792919158936,36.61,28,0.032151997
14500,0.3004208207130432,0.0034244424,-5.729407080233777,5.8815727,10.595321,-0.40068614,-0.0035254883,8377,1450000,186.85849595069885,44.92,29,0.028303996
15000,0.33949124813079834,0.003506743,-8.446599306219214,5.8826165,10.04287,-0.39365208,-0.0037831278,8384,1500000,193.3686819076538,43.35,30,0.028432
15500,0.4757121205329895,0.0032104522,-6.950881474528672,5.875244,6.528118,-0.40115374,-0.004068534,8299,1550000,199.92867970466614,44.77,31,0.025599994
16000,0.3407508134841919,0.0033832237,-6.993476139456456,5.8748884,9.665632,-0.3807311,-0.00430486,8129,1600000,206.47358798980713,47.66,32,0.027346004
16500,0.43959033489227295,0.0033727458,-6.015975334432987,5.8793025,7.612954,-0.3870456,-0.004129464,8295,1650000,213.02114033699036,49.58,33,0.026407992
17000,0.11188489198684692,0.0028880779,-8.636815128562358,5.8763065,31.86161,-0.42675653,-0.003897904,8589,1700000,219.55023884773254,50.54,34,0.019387998
17500,0.09588050842285156,0.0028137227,-10.333999815548122,5.8753943,45.44993,-0.40761712,-0.0028129546,8113,1750000,226.01047372817993,56.93,35,0.019194001
18000,0.14190250635147095,0.0026095414,-8.402735567997953,5.88017,31.264793,-0.40270573,-0.0032649292,8536,1800000,232.67325139045715,65.6,36,0.017541997
18500,0.1903941035270691,0.0024509507,-11.764586721941669,5.8888335,25.245132,-0.40114933,-0.0038135806,8094,1850000,238.98132228851318,61.5,37,0.017636003
19000,0.14497101306915283,0.0027340732,-9.883468963522027,5.9017277,40.83437,-0.40272078,-0.0031726584,8340,1900000,245.52046585083008,63.07,38,0.018761998
19500,0.13590967655181885,0.0026078632,-22.390204754396017,5.9128156,52.135567,-0.43301845,-0.003671225,8542,1950000,251.9867763519287,79.64,39,0.018521996
20000,0.26843923330307007,0.0031311894,-10.22517030898145,5.9350514,29.165825,-0.40512124,-0.0039777067,8277,2000000,258.36252188682556,65.68,40,0.023740003
20500,0.10274410247802734,0.0024595335,-30.058753812408817,5.940008,88.0947,-0.4790712,-0.002296892,8303,2050000,264.99761724472046,89.96,41,0.014632
21000,0.18740636110305786,0.0027132384,-14.884364007519308,5.9426794,54.996323,-0.42668554,-0.0028906197,8535,2100000,271.3179249763489,87.13,42,0.018236
21500,0.14728665351867676,0.0022077567,-16.978140576400662,5.9569874,81.57942,-0.46337876,-0.0030482507,8445,2150000,277.60368752479553,77.1,43,0.013791997
22000,0.3225354552268982,0.0026499983,-13.996969161853231,5.967749,32.188423,-0.40043038,-0.003416025,8490,2200000,284.0828809738159,83.62,44,0.017974
22500,0.21130794286727905,0.0023591823,-15.356149845209679,5.967544,62.22534,-0.4304402,-0.0032169758,8465,2250000,290.5825991630554,93.59,45,0.015811998
23000,0.4735666513442993,0.0026217336,-19.204111326429846,5.9715595,15.117836,-0.36806586,-0.0027306466,8630,2300000,296.8878970146179,96.59,46,0.016941998
23500,0.42647528648376465,0.003449725,-31.076531340142136,5.971671,18.87441,-0.3535466,-0.0036180033,8213,2350000,303.27065324783325,119.05,47,0.028949995
24000,0.41004234552383423,0.0029053288,-26.139427957869056,5.9786005,26.560144,-0.36453196,-0.003595496,7938,2400000,309.9586329460144,129.69,48,0.021387996
24500,0.46811413764953613,0.0026944145,-26.204129728905965,5.985947,21.888594,-0.33580953,-0.002961759,8556,2450000,316.61160945892334,144.44,49,0.017600002
25000,0.34326374530792236,0.002628868,-48.09857497716488,5.994113,46.99879,-0.39282796,-0.003586254,8286,2500000,323.02803325653076,169.69,50,0.018568
25500,0.3813716769218445,0.003009899,-33.21773483240544,5.998884,43.364853,-0.35388035,-0.0032368838,8496,2550000,329.60591077804565,188.62,51,0.021858003
26000,0.6638709604740143,0.002766761,-22.872997474898334,6.002555,9.3644905,-0.296126,-0.0030352443,8407,2600000,335.74464440345764,176.37,52,0.021654
26500,0.6368640065193176,0.0035255826,-33.34473104640627,5.9940104,10.344337,-0.24464875,-0.0024496438,8359,2650000,342.13128209114075,246.63,53,0.028384006
27000,0.7956513017416,0.003444931,-25.492292999237424,5.9800844,4.2899723,-0.2281384,-0.0038803085,8596,2700000,348.70582818984985,262.95,54,0.029690003
27500,0.6591491401195526,0.0033557415,-22.552345587382323,5.9698315,8.726993,-0.21148059,-0.0020306325,8431,2750000,355.0382511615753,276.72,55,0.026604006
28000,0.9065859690308571,0.003209142,-14.811653312367726,5.9510555,1.5832944,-0.18739092,-0.0035970712,8263,2800000,361.4947566986084,289.05,56,0.025092
28500,0.9225622937083244,0.004696615,-13.687620387365978,5.9234815,1.301571,-0.14252864,-0.0053408444,8448,2850000,368.15865421295166,350.78,57,0.04894599
29000,0.9503715448081493,0.0041142567,-4.283480225714916,5.9047613,1.0615491,-0.14543827,-0.0042833993,8297,2900000,374.68329334259033,324.67,58,0.038983997
29500,0.8351085036993027,0.0041645076,3.576355496700895,5.8807497,4.912811,-0.11516969,-0.0033197128,8302,2950000,381.23607444763184,359.25,59,0.037027992
30000,0.9464959688484669,0.004677519,8.161017665962731,5.858529,1.5289791,-0.099991105,-0.00479644,8335,3000000,387.75317764282227,364.38,60,0.049044
30500,0.9669432863593102,0.005256875,15.73184065368804,5.821206,1.0103104,-0.041056987,-0.0067995284,8708,3050000,394.26968598365784,411.07,61,0.056948
31000,0.9755132608115673,0.0038457396,16.49114507609336,5.7822433,0.938286,-0.058281016,-0.0048148935,8308,3100000,400.6210262775421,391.64,62,0.033331994
31500,0.9663587510585785,0.0035351866,21.93667678600877,5.7592235,1.0402286,-0.014228018,-0.004906855,8136,3150000,407.1872048377991,432.01,63,0.031726
32000,0.9816073998808861,0.0045834836,21.187955380695367,5.7393556,0.7501228,-0.031746607,-0.0058182683,8396,3200000,413.8277349472046,414.22,64,0.045293994
32500,0.971425537019968,0.0037931977,23.952492757744896,5.7166944,0.92028886,-0.011550504,-0.005387083,8105,3250000,420.28405570983887,434.05,65,0.033258
33000,0.9812795929610729,0.0045488123,23.178055436066565,5.685399,0.69423276,-0.015405821,-0.0044335215,8191,3300000,427.0151927471161,424.8,66,0.042379998
33500,0.9769832845777273,0.00433896,23.959843176565464,5.649227,0.7584515,-0.00050618657,-0.004903471,7884,3350000,433.7491524219513,442.62,67,0.040041994
34000,0.9751544632017612,0.0039024637,26.609236645441616,5.622203,0.81651163,-0.004023675,-0.004659165,8205,3400000,440.68829107284546,436.58,68,0.035674
34500,0.9810170941054821,0.0048710965,25.185898725989592,5.586567,0.62433875,0.006337413,-0.0048809014,8498,3450000,447.4056718349457,448.47,69,0.047359996
35000,0.9819000568240881,0.0040050615,24.976224838589328,5.547852,0.6072326,-0.005248195,-0.0042185145,8296,3500000,453.86864972114563,436.13,70,0.034994
35500,0.9412491098046303,0.0037666007,25.39376326047478,5.5146923,1.8335131,-0.017170707,-0.0034554093,8453,3550000,460.51731967926025,423.14,71,0.027116
