policy_entropy,approxkl,true_reward,explained_variance,policy_loss,time_elapsed,clipfrac,n_updates,serial_timesteps,fps,ep_len_mean,total_timesteps,value_loss,ep_reward_mean
5.6727467,0.0040126843,-0.045655053,0.1360073685646057,-0.006452558,0.020586490631103516,0.036211994,1,500,7705,39.11,50000,0.65163046,-0.9235064870222414
5.6652064,0.003671837,-0.04586308,0.2832185626029968,-0.0050825505,7.28177285194397,0.030958004,2,1000,7698,35.91,100000,0.56680876,-0.4386109695290361
5.653778,0.0035434284,-0.044742446,0.3991578221321106,-0.0050213616,14.371596574783325,0.028949998,3,1500,7993,40.28,150000,0.50193524,-1.1087288405181608
5.643628,0.0033093514,-0.04335891,0.4811837077140808,-0.0049621817,21.243261337280273,0.026915994,4,2000,7796,40.78,200000,0.44159877,-0.8801359559888078
5.6328864,0.0037550135,-0.045007933,0.5375390350818634,-0.005519734,28.197487115859985,0.033028,5,2500,8099,38.57,250000,0.42013302,-0.5294336434920842
5.626764,0.0037999665,-0.046742696,0.5557348132133484,-0.0059251166,34.88557171821594,0.035224006,6,3000,7722,44.02,300000,0.43264732,-0.6478824744857411
5.614359,0.0035238368,-0.04382119,0.6073107421398163,-0.005329028,41.87013626098633,0.028661998,7,3500,7806,40.04,350000,0.4147704,-0.1942799919448953
5.5976796,0.0037669167,-0.04548709,0.6681607365608215,-0.005531807,48.757915019989014,0.032768,8,4000,8103,40.75,400000,0.3573636,-0.3362747528657565
5.591232,0.0035906415,-0.046805732,0.6955024302005768,-0.005543362,55.27063298225403,0.031361993,9,4500,7727,43.22,450000,0.3531366,-1.0142348857532488
5.5846515,0.0034934806,-0.043929346,0.729327380657196,-0.005432026,62.236281871795654,0.030463994,10,5000,7776,40.99,500000,0.31816447,-0.8985619829453207
5.5704527,0.0039303787,-0.03975362,0.7693271040916443,-0.0057726027,69.23150134086609,0.034810003,11,5500,7968,36.78,550000,0.28236952,-0.19866255116212414
5.554532,0.0040889713,-0.040412214,0.7760568410158157,-0.0059625446,76.09168815612793,0.037938002,12,6000,7883,37.81,600000,0.2722501,-0.2768527655107755
5.5459766,0.0039252015,-0.038404085,0.7893567234277725,-0.0061522764,82.91983008384705,0.037126,13,6500,7663,37.77,650000,0.26962912,-0.9457897567186592
5.5378356,0.0040296423,-0.03737895,0.7958737313747406,-0.005815721,89.83462071418762,0.037547998,14,7000,7789,45.66,700000,0.262947,-0.760779813164263
5.5212383,0.0038654397,-0.03476248,0.8233117759227753,-0.005463076,96.76677775382996,0.033386003,15,7500,8080,38.36,750000,0.2586234,-0.5422151539180777
5.4927306,0.0038962183,-0.03765836,0.8274510949850082,-0.0058034197,103.4469358921051,0.034862004,16,8000,7918,38.74,800000,0.24548496,-0.6528242178219079
5.455453,0.004244229,-0.036099162,0.8295246064662933,-0.0061734975,110.1963460445404,0.039960004,17,8500,7814,38.38,850000,0.2694633,-0.39631067044821977
5.4306626,0.0040293364,-0.040947605,0.8491090834140778,-0.0057320334,117.19839978218079,0.037024006,18,9000,7516,42.04,900000,0.22900437,-0.6825569784952676
5.4028306,0.0041091293,-0.034170777,0.8599263578653336,-0.006016516,124.43490266799927,0.03812,19,9500,8221,37.33,950000,0.23811512,-0.471860050512405
5.3879204,0.004206757,-0.03624165,0.8531283140182495,-0.006039887,131.01402807235718,0.040992,20,10000,7815,38.62,1000000,0.24496639,-0.044711010171486126
5.373446,0.004121944,-0.029657863,0.8739587366580963,-0.005667039,137.89407634735107,0.039236,21,10500,7928,37.38,1050000,0.24068794,-0.059912194745120356
5.35371,0.0040331264,-0.03569959,0.8781332671642303,-0.006084683,144.81249046325684,0.037534,22,11000,8102,40.52,1100000,0.22491246,-0.02479859983359347
5.3342805,0.004429404,-0.032614574,0.8731906414031982,-0.0064575886,151.5001094341278,0.043232,23,11500,8070,41.05,1150000,0.23425403,0.03863802039119037
5.3177853,0.00450047,-0.02729909,0.8869893029332161,-0.006468024,158.2394437789917,0.045678005,24,12000,7680,42.36,1200000,0.21228279,0.022260766848630736
5.29513,0.00455711,-0.029060908,0.8877452984452248,-0.0065035806,165.2856307029724,0.045104004,25,12500,8117,46.42,1250000,0.21941851,0.2010503461150802
5.276661,0.0043528485,-0.02635238,0.8930714130401611,-0.006394341,172.06004190444946,0.043031998,26,13000,7847,41.68,1300000,0.22043267,0.2923104844352929
5.2602534,0.0045080795,-0.026510455,0.8813659325242043,-0.0069107367,178.9671151638031,0.045833997,27,13500,7842,42.62,1350000,0.22988299,0.07557556731713704
5.2357526,0.0043250853,-0.026614038,0.8957508206367493,-0.0061549773,185.95596051216125,0.04167199,28,14000,7890,39.36,1400000,0.21046036,0.18896521168819164
5.204485,0.004529828,-0.022913843,0.8991084694862366,-0.0063791065,192.85591959953308,0.044426,29,14500,7651,47.47,1450000,0.21643434,0.23202820103164412
5.1741204,0.0044615027,-0.02657992,0.8990684598684311,-0.0063607395,199.83474016189575,0.043764,30,15000,7958,39.78,1500000,0.21075308,-0.09973238047867199
5.150044,0.00447149,-0.020352423,0.8955103307962418,-0.0064032967,206.6587257385254,0.045023993,31,15500,7929,35.67,1550000,0.24662088,0.04355623769719386
5.1230345,0.004537653,-0.021249443,0.9080399572849274,-0.006222446,213.56987953186035,0.045964003,32,16000,7795,38.37,1600000,0.21134602,0.44230128582479666
5.102931,0.0044924347,-0.020139372,0.9118682295084,-0.006041039,220.54049730300903,0.045959994,33,16500,8376,44.78,1650000,0.20667844,0.3660172895663709
5.0794425,0.0049844254,-0.017684735,0.9164792075753212,-0.006670922,226.98627376556396,0.05283201,34,17000,7818,41.21,1700000,0.1860316,0.18264426224599448
5.046594,0.004227595,-0.017575566,0.9115798026323318,-0.0058510317,233.8281626701355,0.038380004,35,17500,7857,42.03,1750000,0.2142728,0.17988589138083624
5.015824,0.0043647164,-0.017637089,0.9139045029878616,-0.006420502,240.67065930366516,0.043726005,36,18000,7911,42.43,1800000,0.19503677,-0.15146606392867398
4.9901237,0.0046794885,-0.017950526,0.9154019206762314,-0.0066784234,247.5355806350708,0.048349995,37,18500,7947,44.84,1850000,0.21652296,0.5771351284209232
4.9733996,0.0047081793,-0.015717188,0.9194404184818268,-0.0068916096,254.32141065597534,0.049158,38,19000,7881,44.66,1900000,0.20455544,-0.10431118328197045
