ep_len_mean,time_elapsed,true_reward,policy_loss,clipfrac,approxkl,policy_entropy,total_timesteps,value_loss,serial_timesteps,explained_variance,ep_reward_mean,fps,n_updates
37.68,0.02072429656982422,-13.58,-0.0057334895,0.034615997,0.003557798,5.6873684,50000,56245.68,500,0.00032269954681396484,-37.68,7721,1
39.45,7.246195554733276,-13.7,-0.0035700882,0.025533998,0.0032283855,5.696744,100000,56650.477,1000,0.0014632344245910645,-39.45,8004,2
41.15,13.893595457077026,-13.54,-0.004270203,0.028187998,0.003424299,5.6935716,150000,55778.48,1500,0.0029363036155700684,-41.15,7870,3
38.85,20.738043308258057,-13.7,-0.0042534275,0.030550001,0.003468439,5.6976595,200000,56338.535,2000,0.003831028938293457,-38.85,8008,4
34.01,27.58220100402832,-13.72,-0.0035046092,0.026714003,0.003307074,5.706113,250000,56261.13,2500,0.004876494407653809,-34.01,7822,5
39.64,34.28920578956604,-13.68,-0.0049570887,0.030723996,0.0035902546,5.7039933,300000,55928.566,3000,0.005639374256134033,-39.64,7949,6
40.77,41.01902222633362,-13.48,-0.004702903,0.026548002,0.0033234411,5.7035007,350000,54901.523,3500,0.005841195583343506,-40.77,7998,7
39.32,47.92120099067688,-13.64,-0.0044833724,0.026072001,0.0031283665,5.710414,400000,55469.8,4000,0.006244301795959473,-39.32,7818,8
42.81,54.80771994590759,-13.34,-0.004934641,0.030926,0.00335755,5.728622,450000,54022.69,4500,0.006361484527587891,-42.81,7932,9
41.37,61.573177099227905,-13.74,-0.004782239,0.026128002,0.0032586586,5.742609,500000,55648.49,5000,0.006364881992340088,-41.37,7922,10
38.4,68.4653332233429,-13.7,-0.004446563,0.027196,0.0033224733,5.7355957,550000,55356.67,5500,0.005970358848571777,-38.4,7837,11
37.53,75.36697268486023,-13.68,-0.004971834,0.028921999,0.0034418555,5.7328362,600000,55164.625,6000,0.005647420883178711,-37.53,7932,12
37.74,82.26894330978394,-13.62,-0.0045492565,0.027026,0.003273901,5.7451453,650000,54798.254,6500,0.005817115306854248,-37.74,7910,13
46.13,89.0557370185852,-13.42,-0.004521395,0.032569993,0.0035610052,5.759621,700000,53823.75,7000,0.00606989860534668,-46.13,8009,14
39.86,95.7109477519989,-13.58,-0.0048963544,0.030845994,0.003441803,5.768903,750000,54422.246,7500,0.00544893741607666,-39.86,7903,15
38.68,102.46194100379944,-13.64,-0.0042273714,0.025747998,0.003173925,5.7814612,800000,54592.59,8000,0.005112588405609131,-38.68,7783,16
39.81,109.41323590278625,-13.7,-0.004493708,0.025668003,0.003175813,5.792384,850000,54757.895,8500,0.004771888256072998,-39.81,7851,17
38.71,116.1882164478302,-13.54,-0.004250442,0.022241998,0.0028775441,5.8062816,900000,53980.58,9000,0.004689037799835205,-38.71,8220,18
40.72,122.64389824867249,-13.38,-0.0050375424,0.030076005,0.0033609795,5.812239,950000,53217.676,9500,0.00470501184463501,-40.72,8232,19
41.31,129.2912619113922,-13.48,-0.004410114,0.024610002,0.0029717511,5.8101983,1000000,53561.215,10000,0.004196286201477051,-41.31,7917,20
34.8,136.213525056839,-13.44,-0.0042565074,0.024918001,0.003152078,5.8143296,1050000,53309.234,10500,0.003793656826019287,-34.8,8032,21
41.04,143.001060962677,-13.56,-0.0046805963,0.025448002,0.0031280038,5.8141785,1100000,53730.85,11000,0.003463566303253174,-41.04,8078,22
38.93,149.5626118183136,-13.42,-0.004783679,0.027488003,0.0031732705,5.827318,1150000,53058.62,11500,0.0036094188690185547,-38.93,8128,23
40.59,156.03634405136108,-13.42,-0.004673576,0.029692,0.0033889452,5.8397045,1200000,52974.656,12000,0.0031269192695617676,-40.59,7980,24
46.05,162.75415182113647,-13.2,-0.003915367,0.023056008,0.002980313,5.843283,1250000,51965.285,12500,0.0029221773147583008,-46.05,8109,25
37.95,169.30762386322021,-13.66,-0.004335272,0.023194,0.0029714738,5.8438807,1300000,53842.676,13000,0.0025575757026672363,-37.95,7899,26
40.33,176.06991004943848,-13.14,-0.004965496,0.030768001,0.0035324902,5.8414965,1350000,51568.11,13500,0.00264817476272583,-40.33,8024,27
42.21,182.91832852363586,-13.36,-0.004750414,0.026515994,0.0033413137,5.8382072,1400000,52412.855,14000,0.002306699752807617,-42.21,7772,28
42.31,189.7072513103485,-13.02,-0.0049240063,0.028272005,0.003297722,5.843517,1450000,50907.8,14500,0.002177298069000244,-42.31,7670,29
44.37,196.45756697654724,-13.24,-0.0051411195,0.028446,0.00338889,5.853161,1500000,51755.926,15000,0.0020653605461120605,-44.37,8057,30
36.98,203.21570134162903,-13.6,-0.004942146,0.025795998,0.0031198084,5.8670893,1550000,53196.29,15500,0.0020166635513305664,-36.98,8037,31
35.89,210.08599519729614,-13.16,-0.005065986,0.027291998,0.0032606316,5.8865633,1600000,51276.523,16000,0.0016960501670837402,-35.89,7924,32
42.36,216.80314564704895,-13.26,-0.005091395,0.027452007,0.003317159,5.89509,1650000,51610.8,16500,0.0018156766891479492,-42.36,7918,33
43.54,223.37359237670898,-13.1,-0.0044779023,0.022459995,0.0029449651,5.9001555,1700000,50874.38,17000,0.0016421079635620117,-43.54,8217,34
36.36,230.00076913833618,-13.3,-0.004850046,0.028192008,0.0032351909,5.913535,1750000,51637.324,17500,0.0016453266143798828,-36.36,7729,35
45.34,237.05547046661377,-13.14,-0.0046711727,0.025575997,0.0031603577,5.9220686,1800000,50903.254,18000,0.0016320347785949707,-45.34,7999,36
41.2,243.7351429462433,-13.1,-0.0047837333,0.027726002,0.0032847598,5.935961,1850000,50660.906,18500,0.001362442970275879,-41.2,7874,37
47.2,250.61456871032715,-12.6,-0.0051433374,0.030652003,0.0034340876,5.951144,1900000,48498.88,19000,0.0012749433517456055,-47.2,8049,38
36.71,257.22347378730774,-13.22,-0.0052322955,0.030407997,0.0035760852,5.96525,1950000,51015.95,19500,0.001260995864868164,-36.71,7921,39
38.25,263.9552195072174,-13.1,-0.005170884,0.029874004,0.0033414566,5.978032,2000000,50443.34,20000,0.0011663436889648438,-38.25,8060,40
40.47,270.8079960346222,-12.64,-0.0047177356,0.027057996,0.0032743185,5.986614,2050000,48456.805,20500,0.0012286901473999023,-40.47,7741,41
43.74,277.86838126182556,-12.92,-0.0044427547,0.023026,0.0029586286,5.987982,2100000,49550.34,21000,0.0008274316787719727,-43.74,8164,42
40.44,284.5532932281494,-13.04,-0.0051658256,0.027082002,0.0032321096,6.001406,2150000,49978.37,21500,0.0006690621376037598,-40.44,8077,43
42.7,291.27625608444214,-13.0,-0.0050546355,0.026601996,0.0032279424,6.0036407,2200000,49733.83,22000,0.0007530450820922852,-42.7,8335,44
41.04,297.8271179199219,-13.12,-0.005081074,0.030492,0.0034701175,6.0046706,2250000,50159.324,22500,0.0008876323699951172,-41.04,8246,45
48.2,304.404748916626,-12.88,-0.005040605,0.030761994,0.0034643542,6.008763,2300000,49096.816,23000,0.0007232427597045898,-48.2,8009,46
39.11,311.0430145263672,-13.22,-0.004941646,0.028333997,0.0034294522,6.0041924,2350000,50427.715,23500,0.0006169676780700684,-39.11,8183,47
41.11,317.6114547252655,-12.92,-0.004634292,0.027020004,0.0032817326,6.001178,2400000,49127.406,24000,0.0005111098289489746,-41.11,7886,48
47.82,324.49926686286926,-12.76,-0.0050148456,0.027996004,0.003261267,6.0085254,2450000,48402.664,24500,0.0006492733955383301,-47.82,8019,49
44.55,331.3920707702637,-12.58,-0.0049495264,0.027224002,0.0032190254,6.0187154,2500000,47597.234,25000,0.0005763769149780273,-44.55,8117,50
45.6,338.12830424308777,-12.74,-0.005044443,0.024782004,0.0030714632,6.0298657,2550000,48179.566,25500,0.0005435347557067871,-45.6,7941,51
43.53,344.88057827949524,-12.8,-0.005184831,0.028812002,0.0033099633,6.043274,2600000,48361.465,26000,0.0005671381950378418,-43.53,8194,52
47.44,351.56035566329956,-12.62,-0.0025636158,0.015132001,0.0023922794,6.052273,2650000,47729.04,26500,0.0005127191543579102,-47.44,7890,53
41.54,358.4995331764221,-12.92,-0.0051136957,0.027026003,0.003041198,6.065256,2700000,48756.863,27000,0.0005286931991577148,-41.54,7895,54
45.17,365.4772310256958,-12.64,-0.004568547,0.026328001,0.0032222923,6.082144,2750000,47555.03,27500,0.0007378458976745605,-45.17,8187,55
38.58,372.162073135376,-12.8,-0.005222044,0.028542006,0.0032590255,6.1009884,2800000,48148.625,28000,0.00038045644760131836,-38.58,8111,56
46.04,378.7805745601654,-12.28,-0.005349606,0.029689994,0.0034155706,6.112097,2850000,45975.61,28500,0.0005166530609130859,-46.04,7941,57
44.1,385.7011294364929,-12.62,-0.0052036033,0.029636009,0.0034962543,6.115591,2900000,47302.926,29000,0.0003619194030761719,-44.1,8083,58
45.66,392.32174015045166,-12.48,-0.0049479315,0.029636001,0.0034556747,6.1157613,2950000,46674.99,29500,0.00036340951919555664,-45.66,8059,59
46.61,398.9841995239258,-12.66,-0.004520434,0.024672,0.0030582065,6.119431,3000000,47338.836,30000,0.0004385709762573242,-46.61,7879,60
