ep_len_mean,policy_loss,serial_timesteps,clipfrac,n_updates,explained_variance,true_reward,approxkl,ep_reward_mean,fps,value_loss,total_timesteps,time_elapsed,policy_entropy
39.6,-0.00498791,500,0.031446002,1,0.000667870044708252,-2.1015108,0.003674557,-21.83130051821179,7841,3779.2175,50000,0.020734310150146484,5.660485
39.91,-0.0032550956,1000,0.018572,2,0.0026099681854248047,-1.88199,0.0025865743,-39.83186850456055,7959,3420.2068,100000,7.005564451217651,5.648603
39.89,-0.0034240112,1500,0.017969998,3,0.005118131637573242,-1.7362142,0.0027020506,-9.398089345953194,8226,3388.8372,150000,13.698850154876709,5.643891
38.28,-0.003852118,2000,0.023336003,4,0.008263468742370605,-1.4843812,0.0029800506,-25.301999318259767,8023,3227.6675,200000,20.445521354675293,5.6344314
35.59,-0.0036001091,2500,0.020172,5,0.009479820728302002,-1.4000375,0.0030029388,10.81945785463089,8040,3284.96,250000,27.266425609588623,5.6199055
43.24,-0.0035506582,3000,0.01654,6,0.01378774642944336,-1.2877393,0.0025185803,2.1431462332049795,8213,2888.0044,300000,34.08098363876343,5.6161556
38.33,-0.0036021639,3500,0.020583998,7,0.01614236831665039,-1.2615107,0.002924007,1.0093942197490833,8039,2997.743,350000,40.71409630775452,5.614051
37.46,-0.0034912315,4000,0.019219998,8,0.020142734050750732,-0.91274923,0.0026762143,-6.991683856966047,8117,2917.037,400000,47.20454788208008,5.607237
38.66,-0.003859541,4500,0.023974001,9,0.02183854579925537,-0.96327376,0.0032203794,-6.783133567219092,8273,3130.1946,450000,53.80632662773132,5.6014166
36.72,-0.0032958023,5000,0.020188,10,0.028681397438049316,-0.7003387,0.002735906,0.2562583204591647,8126,2784.5732,500000,60.51453351974487,5.5960155
39.34,-0.0032169349,5500,0.016500002,11,0.030157864093780518,-0.4762188,0.0023348352,21.64344620780321,7824,2990.5327,550000,67.12271332740784,5.593896
40.75,-0.0026384646,6000,0.014592001,12,0.03346395492553711,-0.48001277,0.002387605,-20.495423479063902,8200,3041.9607,600000,73.93760681152344,5.5838795
40.79,-0.0031808775,6500,0.01527,13,0.037951529026031494,-0.50501186,0.0025329045,55.18263117677765,8252,3053.8262,650000,80.66385436058044,5.5741177
44.46,-0.0027979556,7000,0.016719999,14,0.041772305965423584,-0.123263694,0.0025604381,62.45376998987107,8253,2905.453,700000,87.16073942184448,5.5607295
