fps,policy_loss,ep_reward_mean,total_timesteps,ep_len_mean,time_elapsed,clipfrac,value_loss,n_updates,policy_entropy,explained_variance,approxkl,serial_timesteps,true_reward
7755,-0.0060768356,-0.44777273820611296,50000,39.79,0.020256519317626953,0.030412,0.6252638,1,5.6651363,0.10624384880065918,0.0036795542,500,-0.044280786
8011,-0.0058336854,-0.5294325665963697,100000,41.32,6.936901092529297,0.033341993,0.4866822,2,5.647649,0.30034780502319336,0.0037739608,1000,-0.04121058
7872,-0.0050373133,-0.29019451424086584,150000,39.02,13.78101396560669,0.030575998,0.48553967,3,5.6411285,0.39494287967681885,0.0035321277,1500,-0.046661485
8166,-0.0053418702,-0.8785015375801595,200000,35.08,20.722793340682983,0.030747995,0.49399486,4,5.6349373,0.4587469696998596,0.0035882434,2000,-0.04801755
8060,-0.0052569355,-0.746907302320269,250000,37.9,27.292577505111694,0.028695999,0.41694084,5,5.6280107,0.5185985863208771,0.0033842016,2500,-0.044204965
8325,-0.005381829,-0.27869647056329994,300000,37.3,33.994999170303345,0.032717995,0.3368378,6,5.609811,0.5885946154594421,0.003780327,3000,-0.041742172
8225,-0.0057461704,-0.5776975116651738,350000,39.68,40.29426050186157,0.03327599,0.39958963,7,5.588057,0.5995058715343475,0.0038374243,3500,-0.04439896
8342,-0.0050437464,-1.5391966189174127,400000,43.34,46.85203218460083,0.028222002,0.36000893,8,5.5670094,0.6659477949142456,0.003447385,4000,-0.04596375
8260,-0.005234037,-0.8412911686649022,450000,41.66,53.33781147003174,0.028896,0.33385146,9,5.5437083,0.7013126611709595,0.0035418824,4500,-0.042728942
8106,-0.0055037723,-0.7219787103033741,500000,38.84,59.96584630012512,0.032999996,0.30744815,10,5.523821,0.7410707473754883,0.0036807249,5000,-0.03965771
7962,-0.005441051,-0.3889982653174957,550000,43.48,66.52904343605042,0.033665996,0.27900612,11,5.5080595,0.7636495977640152,0.0038113967,5500,-0.034910083
7838,-0.0051304195,-0.3950328886586067,600000,32.63,73.11200618743896,0.028277999,0.28443122,12,5.499743,0.7818757593631744,0.0034445405,6000,-0.039648976
8062,-0.0057576303,-0.7716767519489803,650000,42.57,79.88693165779114,0.034962,0.30434376,13,5.487691,0.7790689021348953,0.003900622,6500,-0.03660537
7756,-0.005994096,-0.36708799850574,700000,38.42,86.68829774856567,0.040578008,0.23185569,14,5.4651227,0.8174483180046082,0.004283096,7000,-0.03742162
7919,-0.0059417104,-0.5166348181942158,750000,39.73,93.52757215499878,0.036713995,0.2649084,15,5.4416003,0.8284151256084442,0.0039829193,7500,-0.037048675
7897,-0.0062493025,-0.12322721276461379,800000,39.79,100.20791888237,0.03806,0.26660264,16,5.4207363,0.8285720199346542,0.0040604314,8000,-0.038688883
7910,-0.005975406,-0.4543826281372458,850000,42.66,107.06545734405518,0.04018,0.25743273,17,5.4042206,0.8237548321485519,0.0041723396,8500,-0.036154464
8058,-0.005881018,-0.25922165749550913,900000,41.68,113.96207451820374,0.036748,0.23079127,18,5.391779,0.8654514700174332,0.0039634197,9000,-0.034444127
8120,-0.0063698404,-0.04915315445367014,950000,35.12,120.7419445514679,0.041209992,0.2206677,19,5.3749733,0.8593409359455109,0.004261406,9500,-0.037158743
7829,-0.006168983,-0.5559313517343253,1000000,37.9,127.52462697029114,0.040900007,0.20012711,20,5.356154,0.875029481947422,0.004212511,10000,-0.03488195
7963,-0.00648179,0.054456643065495886,1050000,40.97,134.4917356967926,0.041660003,0.253196,21,5.3387914,0.8689463883638382,0.0042861034,10500,-0.03139108
7895,-0.0062115057,-0.05722862683211133,1100000,38.27,141.1184983253479,0.041178,0.19320044,22,5.3156776,0.8796365410089493,0.004259409,11000,-0.034361206
8148,-0.006036395,-0.2708250096134725,1150000,40.54,148.0973300933838,0.040413994,0.19187395,23,5.2967153,0.8844103589653969,0.004245236,11500,-0.032459963
8278,-0.0054443143,-0.1722904342621041,1200000,35.92,154.7588381767273,0.037847996,0.22647253,24,5.2738795,0.8816283643245697,0.0040475028,12000,-0.02902141
8051,-0.006567212,-0.07279193779846536,1250000,37.0,161.20466303825378,0.045902003,0.1973349,25,5.2495856,0.8902282118797302,0.004562733,12500,-0.030109243
8193,-0.0057953345,-0.26512232001878144,1300000,36.41,167.82662343978882,0.041207995,0.1898044,26,5.226488,0.886119619011879,0.004270141,13000,-0.029203521
8170,-0.0057525053,-0.12318560650121071,1350000,29.94,174.43040919303894,0.037464,0.20835972,27,5.212086,0.8812229707837105,0.003960708,13500,-0.02660447
8041,-0.006367082,-0.3449971443166578,1400000,41.98,180.9840521812439,0.043755997,0.17691852,28,5.19628,0.8994665220379829,0.004428647,14000,-0.030278804
