n_updates,true_reward,serial_timesteps,explained_variance,time_elapsed,ep_reward_mean,fps,policy_entropy,approxkl,value_loss,policy_loss,ep_len_mean,total_timesteps,clipfrac
1,-0.033421356,500,0.04071962833404541,0.020664691925048828,-0.6247103096598585,7978,5.646772,0.0038987657,0.88799405,-0.0056908554,36.95,50000,0.032000005
2,-0.035124995,1000,0.0993761420249939,7.081777572631836,-0.8359177751142124,8102,5.6095915,0.0037821522,1.232473,-0.005043454,39.02,100000,0.03314
3,-0.031503893,1500,0.18829292058944702,13.751272439956665,-1.5093534969503162,8105,5.584377,0.003016451,1.3694835,-0.0048494176,41.62,150000,0.022475999
4,-0.031695664,2000,0.25917160511016846,20.405863523483276,-0.8838385925018519,8238,5.560656,0.0035633484,1.0659386,-0.0053530526,37.84,200000,0.029528003
5,-0.03129032,2500,0.2923819422721863,26.75525665283203,-0.7024734915549198,7663,5.517225,0.0040795025,1.2134161,-0.0056986157,39.45,250000,0.035989996
6,-0.03358112,3000,0.31747984886169434,33.689783811569214,-0.4283617670437525,8238,5.47414,0.0035879817,1.3008714,-0.0050433464,34.37,300000,0.030153995
7,-0.0289236,3500,0.392278790473938,40.29854488372803,-0.8338420287363261,7878,5.439784,0.0035288667,1.073562,-0.005487333,39.84,350000,0.02948
8,-0.03238478,4000,0.44899535179138184,47.21362590789795,-0.5761511758410779,7634,5.4044304,0.004074059,0.877963,-0.005530064,35.31,400000,0.037567995
9,-0.02616206,4500,0.3827694058418274,54.34877967834473,-0.47107363781906314,7822,5.373851,0.003942319,1.4504362,-0.0053174673,41.59,450000,0.035564
10,-0.036231317,5000,0.5409773588180542,61.203492164611816,-0.3852036043997941,8039,5.3410354,0.0040372,0.8091085,-0.0053192885,38.66,500000,0.036900003
11,-0.031200437,5500,0.4568161964416504,67.99341630935669,-0.5044303363990912,8117,5.320601,0.0040159444,1.1215762,-0.0053327745,40.73,550000,0.037866
12,-0.029196719,6000,0.5120856165885925,74.72283267974854,-0.893483805015494,8099,5.300548,0.003712176,0.9576686,-0.0054607186,39.15,600000,0.033841997
13,-0.026456485,6500,0.4722311496734619,81.4905858039856,-0.3875816304084583,8040,5.283809,0.0038155075,1.3352622,-0.0051313825,38.15,650000,0.034596004
14,-0.024658877,7000,0.5265675187110901,88.3237636089325,-0.24514112374425168,8128,5.2664595,0.003914707,1.2473718,-0.0055896207,35.49,700000,0.035334002
15,-0.030240059,7500,0.5911549031734467,95.07854151725769,-0.6118331295711686,7830,5.2442894,0.003929168,0.87734723,-0.005564714,37.75,750000,0.035694007
16,-0.028156534,8000,0.6173399388790131,101.99416208267212,-0.15842731371041738,8138,5.227116,0.004215611,0.8557832,-0.0060505853,32.72,800000,0.04152199
17,-0.020321803,8500,0.5512624084949493,108.62657475471497,-0.37559726690436945,7968,5.213856,0.0038861693,1.2228329,-0.0054919766,35.9,850000,0.036056004
18,-0.023514548,9000,0.6242488026618958,115.43028998374939,-0.05705255180306267,7970,5.1963763,0.004044892,0.9672999,-0.0055915634,39.87,900000,0.037916
19,-0.016589118,9500,0.5387638509273529,122.33318996429443,-0.34986138643493175,7679,5.173605,0.0039442424,1.4724497,-0.0049182214,38.7,950000,0.035556003
20,-0.01995442,10000,0.5841528177261353,129.45585370063782,-0.451022271144102,7932,5.142814,0.004052916,1.1567326,-0.0056905895,39.21,1000000,0.037892003
21,-0.015766503,10500,0.5301705598831177,136.3036699295044,-0.00905913495531422,8031,5.1160884,0.003912324,1.4916316,-0.0054026423,35.93,1050000,0.035679992
22,-0.019629173,11000,0.5708125531673431,143.13159918785095,-0.4049463334563188,7917,5.086367,0.0038988993,1.4878502,-0.0049117943,42.49,1100000,0.035522003
23,-0.021804824,11500,0.6616647839546204,149.87860131263733,-0.2631716415900155,7805,5.0542564,0.0042990516,1.0292358,-0.005125169,37.54,1150000,0.040976
24,-0.015578531,12000,0.5721315443515778,156.89793038368225,-0.7334456819772458,7761,5.02072,0.0038599563,1.4597262,-0.0052167065,39.04,1200000,0.033588
25,-0.014195263,12500,0.6053766012191772,163.90279459953308,-0.04413009948097169,8130,4.991402,0.0041500395,1.3767803,-0.0054987036,42.04,1250000,0.039777994
26,-0.016707228,13000,0.6484689712524414,170.63622283935547,-0.07478691132346285,7760,4.9595375,0.004189958,1.0882804,-0.005248857,40.82,1300000,0.040116005
27,-0.012531732,13500,0.6183531880378723,177.45089983940125,-0.17974104213295505,7771,4.9342732,0.0038810116,1.5464363,-0.004838212,38.34,1350000,0.034216
28,-0.016337387,14000,0.6180004775524139,184.47699546813965,-0.2700407369308232,7802,4.911322,0.003677153,1.2663519,-0.0048045893,36.87,1400000,0.032341998
29,-0.013226533,14500,0.6038248538970947,191.46577191352844,-0.21819047672281158,7994,4.883066,0.0041148053,1.5953778,-0.005442133,35.17,1450000,0.039344005
30,-0.011050671,15000,0.6877335608005524,198.28627753257751,-0.5305499667426193,7873,4.8503356,0.0039997012,1.1949142,-0.0051075863,37.45,1500000,0.037032004
31,-0.009842288,15500,0.6646443903446198,205.10452675819397,-0.4169477011598792,7791,4.8239684,0.0042408016,1.254724,-0.005246984,41.17,1550000,0.042198
32,-0.0035308248,16000,0.6390711665153503,211.72329664230347,-0.018598512397657033,7871,4.794201,0.003740947,1.6959298,-0.0051441197,39.01,1600000,0.032644
33,-0.009075329,16500,0.634579986333847,218.70693922042847,-0.14384551947121507,7539,4.7602234,0.003950296,1.531913,-0.0050318437,37.12,1650000,0.035714008
34,-0.0005447585,17000,0.6484429240226746,225.93423748016357,0.09849239496827067,7968,4.728723,0.00440325,1.6532197,-0.005543984,39.74,1700000,0.044403985
35,-0.0045861173,17500,0.670195460319519,232.77416563034058,-0.09674602282655542,7952,4.6891894,0.0039423746,1.5209259,-0.0054734163,44.54,1750000,0.036590006
36,-0.002096938,18000,0.6746498942375183,239.59531140327454,-0.2972874825942563,7889,4.6553006,0.0037619532,1.6167228,-0.004892636,33.27,1800000,0.032948002
37,-0.0039417287,18500,0.6673401296138763,246.53372883796692,-0.0601526071500848,7805,4.6281223,0.0041436506,1.6649165,-0.005013626,43.4,1850000,0.039305996
38,-0.007665369,19000,0.6780606806278229,253.51170110702515,0.0398579184099799,7847,4.598796,0.004430883,1.4273047,-0.0061560418,35.14,1900000,0.044943996
39,0.0027582177,19500,0.6859996318817139,260.37255787849426,0.2193238800569088,8187,4.56543,0.0037162248,1.6256632,-0.005512877,41.13,1950000,0.032375995
40,0.0005968068,20000,0.6988475024700165,266.9607992172241,0.29393860250522263,7932,4.5330486,0.003971145,1.5790025,-0.0055106436,39.72,2000000,0.037912004
41,0.004888281,20500,0.6131845414638519,273.84393525123596,0.2528414301578596,7923,4.5160537,0.004129529,2.0663598,-0.0055261906,41.22,2050000,0.040421996
42,0.0022585692,21000,0.6773701012134552,280.7819163799286,-0.12586382275287178,7981,4.4991665,0.0042236676,1.7727817,-0.005284633,44.7,2100000,0.041142
43,0.0066221934,21500,0.6399097442626953,287.5996720790863,0.6370829010571469,7894,4.4693317,0.004441866,2.1585686,-0.0057172584,41.38,2150000,0.043038007
44,0.012082575,22000,0.7013971507549286,294.55434560775757,0.174272244783715,7583,4.4349275,0.0043267347,1.8032154,-0.005480983,44.1,2200000,0.041518003
45,0.0045884377,22500,0.6910056173801422,301.6226670742035,0.03639770525507629,7933,4.4122496,0.0043679387,1.7065529,-0.0053210203,36.12,2250000,0.04395
46,0.0118670175,23000,0.7080149948596954,308.509202003479,0.29192979365427163,8110,4.3825765,0.004340719,1.9761033,-0.0055777607,39.99,2300000,0.042032003
47,0.008940469,23500,0.68869549036026,315.06329870224,0.37653096970345357,7902,4.345502,0.00446206,1.8886849,-0.0054402375,36.88,2350000,0.044797998
48,0.008048938,24000,0.6805494725704193,321.94626927375793,0.05406262383294234,8049,4.315229,0.0040526604,1.7951087,-0.005587689,38.58,2400000,0.038964
49,0.009089284,24500,0.7319717109203339,328.3877248764038,0.3259330606082949,7676,4.2884526,0.0041888934,1.7472861,-0.0060042674,37.34,2450000,0.0405
50,0.009934668,25000,0.6760568916797638,335.22422099113464,0.10096599103555491,8240,4.2640457,0.004454686,2.112449,-0.0055615394,40.01,2500000,0.04473799
51,0.014322389,25500,0.6956415772438049,341.93482303619385,0.35218459524592616,7779,4.2386646,0.0046763737,2.0066652,-0.005537747,38.82,2550000,0.04796401
52,0.012069636,26000,0.7039473652839661,348.8251187801361,0.5573663161539298,8224,4.201174,0.004442198,2.0221105,-0.005848557,37.82,2600000,0.044359997
53,0.013117698,26500,0.6691431701183319,355.42336869239807,0.06598623111211055,8028,4.1624327,0.004524798,2.4533763,-0.0056400257,36.22,2650000,0.045134
54,0.014191955,27000,0.7030230760574341,362.14567136764526,0.4357168796025508,8046,4.13542,0.0046335184,2.1404085,-0.005605529,41.71,2700000,0.047682002
55,0.019969428,27500,0.6603062152862549,368.96422600746155,0.3965981381222082,7621,4.106614,0.004317015,2.589388,-0.0051661576,39.24,2750000,0.042508002
56,0.020988008,28000,0.7631481289863586,376.14947175979614,0.12683628375667466,8219,4.0821037,0.004332165,1.9746715,-0.0056718444,46.99,2800000,0.04277399
57,0.026936226,28500,0.7255865335464478,382.741069316864,0.24502285263624798,8021,4.0487146,0.004549842,2.3921938,-0.0058682,40.27,2850000,0.046322
58,0.023604812,29000,0.7670807838439941,389.48123931884766,0.33571847885919853,7928,4.007765,0.0047877855,2.021533,-0.0067750537,47.02,2900000,0.049552
59,0.028007539,29500,0.6985058486461639,396.2990701198578,0.2105014671372919,7832,3.981517,0.0043915617,2.6646283,-0.0056980723,38.9,2950000,0.042644005
60,0.019689003,30000,0.7131345272064209,403.17859292030334,0.32431274643487995,8040,3.956778,0.0045432807,2.4865398,-0.0059446944,43.39,3000000,0.046281997
61,0.023946965,30500,0.7341603338718414,410.07037806510925,-0.08587064304476372,7835,3.9201772,0.004377873,2.4388006,-0.0052616154,37.03,3050000,0.042228
62,0.022778193,31000,0.7337373793125153,417.05164098739624,-0.47856673013142426,7956,3.8902502,0.004608217,2.4476058,-0.0065963757,42.15,3100000,0.048039995
63,0.023728928,31500,0.7227087318897247,423.93146800994873,0.21643752290852716,8189,3.8613317,0.004711875,2.4591215,-0.0058319056,36.04,3150000,0.047858
64,0.034052033,32000,0.7327153384685516,430.39046001434326,0.35392209647412526,7730,3.8306434,0.004960274,2.631589,-0.0065280665,40.43,3200000,0.053768016
65,0.018049717,32500,0.7743525505065918,437.45236253738403,0.8382476405283523,7930,3.803034,0.005177685,1.979277,-0.006381058,46.24,3250000,0.057536002
66,0.0227141,33000,0.7658815383911133,444.1903338432312,0.47535809429973597,8069,3.7810757,0.0044378396,2.1577415,-0.006031714,41.55,3300000,0.045841996
