fps,serial_timesteps,explained_variance,time_elapsed,policy_loss,ep_len_mean,total_timesteps,n_updates,clipfrac,approxkl,true_reward,policy_entropy,ep_reward_mean,value_loss
7758,500,0.0876416563987732,0.020599842071533203,-0.0059806975,36.94,50000,1,0.033656005,0.0038201036,-0.046500113,5.672282,-0.6531990676283749,0.6372065
8239,1000,0.26687002182006836,7.227442026138306,-0.0050236876,39.08,100000,2,0.031010004,0.0036012062,-0.04450646,5.662236,-0.5191185737558408,0.53011626
7888,1500,0.38154011964797974,13.675576448440552,-0.005736326,36.68,150000,3,0.030694002,0.0036128813,-0.044425912,5.647943,-0.6829831658856529,0.4831696
7905,2000,0.4434366822242737,20.59827160835266,-0.004927863,33.42,200000,4,0.028644,0.0034593195,-0.04229318,5.6303034,-0.31568019788493984,0.43839592
8012,2500,0.5290317535400391,27.56611919403076,-0.0053642327,33.4,250000,5,0.029706001,0.003555711,-0.04258505,5.613111,-0.4189876070644823,0.41856265
8100,3000,0.5653569996356964,34.36773419380188,-0.00550198,35.32,300000,6,0.029094003,0.003495817,-0.041309536,5.598698,-0.7208298164101143,0.35174942
8014,3500,0.6013441979885101,40.83283996582031,-0.005265259,37.09,350000,7,0.029107995,0.0034406707,-0.041056715,5.585413,-0.32830053605150167,0.39128456
8092,4000,0.658027172088623,47.588051319122314,-0.0051121246,37.84,400000,8,0.028757999,0.0035256715,-0.040021937,5.5751715,-0.401434462130419,0.31794083
7712,4500,0.6818408370018005,54.344478368759155,-0.0053989915,42.72,450000,9,0.031725995,0.0036963904,-0.04171893,5.564903,-0.8763667468844506,0.315616
8089,5000,0.7136701941490173,61.288818359375,-0.0054553556,39.44,500000,10,0.03138,0.0036733563,-0.039055053,5.5508156,-0.43229496856904004,0.3207505
8010,5500,0.7349939346313477,67.91268467903137,-0.0054918956,37.68,550000,11,0.032734003,0.003671924,-0.038308553,5.542219,-0.7141955438282457,0.3292879
8010,6000,0.7651226371526718,74.37037634849548,-0.005327866,40.09,600000,12,0.032613996,0.0038058818,-0.039808955,5.5274196,-0.6325861278742377,0.28225207
8181,6500,0.7761738002300262,80.99766659736633,-0.005881804,39.94,650000,13,0.038246,0.0041178814,-0.03917888,5.5046344,-0.33107388293014084,0.27887145
8123,7000,0.7831785082817078,87.58742165565491,-0.005769945,38.44,700000,14,0.035418,0.0039507616,-0.032333247,5.483399,-0.24661515306033835,0.27127752
7917,7500,0.7978421300649643,94.20167541503906,-0.006072349,44.93,750000,15,0.037920002,0.004064156,-0.03291748,5.4680696,-0.02494131313622347,0.27577117
7863,8000,0.8092103898525238,100.84333181381226,-0.0058624726,44.58,800000,16,0.036194004,0.003961043,-0.031923916,5.4469147,-0.008454335228379932,0.26518834
8006,8500,0.8219049125909805,107.66806268692017,-0.0058863307,37.89,850000,17,0.038082007,0.004081451,-0.032491036,5.432605,-0.39590764337815926,0.25523856
