n_updates,policy_loss,policy_entropy,total_timesteps,approxkl,clipfrac,explained_variance,true_reward,ep_reward_mean,fps,value_loss,time_elapsed,ep_len_mean,serial_timesteps
1,-0.005692955,5.669958,50000,0.0035817665,0.029818004,0.09916448593139648,-0.04483645,-0.9263417677319375,7806,0.6104258,0.020449161529541016,38.09,500
2,-0.0054759663,5.6573987,100000,0.0036532122,0.031741995,0.2574596405029297,-0.044651788,-0.3201905938259006,7996,0.5352079,7.143439054489136,34.76,1000
3,-0.005371975,5.632182,150000,0.003563816,0.028600004,0.3843059539794922,-0.04230299,-0.4709583357168594,8051,0.4419236,14.031672477722168,38.71,1500
4,-0.00532008,5.610567,200000,0.0037695232,0.03255,0.4437456727027893,-0.04635791,-0.5894801270447352,7951,0.5230154,20.61915397644043,36.41,2000
5,-0.005132747,5.5953603,250000,0.0034953523,0.028288005,0.5331702530384064,-0.04416695,-0.6011353184124164,8112,0.42547214,27.319275856018066,37.76,2500
6,-0.005646753,5.576904,300000,0.0037962482,0.033230003,0.5866426825523376,-0.04212372,-0.4461519904335728,7933,0.35789573,33.88016867637634,38.43,3000
7,-0.0056380974,5.5695915,350000,0.0034865206,0.030968005,0.6219423413276672,-0.040150866,-0.538054081815244,8087,0.38296717,40.502482414245605,40.23,3500
8,-0.0053562927,5.5573254,400000,0.0035568017,0.030049996,0.6674011051654816,-0.044146217,-0.9190260329222656,7747,0.35115325,47.18193078041077,38.84,4000
9,-0.005503378,5.5418525,450000,0.0036156047,0.030598002,0.7020719349384308,-0.03747469,-0.5602495814902068,8005,0.29688582,54.100377321243286,39.65,4500
10,-0.005682234,5.517258,500000,0.003881281,0.034473997,0.7193713188171387,-0.04327121,-0.6613655252990429,8512,0.33351925,60.99443006515503,38.29,5000
11,-0.00575997,5.5003276,550000,0.0041950024,0.039897997,0.7403223216533661,-0.041601315,-0.5830058698493668,7735,0.2984936,67.41323328018188,37.48,5500
12,-0.0053883023,5.483,600000,0.0037256565,0.032786008,0.7672766745090485,-0.03831755,-0.8649826098288032,8176,0.29098523,74.46617889404297,44.33,6000
13,-0.0054226606,5.478929,650000,0.0034442043,0.029526005,0.7778694331645966,-0.034953922,-0.04550197593438497,8279,0.286098,81.17912530899048,38.43,6500
14,-0.00586826,5.4768696,700000,0.0035162969,0.031397995,0.7815102934837341,-0.03767759,-0.5620307030352706,8387,0.29353753,87.67516946792603,40.63,7000
15,-0.0062133153,5.4667945,750000,0.003976339,0.036492005,0.7974717915058136,-0.03486436,-0.43874671984493036,8248,0.2629652,94.19454145431519,41.18,7500
16,-0.0060372488,5.456741,800000,0.0039066016,0.03656,0.7987087517976761,-0.034894593,-0.27392872215801617,8108,0.29835567,100.8826379776001,39.36,8000
17,-0.005521941,5.44701,850000,0.00402747,0.037017997,0.813040554523468,-0.033433296,-0.4643734954780666,7903,0.25839034,107.7154107093811,40.98,8500
18,-0.0058863764,5.4273963,900000,0.004454872,0.043528005,0.8308613896369934,-0.032652028,-0.2594218948268099,8055,0.25320467,114.62066555023193,39.61,9000
19,-0.006025674,5.4048796,950000,0.003916595,0.035536002,0.8321308344602585,-0.035140313,-0.4897687584567029,8238,0.25147095,121.31081199645996,37.28,9500
20,-0.006086486,5.3794255,1000000,0.00398415,0.036256,0.84090855717659,-0.030195942,-0.3721767540244764,7876,0.27858344,127.89479875564575,41.98,10000
21,-0.0065392703,5.348013,1050000,0.004288152,0.040650006,0.8343181908130646,-0.03021946,-0.13452092368315788,8023,0.24517816,134.64799070358276,35.49,10500
22,-0.006473743,5.327399,1100000,0.0043742014,0.042550005,0.8317927569150925,-0.026491912,-0.21870891207421664,8451,0.26387298,141.36036944389343,40.26,11000
23,-0.0064161397,5.303944,1150000,0.004291838,0.04141601,0.843416690826416,-0.029838445,-0.4946269379176374,8038,0.25424117,147.82106709480286,39.57,11500
24,-0.00569777,5.2772655,1200000,0.003977146,0.03583801,0.8472010344266891,-0.028567014,-0.2583645418731612,7970,0.26166332,154.5465567111969,38.25,12000
25,-0.006068956,5.2580543,1250000,0.004196124,0.040362,0.8434150367975235,-0.027202332,-0.2638807572219957,7842,0.24899934,161.21504592895508,40.78,12500
26,-0.0064022727,5.241819,1300000,0.0041727885,0.039902,0.8598297834396362,-0.023959624,0.12447271160694072,7896,0.2269435,168.2420814037323,42.04,13000
27,-0.0060979174,5.224801,1350000,0.0042448384,0.040685996,0.862562820315361,-0.022840276,0.14080976297198503,7613,0.23473217,175.0313925743103,36.96,13500
28,-0.0064880108,5.204814,1400000,0.00434264,0.04278401,0.8647857755422592,-0.019272352,0.3096924154527369,7910,0.25105813,182.16801762580872,38.04,14000
29,-0.0062914537,5.170722,1450000,0.004355643,0.042032,0.8749398291110992,-0.018726379,-0.3155108602171822,8009,0.25909084,189.04536819458008,36.99,14500
30,-0.006608926,5.144684,1500000,0.0044546286,0.045038,0.8663972765207291,-0.017305253,-0.01706641281067277,8058,0.25178435,195.87793445587158,36.75,15000
31,-0.006493843,5.124141,1550000,0.004262238,0.042684004,0.8686964511871338,-0.013652377,0.3410634008779016,8221,0.23458324,202.60094022750854,42.42,15500
32,-0.006856267,5.097734,1600000,0.004537932,0.045074005,0.8757217228412628,-0.018544361,-0.009231624878048024,7951,0.25853646,209.24963808059692,36.91,16000
33,-0.007409967,5.075822,1650000,0.004951281,0.051847998,0.8775035291910172,-0.016904103,0.06868259005263098,8036,0.21961793,216.01330661773682,42.5,16500
34,-0.006285028,5.0579624,1700000,0.004272373,0.041504007,0.8905464634299278,-0.013926803,0.5916048664950359,7944,0.25028846,222.71570372581482,41.92,17000
35,-0.0059935027,5.036958,1750000,0.0045413086,0.04545201,0.8882948979735374,-0.0123356925,0.3871525908092008,7786,0.22597429,229.5424883365631,36.19,17500
36,-0.006181782,5.010191,1800000,0.0042815264,0.041878,0.8832885473966599,-0.009784361,0.2789100175721251,8021,0.2594174,236.35649633407593,39.02,18000
37,-0.0070911767,4.9794707,1850000,0.004877339,0.05157598,0.8850840851664543,-0.0131184645,0.32109590218220546,8401,0.22819075,243.2042248249054,35.64,18500
38,-0.006201874,4.9632416,1900000,0.0045350473,0.04595001,0.8956997394561768,-0.011244043,0.03792132191621931,7908,0.2326176,249.81202387809753,43.63,19000
39,-0.006413437,4.9434752,1950000,0.0041781343,0.038731996,0.893361933529377,-0.0037251804,0.773412445222566,7910,0.25029963,256.62533020973206,44.28,19500
40,-0.0068128766,4.9159307,2000000,0.004376283,0.044459995,0.8826404735445976,-0.0078010075,0.33961747313358503,8006,0.26946303,263.4553847312927,38.61,20000
41,-0.0064254184,4.894617,2050000,0.004471958,0.044979993,0.9012140780687332,-0.0035025207,0.5764975201179187,7758,0.2549763,270.14722299575806,45.24,20500
42,-0.0067417254,4.868439,2100000,0.004684023,0.047172002,0.8928476423025131,-0.005911304,0.8897793200387241,7936,0.2663111,277.2281491756439,42.32,21000
43,-0.006805259,4.8374653,2150000,0.0046389853,0.047874007,0.903349906206131,-0.0045866068,0.43155770852346903,8194,0.27112025,284.19167304039,42.11,21500
44,-0.0063971006,4.810176,2200000,0.0046133213,0.046108007,0.9012158140540123,-0.0031904818,0.656085901362676,7991,0.2653581,290.7236728668213,37.92,22000
45,-0.0060901893,4.795039,2250000,0.0044444255,0.044954006,0.8982254341244698,-0.0029017855,0.6144030763774208,7979,0.27980483,297.41266226768494,49.43,22500
46,-0.006667195,4.7724814,2300000,0.0044822404,0.044652,0.9049580544233322,0.001790663,0.9522329605941195,7989,0.2983748,304.17221426963806,42.91,23000
47,-0.0068929153,4.7408814,2350000,0.0044939797,0.045242,0.9058480188250542,0.0004779589,0.6417555946612993,8132,0.26736447,311.04775047302246,37.98,23500
48,-0.0066414643,4.7142973,2400000,0.0046588616,0.047244,0.89785186201334,-0.0007500315,1.0386180435015557,8215,0.28846192,317.70572996139526,47.61,24000
49,-0.0062447805,4.697357,2450000,0.004377706,0.04261601,0.9129645526409149,0.0067285458,1.556498076756543,8224,0.2982508,324.3991403579712,44.75,24500
50,-0.0065557826,4.6786036,2500000,0.004407659,0.043872003,0.9124712273478508,0.0043639825,0.8988018149044364,7951,0.28379586,330.9689791202545,40.91,25000
51,-0.0060697673,4.6592717,2550000,0.004423571,0.043539997,0.9110517576336861,0.012915532,1.6113192916868138,8010,0.3050089,337.6851923465729,45.51,25500
52,-0.007326235,4.6259594,2600000,0.0050568115,0.053151995,0.9079655557870865,0.0074898293,1.3195715173868303,7712,0.29762977,344.4705238342285,41.43,26000
53,-0.0066911187,4.5933833,2650000,0.004896352,0.052670002,0.9078245386481285,0.008464246,1.0482261229626602,7874,0.30454937,351.56809258461,45.12,26500
54,-0.007026134,4.5665236,2700000,0.004960458,0.05228201,0.9116454645991325,0.010198388,1.2688007828154877,8209,0.29604864,358.41979002952576,46.45,27000
55,-0.0068636006,4.5482106,2750000,0.005100797,0.055579986,0.9089285060763359,0.01067063,0.878454291268863,8029,0.31165615,364.87078857421875,42.98,27500
56,-0.00624136,4.5307164,2800000,0.0044691516,0.044524007,0.9219353049993515,0.018515969,1.4416409252932498,8103,0.29755107,371.57746052742004,40.49,28000
57,-0.0068945163,4.504406,2850000,0.0046672653,0.047808,0.9173277169466019,0.009801948,1.380872453385673,8251,0.30670026,378.33994483947754,42.92,28500
58,-0.0069078077,4.4867535,2900000,0.0046511046,0.048434,0.9159322902560234,0.015617212,1.5417525550661957,8241,0.30506295,384.6310670375824,45.8,29000
59,-0.0074094166,4.471084,2950000,0.0049752463,0.05323601,0.9176122546195984,0.018713038,1.257621028141948,8024,0.31812268,391.10242986679077,46.78,29500
60,-0.006623767,4.4525795,3000000,0.004475804,0.045157995,0.9179566130042076,0.019362416,1.0562106514701737,7866,0.30986476,397.8233652114868,47.6,30000
61,-0.007118066,4.4289904,3050000,0.004755586,0.049995996,0.9218630343675613,0.02355642,1.515213981903289,8050,0.31935906,404.7035255432129,42.53,30500
62,-0.00710666,4.4016013,3100000,0.0049454914,0.053151987,0.9197756499052048,0.01906078,1.4355525734225376,8023,0.32805398,411.42923307418823,46.98,31000
63,-0.006972306,4.374794,3150000,0.0049465667,0.052450005,0.9258836582303047,0.017296063,1.3623699216503882,7819,0.30226135,418.143670797348,47.45,31500
64,-0.0069611142,4.3518963,3200000,0.00475468,0.049904,0.9229550287127495,0.02521745,1.6886477621666562,7954,0.3190732,425.02948474884033,49.74,32000
65,-0.00763441,4.3291597,3250000,0.00526755,0.058205996,0.923415906727314,0.020290894,2.199976221667457,8136,0.34869763,431.74628829956055,53.23,32500
66,-0.0077196145,4.3023014,3300000,0.005311193,0.059374012,0.9280450269579887,0.025811484,1.675290220238603,7801,0.32825384,438.45433378219604,43.99,33000
67,-0.007746694,4.281839,3350000,0.005168432,0.05685399,0.9263613447546959,0.022344852,1.5376114522895,7785,0.32028043,445.30833435058594,44.22,33500
68,-0.0073496206,4.2651405,3400000,0.004845094,0.052054,0.9295393824577332,0.028507577,2.054983060354425,7867,0.32442483,452.31361532211304,49.29,34000
69,-0.007575581,4.244012,3450000,0.0054124827,0.061100006,0.9263440296053886,0.02652978,1.3252326583061949,7973,0.33450818,459.1533660888672,35.32,34500
70,-0.0077042226,4.2177696,3500000,0.0055136746,0.06235801,0.9300679787993431,0.026974395,1.739956557393307,8246,0.34062088,466.01067447662354,51.71,35000
