ep_reward_mean,policy_loss,approxkl,clipfrac,ep_len_mean,value_loss,fps,true_reward,n_updates,time_elapsed,total_timesteps,policy_entropy,serial_timesteps,explained_variance
-0.5210090930722799,-0.006184633,0.004045814,0.037922,34.8,0.5084604,7849,-0.03949577,1,0.0026161670684814453,50000,5.680162,500,0.16010522842407227
-0.4985882714892796,-0.004860611,0.0034730595,0.029844003,42.46,0.4597056,8067,-0.039153177,2,7.190160274505615,100000,5.6909337,1000,0.2859649062156677
-0.37790811659724566,-0.0052345423,0.0038343384,0.033975996,36.11,0.45789778,8221,-0.044987753,3,13.886751890182495,150000,5.6875124,1500,0.4002850651741028
-0.6172266875003697,-0.0051461165,0.0036377546,0.031931996,38.43,0.396021,8387,-0.043276854,4,20.56148362159729,200000,5.687586,2000,0.48310714960098267
-1.037490619737655,-0.005601846,0.0039995434,0.036330003,39.3,0.39572114,8114,-0.04335322,5,27.07447123527527,250000,5.6763062,2500,0.5209842026233673
-0.11090570423810277,-0.0054585147,0.0036887932,0.032218,34.98,0.34675872,8188,-0.03869755,6,33.83204483985901,300000,5.657215,3000,0.5974716246128082
-0.648290472977169,-0.005502143,0.0036696985,0.032642003,41.42,0.32682765,7828,-0.040280275,7,40.57340097427368,350000,5.6438584,3500,0.6299003660678864
-0.5029383148170745,-0.005069103,0.0034189979,0.027689995,39.39,0.30709243,8180,-0.039443713,8,47.49103283882141,400000,5.6327596,4000,0.6607411801815033
-0.44554038589820266,-0.005441814,0.0034741305,0.029899998,42.41,0.28700173,8225,-0.036884487,9,54.26921081542969,450000,5.633545,4500,0.6941701471805573
-0.05931144065805711,-0.005647318,0.0035876695,0.031802002,37.13,0.26735276,8073,-0.036948808,10,60.84165048599243,500000,5.6314044,5000,0.7256840169429779
-0.5431099087157054,-0.0056231283,0.003951679,0.035533994,39.25,0.2790986,8183,-0.039063,11,67.54585099220276,550000,5.6177864,5500,0.7314803600311279
-0.5890668116403686,-0.005441925,0.0036465735,0.031126004,41.2,0.2716467,8028,-0.03912739,12,74.19357681274414,600000,5.5967665,6000,0.7662221342325211
-0.49564758483516924,-0.006360675,0.003919679,0.035262,38.26,0.26901683,8048,-0.034276992,13,80.92951941490173,650000,5.5745344,6500,0.7735752165317535
-0.706728599594353,-0.005699125,0.0038285411,0.034473993,39.81,0.26036364,8594,-0.035801563,14,87.66107559204102,700000,5.560458,7000,0.7748865932226181
-0.4678913729815395,-0.005686051,0.003687141,0.032375995,38.0,0.25608024,7982,-0.039547134,15,94.00951981544495,750000,5.553824,7500,0.8026012629270554
-0.6628237878474466,-0.005647555,0.0038015905,0.034513995,40.87,0.24637121,7927,-0.034011263,16,100.92651724815369,800000,5.5439134,8000,0.8123374730348587
-0.24780139964976114,-0.0061168764,0.004195019,0.03993599,37.81,0.2563338,8009,-0.03431218,17,107.72939538955688,850000,5.5200896,8500,0.8118052333593369
-0.5869897454207966,-0.005862022,0.004314097,0.041284002,42.03,0.23330536,8231,-0.032058913,18,114.29578065872192,900000,5.491267,9000,0.8191424310207367
-0.40151173062033196,-0.006241047,0.004199349,0.040203996,36.64,0.242004,7991,-0.034107577,19,120.65418291091919,950000,5.4713326,9500,0.8442313522100449
-0.4135127032897435,-0.0062844837,0.004437347,0.044531997,39.38,0.24627046,8057,-0.027536819,20,127.50371718406677,1000000,5.4559546,10000,0.8351971358060837
-0.41902356304195565,-0.0060641184,0.0041296906,0.03847,40.0,0.24482323,8311,-0.025767528,21,134.18642115592957,1050000,5.432397,10500,0.8498969972133636
-0.038478651370896844,-0.005906824,0.004270467,0.040092006,36.29,0.24927562,8081,-0.025721224,22,140.87606763839722,1100000,5.4039803,11000,0.8492395877838135
-0.13863228795940813,-0.006330719,0.0044007488,0.04284799,35.46,0.23726192,8031,-0.02807074,23,147.7413136959076,1150000,5.3898506,11500,0.8594519197940826
-0.07596698331835797,-0.0066176075,0.004521261,0.044338003,41.51,0.24819571,8180,-0.024611287,24,154.55616545677185,1200000,5.372389,12000,0.8606842309236526
-0.26588596547197085,-0.006784199,0.0044577704,0.045054004,41.31,0.24945745,8166,-0.024988394,25,161.26265120506287,1250000,5.3465314,12500,0.8523465842008591
0.11775066769516343,-0.0060457103,0.0042542503,0.04019799,38.27,0.26055178,8396,-0.021824824,26,167.75195169448853,1300000,5.325412,13000,0.8653860539197922
-0.08877033411030424,-0.005366969,0.0039924793,0.036718,40.98,0.2614297,8131,-0.023654006,27,174.14489078521729,1350000,5.301673,13500,0.8686087727546692
0.03523122842467274,-0.005771647,0.0043611806,0.042415988,41.69,0.2674541,8422,-0.022933967,28,180.90912199020386,1400000,5.279616,14000,0.8633095771074295
0.39275949249829867,-0.0063394774,0.0044835773,0.045578003,39.32,0.25151372,8041,-0.0193554,29,187.30488681793213,1450000,5.2569227,14500,0.8831033185124397
0.08802213527247658,-0.0065944763,0.004446673,0.044824,39.19,0.27363926,8251,-0.015523539,30,194.08836674690247,1500000,5.2305017,15000,0.8772935345768929
0.2353068791183614,-0.0060403794,0.004671887,0.047973987,39.11,0.27000856,8169,-0.015219307,31,200.7483673095703,1550000,5.20879,15500,0.8701179623603821
0.029835989333005273,-0.0060936343,0.004630648,0.046694003,42.28,0.26439118,7975,-0.017419828,32,207.39344453811646,1600000,5.1857038,16000,0.8699873387813568
0.0682520356416353,-0.006340204,0.004557741,0.04562,41.38,0.26518056,8143,-0.016069153,33,214.20515537261963,1650000,5.1551647,16500,0.8845266252756119
0.7784685211523902,-0.006394855,0.004337768,0.04359399,43.7,0.26524657,8350,-0.011735138,34,220.6081314086914,1700000,5.133715,17000,0.8768599703907967
0.4507323359798465,-0.0064607128,0.00438834,0.04415801,44.8,0.26988897,8413,-0.013839482,35,227.15310096740723,1750000,5.117048,17500,0.8846379667520523
0.4144485147312662,-0.0064486116,0.004509407,0.045726005,41.49,0.2497847,8449,-0.011027935,36,233.71626949310303,1800000,5.094157,18000,0.8832795768976212
0.38997502887359586,-0.0060301763,0.0041481103,0.039807998,34.89,0.27577382,8482,-0.010469917,37,240.02713680267334,1850000,5.066889,18500,0.8893306478857994
0.5124975632237329,-0.006395898,0.0048308684,0.050445996,41.39,0.27332875,8196,-0.008879234,38,246.19504141807556,1900000,5.0355496,19000,0.8830800130963326
0.21896245938482026,-0.006195089,0.0041655614,0.039359998,39.69,0.26907754,8285,-0.005336667,39,252.81232261657715,1950000,5.0106688,19500,0.8952604755759239
