true_reward,value_loss,policy_loss,fps,approxkl,ep_reward_mean,n_updates,policy_entropy,explained_variance,time_elapsed,clipfrac,ep_len_mean,serial_timesteps,total_timesteps
-0.05225041,0.9935192,-0.004287092,7781,0.0037206104,-2.018902345991454,1,5.6802745,0.07116848230361938,0.020520448684692383,0.032651994,74.55,500,50000
-0.048842646,0.8557136,-0.0038793813,8137,0.003591698,-2.4179099490220572,2,5.6753654,0.25561368465423584,7.187175035476685,0.030032005,78.49,1000,100000
-0.0380241,0.68399,-0.0036066736,7882,0.0034434267,-1.2151658304618123,3,5.6676073,0.4611360430717468,13.891243934631348,0.027436,69.11,1500,150000
-0.04151063,0.67064726,-0.0036478147,8034,0.0034521448,-2.144799316964882,4,5.6676207,0.5590919554233551,20.74367666244507,0.027839994,83.63,2000,200000
-0.045033686,0.617337,-0.0043443628,8261,0.0038359566,-2.8229908435670814,5,5.6669316,0.6406536102294922,27.529518604278564,0.034026004,74.15,2500,250000
-0.0403027,0.54747796,-0.0040733884,7993,0.0035360889,-1.7706294675919252,6,5.6715407,0.6914825439453125,34.120243072509766,0.030886,83.12,3000,300000
-0.03579511,0.43038395,-0.004390096,8104,0.00379081,-2.3156641815129912,7,5.6720476,0.7633043080568314,40.95761847496033,0.033081997,90.03,3500,350000
-0.030491827,0.38709542,-0.004456519,8086,0.0041583516,-1.0445113168471927,8,5.6702714,0.7963565140962601,47.59135699272156,0.037145995,80.64,4000,400000
-0.025317295,0.35547566,-0.0047329892,8132,0.0043628654,-1.4844055715006426,9,5.6570253,0.8253925442695618,54.30124592781067,0.040306006,87.24,4500,450000
-0.022338763,0.31608674,-0.005470848,8025,0.0044054766,-0.6963776013830375,10,5.64299,0.8512897789478302,60.76337504386902,0.042533997,87.15,5000,500000
-0.015333058,0.2785177,-0.005200095,7870,0.0045998786,-0.6248064128896658,11,5.631646,0.8787579089403152,67.36761331558228,0.044544004,85.08,5500,550000
-0.014068058,0.28561726,-0.0053035915,7828,0.004285259,-0.18260422175399071,12,5.6245418,0.8837802708148956,74.16885805130005,0.041034,78.49,6000,600000
-0.0038898129,0.24439166,-0.0055200527,7873,0.0044182246,-0.20474943557966868,13,5.6199803,0.9045853242278099,81.07677173614502,0.043199997,80.77,6500,650000
-3.1686784e-05,0.20998687,-0.006159846,8024,0.0049358555,0.42443190377844076,14,5.617383,0.9140064418315887,87.9985728263855,0.05219401,76.4,7000,700000
0.011544212,0.21503961,-0.0058725365,7811,0.0047150934,0.7566272326376202,15,5.6164465,0.9155179858207703,94.79708480834961,0.049146004,89.95,7500,750000
0.018711755,0.20141922,-0.0059649516,8132,0.004882108,2.0181531075363184,16,5.612401,0.9229737520217896,101.75446820259094,0.050838005,76.9,8000,800000
0.0256612,0.1845919,-0.005652728,8335,0.0045100846,1.300135330793364,17,5.6044326,0.931238666176796,108.34995174407959,0.046206016,70.97,8500,850000
0.026378049,0.2049876,-0.0058715213,7873,0.0048778425,1.7363882324747646,18,5.594448,0.9269891604781151,114.95282363891602,0.05123001,67.25,9000,900000
