total_timesteps,approxkl,n_updates,explained_variance,ep_reward_mean,fps,time_elapsed,clipfrac,policy_entropy,serial_timesteps,ep_len_mean,policy_loss,value_loss,true_reward
50000,0.0037600356,1,-0.25372040271759033,-0.762289677975059,7841,0.02146458625793457,0.031593993,5.665549,500,41.89,-0.0057969023,0.16319345,-0.0445363
100000,0.0035457506,2,0.25747668743133545,-0.42401550777765806,7984,7.1715216636657715,0.030619998,5.656239,1000,36.18,-0.005699367,0.10202243,-0.04485042
150000,0.0034851686,3,0.5582432448863983,-0.7947526865010149,8130,13.768283128738403,0.029738002,5.6520324,1500,36.43,-0.0055811806,0.07175032,-0.047148626
200000,0.0034616299,4,0.7148860096931458,-0.3694975064181199,8050,20.48543953895569,0.029960003,5.65458,2000,38.41,-0.0062453044,0.045659665,-0.04202783
250000,0.0036236912,5,0.7819265574216843,-0.7799863486282266,8059,27.346351385116577,0.032445997,5.665878,2500,37.32,-0.005921653,0.03494746,-0.04797546
300000,0.0037005607,6,0.8204896599054337,-0.5312857998318941,7865,34.117018938064575,0.031480003,5.66518,3000,39.62,-0.005864172,0.034035627,-0.04309358
350000,0.003923832,7,0.8520360141992569,-0.783612789650797,7874,40.834020137786865,0.035138007,5.6376467,3500,40.99,-0.005794029,0.028802171,-0.04267343
400000,0.0036272302,8,0.8715682178735733,-0.7331494929173278,7937,47.79851269721985,0.030186007,5.608109,4000,43.35,-0.0059409956,0.026745243,-0.047031
450000,0.004021624,9,0.8702086061239243,-0.8340379756910261,7755,54.662317514419556,0.03492199,5.578612,4500,41.0,-0.0059497124,0.02577658,-0.043970563
500000,0.0038506174,10,0.8923156335949898,-0.5974765366308565,7762,61.67235064506531,0.034375995,5.555398,5000,36.57,-0.0058648423,0.024515247,-0.04052775
550000,0.0037059805,11,0.9019575491547585,-0.6368480899467976,7806,68.65957880020142,0.032253996,5.546072,5500,39.73,-0.005774674,0.022913964,-0.041883178
600000,0.0036890903,12,0.9044433683156967,-0.5377171704966167,7732,75.56823825836182,0.032721996,5.5311084,6000,37.89,-0.0060637933,0.022558635,-0.03995255
650000,0.0039896346,13,0.9118425324559212,-0.48633161356709026,7906,82.5248749256134,0.037391994,5.5118494,6500,39.67,-0.006326631,0.0196674,-0.039211523
700000,0.0039498834,14,0.9080548137426376,-0.3420189497595857,7711,89.34847211837769,0.03726,5.494099,7000,42.75,-0.0067912387,0.019851007,-0.039664067
750000,0.0040202993,15,0.9149444922804832,-0.8302680070242604,7907,96.39218783378601,0.03705,5.4753785,7500,43.45,-0.006135694,0.019034259,-0.039478492
800000,0.003732343,16,0.9148715361952782,-0.12775364052329677,7818,103.28747153282166,0.034186002,5.4617896,8000,49.6,-0.006410515,0.018951515,-0.0379757
850000,0.004430194,17,0.920533299446106,-0.43464878670391044,7959,110.29998087882996,0.04423801,5.446922,8500,41.27,-0.006892296,0.017290559,-0.0353067
900000,0.0043350374,18,0.9259960725903511,-0.5472775332089077,7960,117.09156084060669,0.042033996,5.422357,9000,46.11,-0.006521827,0.017314645,-0.036888566
950000,0.0044062487,19,0.9261311963200569,-0.4488914166550967,8129,123.9480528831482,0.043036003,5.4005046,9500,42.98,-0.0069272583,0.01581377,-0.037548233
1000000,0.00406475,20,0.9300031736493111,-0.3339567419351806,7688,130.5226767063141,0.037095994,5.3808546,10000,40.13,-0.0063698036,0.0168633,-0.036164217
1050000,0.0042954087,21,0.9349967837333679,0.11013268729991978,8198,137.44227623939514,0.040338006,5.3563313,10500,42.45,-0.0066753756,0.016210733,-0.032745704
1100000,0.004385099,22,0.9329190030694008,-0.5916008279559901,7995,144.11438131332397,0.042807993,5.332951,11000,39.26,-0.006664972,0.015553402,-0.036380436
1150000,0.0043784315,23,0.9375197775661945,-0.12101227126029698,8150,150.9215772151947,0.043394003,5.3100085,11500,41.01,-0.0069937217,0.015621418,-0.030313106
1200000,0.004283784,24,0.9371899664402008,0.16817282868541952,7918,157.52541399002075,0.041972008,5.288831,12000,42.61,-0.00658451,0.016454132,-0.032803837
1250000,0.0047847675,25,0.9345351681113243,-0.4854077927083017,7984,164.29613709449768,0.050543994,5.2730975,12500,43.21,-0.0071750027,0.015520126,-0.03330334
1300000,0.0044760434,26,0.937009908258915,-0.2256432324158959,8215,170.95687055587769,0.044855997,5.253967,13000,43.02,-0.006912883,0.015989464,-0.035954233
1350000,0.0041190227,27,0.9434967041015625,-0.050222925357084024,7968,177.65534830093384,0.038867995,5.2304926,13500,41.57,-0.0069524683,0.014467498,-0.02888606
1400000,0.004247603,28,0.9425107873976231,0.04110346933350229,8631,184.43757271766663,0.040726002,5.216461,14000,44.5,-0.006648945,0.016021512,-0.03187075
1450000,0.004486204,29,0.9446004331111908,-0.11751340424088993,8787,190.7324573993683,0.04490201,5.1985254,14500,39.1,-0.0070903874,0.013466902,-0.029570607
1500000,0.0044791563,30,0.9503936506807804,0.23497381392269745,8237,197.04203343391418,0.044694,5.1706038,15000,44.68,-0.007263011,0.011462296,-0.02739504
