n_updates,fps,policy_entropy,true_reward,value_loss,approxkl,total_timesteps,ep_reward_mean,serial_timesteps,explained_variance,policy_loss,time_elapsed,clipfrac,ep_len_mean
1,7940,5.6753774,-0.04764731,0.7008478,0.004006081,50000,-0.8616920711802959,500,0.10386264324188232,-0.006221079,0.02021479606628418,0.036106005,39.37
2,8223,5.6675673,-0.04436771,0.6256213,0.0033926456,100000,-0.5329973068632534,1000,0.2634836435317993,-0.005289352,7.082552671432495,0.027927997,36.89
3,8138,5.660233,-0.04858523,0.5452171,0.0036765658,150000,-1.1221379198077193,1500,0.39061152935028076,-0.0052569048,13.6498863697052,0.033163995,36.99
4,8229,5.6532416,-0.047454365,0.49091393,0.0036653837,200000,-0.8601852608844638,2000,0.45887136459350586,-0.0058192285,20.304657220840454,0.032213997,36.49
5,8020,5.6434646,-0.0410482,0.40558627,0.003565204,250000,-0.6533665056081737,2500,0.5444990694522858,-0.0053332234,26.97527050971985,0.030924005,39.55
6,8098,5.630036,-0.04661525,0.43037328,0.0037068417,300000,-0.9280560943092859,3000,0.571670413017273,-0.0053513907,33.561705589294434,0.032511998,40.82
7,7761,5.6103454,-0.042463966,0.35100755,0.0040178783,350000,-0.7660128805589557,3500,0.6102051734924316,-0.0057351096,40.445207595825195,0.03603199,45.05
8,8101,5.6039143,-0.042906616,0.3636219,0.003432408,400000,-0.38642621632563534,4000,0.6632381677627563,-0.0050445735,47.448368310928345,0.028516002,36.2
9,7809,5.5967937,-0.04284096,0.30350152,0.0034746465,450000,-0.289511893372146,4500,0.71446293592453,-0.005014174,54.22639513015747,0.028406,35.43
10,7732,5.586101,-0.04274199,0.29889876,0.0036401341,500000,-0.6909414144145194,5000,0.7293038368225098,-0.0055810786,61.22342562675476,0.030580001,37.78
11,8241,5.5780163,-0.038291343,0.2942955,0.0035479262,550000,-0.7800499344691707,5500,0.76683109998703,-0.005507145,68.07498073577881,0.029812003,39.08
12,8007,5.561468,-0.040859893,0.27270234,0.003762443,600000,-0.1372046063678863,6000,0.7860226929187775,-0.0054088254,74.60355687141418,0.033518,36.22
13,7895,5.542505,-0.03930728,0.26475707,0.00383925,650000,-1.0439295682651573,6500,0.8061972111463547,-0.0058266534,81.19551396369934,0.033771995,39.83
14,8154,5.529546,-0.039739423,0.2612008,0.0039777225,700000,-0.6113783724821406,7000,0.8186664283275604,-0.006293327,87.95428943634033,0.037357997,37.31
15,8122,5.5104384,-0.03657273,0.25296938,0.0040217345,750000,-0.4724014319649723,7500,0.8222747594118118,-0.0060117943,94.70651888847351,0.03723,41.98
16,8201,5.48689,-0.035476636,0.21942802,0.0037638957,800000,-0.2077700411913247,8000,0.844595804810524,-0.005574886,101.48080229759216,0.032744,41.37
17,8373,5.46916,-0.033862535,0.24884999,0.0041194204,850000,0.02769117330404697,8500,0.8476921170949936,-0.0057253335,108.13720464706421,0.03812,37.25
18,8482,5.4513702,-0.032224614,0.25688803,0.004134132,900000,-0.5792997338200803,9000,0.8555727154016495,-0.005922639,114.66916394233704,0.038281996,44.3
19,7847,5.4319963,-0.031733282,0.2291845,0.0040921276,950000,-0.4232771208147824,9500,0.8670749366283417,-0.0055610873,120.8911919593811,0.0373,39.6
20,8065,5.4107723,-0.031023007,0.21954334,0.0046078484,1000000,-0.28711693896621,10000,0.8731432408094406,-0.0065696905,127.83118963241577,0.047396,40.66
21,7954,5.3880405,-0.030951494,0.22546585,0.00395707,1050000,-0.20069366844691103,10500,0.8716048747301102,-0.0057545905,134.6493685245514,0.03514,38.62
22,8012,5.3672547,-0.02865676,0.26419997,0.004232503,1100000,-0.6391533548095322,11000,0.8679685145616531,-0.006292026,141.61227917671204,0.04101401,37.86
23,7761,5.3498096,-0.025117883,0.2042043,0.0042176777,1150000,-0.18266232655434578,11500,0.8798800408840179,-0.0060638655,148.28272891044617,0.041738,39.84
24,7777,5.3246517,-0.029347679,0.2095452,0.004526699,1200000,-0.46509968967387977,12000,0.8822949603199959,-0.0062889797,155.40007066726685,0.044659987,39.16
25,7773,5.2960343,-0.024831396,0.21695805,0.0041249525,1250000,0.32667564918439895,12500,0.8851009607315063,-0.0059949034,162.37757539749146,0.0383,41.94
26,7953,5.2711635,-0.024533328,0.22289543,0.003876187,1300000,-0.04772675407541101,13000,0.8901433795690536,-0.0057566166,169.2793905735016,0.035847995,44.95
27,8033,5.2524724,-0.029127695,0.18398142,0.004713783,1350000,-0.12668524008862733,13500,0.897905133664608,-0.0065183286,176.1832571029663,0.048362,34.46
28,7946,5.2261415,-0.02218946,0.1930813,0.004334533,1400000,0.1300019940023776,14000,0.88584303855896,-0.006060656,183.06847977638245,0.042310014,39.52
29,7808,5.193443,-0.026633298,0.1824985,0.0044942335,1450000,-0.1294685829282389,14500,0.9084993675351143,-0.006291462,189.83769822120667,0.044553995,36.55
30,8236,5.1655188,-0.022181094,0.1954768,0.004457076,1500000,-0.05707833162145107,15000,0.8972952738404274,-0.0063577737,196.63163304328918,0.043222,37.92
31,8126,5.1445775,-0.023857245,0.19681299,0.0044349823,1550000,0.2493501867049781,15500,0.9035065397620201,-0.006596012,203.22794604301453,0.044975996,39.29
32,8275,5.1293316,-0.024869805,0.17198735,0.004033599,1600000,-0.25965253976508396,16000,0.9066179767251015,-0.005954968,209.87567973136902,0.038228005,35.06
33,7828,5.1036215,-0.019571641,0.17024277,0.0047075246,1650000,0.3942497127219394,16500,0.9187938868999481,-0.0064313076,216.54779028892517,0.047884002,42.32
34,8035,5.0787063,-0.01898745,0.19220033,0.004366496,1700000,0.18631369097682182,17000,0.9097690656781197,-0.0065245535,223.50689315795898,0.044049993,41.99
35,8077,5.053287,-0.01746052,0.19628552,0.0045090504,1750000,0.254414629526982,17500,0.9155780971050262,-0.0063095503,230.13389778137207,0.044765994,40.83
36,8107,5.029502,-0.018988714,0.18022162,0.0044453572,1800000,0.3277207144383283,18000,0.914249062538147,-0.0063289534,236.53866863250732,0.044257995,38.43
37,8018,5.0092335,-0.015699668,0.2002814,0.0041918494,1850000,0.5580103770050846,18500,0.9182600006461143,-0.0064345063,243.38244533538818,0.041514006,39.65
38,7806,4.9759,-0.014039912,0.18324138,0.0047013597,1900000,0.45013494472754245,19000,0.920733854174614,-0.0069729923,250.071613073349,0.047776,38.51
39,7941,4.9529295,-0.013730833,0.19364269,0.0044435887,1950000,0.07434537176792219,19500,0.9161651134490967,-0.006453421,257.00794076919556,0.04415401,39.48
40,8074,4.9277186,-0.014334033,0.18585914,0.004697433,2000000,0.5841905077519186,20000,0.9231010228395462,-0.0066910386,263.7507755756378,0.04776999,45.56
41,8021,4.895738,-0.011386565,0.17918938,0.004645823,2050000,0.6222165553543891,20500,0.9236011654138565,-0.006568657,270.48086380958557,0.045702018,38.08
42,8203,4.8675737,-0.01258914,0.20147476,0.004701139,2100000,0.831510126173016,21000,0.9185694828629494,-0.006591659,277.3005771636963,0.047969986,39.28
43,8219,4.847704,-0.013478767,0.1777241,0.0046236305,2150000,0.659291673532498,21500,0.9261601343750954,-0.006647199,283.73067355155945,0.048118018,40.23
44,8084,4.828437,-0.010846036,0.17774437,0.0046203127,2200000,0.4708943241849192,22000,0.9226467162370682,-0.007129508,290.3648600578308,0.04785201,42.57
45,7821,4.8054066,-0.00928464,0.1847093,0.004660579,2250000,0.4925800013411208,22500,0.9309877678751945,-0.006257326,296.8530716896057,0.046722,42.69
