fps,time_elapsed,approxkl,policy_entropy,value_loss,explained_variance,clipfrac,serial_timesteps,ep_len_mean,n_updates,ep_reward_mean,policy_loss,true_reward,total_timesteps
7551,0.020847320556640625,0.0037886812,5.6692696,1.2722365,0.06771045923233032,0.033345997,500,41.48,1,-2.5400104240556174,-0.0060788216,-0.096418545,50000
7731,7.355334043502808,0.003567808,5.6598606,1.0741267,0.1826421618461609,0.030818004,1000,39.65,2,-2.672015507338226,-0.0050719418,-0.09457511,100000
7916,14.518080472946167,0.003977457,5.653246,1.066049,0.23933666944503784,0.03710401,1500,45.27,3,-3.371996270450154,-0.005680859,-0.09621856,150000
8099,21.30974245071411,0.003331723,5.6413164,0.9210512,0.30117326974868774,0.026667997,2000,39.89,4,-2.874762781344689,-0.004810161,-0.09524216,200000
8139,28.04377579689026,0.0031256215,5.629116,0.76254237,0.3636476397514343,0.025154,2500,39.84,5,-2.7911457297884046,-0.005108476,-0.09351089,250000
7852,34.63858222961426,0.003333359,5.6199865,0.80110246,0.3849278688430786,0.027548,3000,35.18,6,-2.6846380134319405,-0.0052291877,-0.09849433,300000
7864,41.58398509025574,0.003547926,5.6162434,0.7390069,0.4004448652267456,0.030518003,3500,37.0,7,-2.360792390984798,-0.005644121,-0.096936315,350000
8260,48.47832417488098,0.003520589,5.596665,0.60374075,0.4928405284881592,0.030041998,4000,37.59,8,-2.3155025283479334,-0.0052794307,-0.09497108,400000
8372,55.10116624832153,0.0037068084,5.5740466,0.58343947,0.544376790523529,0.03269,4500,37.85,9,-2.496430403486156,-0.0055343374,-0.09570206,450000
8156,61.452990770339966,0.003512971,5.570284,0.49038756,0.6076468229293823,0.029999997,5000,44.72,10,-3.037851712405245,-0.0055034454,-0.09329894,500000
8238,68.2051510810852,0.003532435,5.5585656,0.48613277,0.6382473409175873,0.030054001,5500,37.56,11,-2.2241251619760534,-0.0056173126,-0.09383408,550000
8281,74.49542808532715,0.0034802621,5.547463,0.4337611,0.6974621415138245,0.029715998,6000,42.58,12,-2.595880444188515,-0.0053117992,-0.09223613,600000
8188,81.04832100868225,0.003691901,5.5367236,0.39184847,0.7233322560787201,0.031672005,6500,35.89,13,-2.6120646518018567,-0.005118106,-0.09258559,650000
7903,87.70775294303894,0.0035171786,5.5228705,0.3984318,0.7614977955818176,0.028898,7000,38.48,14,-2.7634506377057915,-0.004856363,-0.09334721,700000
8004,94.49111294746399,0.0034315726,5.507681,0.35483146,0.7763067334890366,0.028022,7500,37.16,15,-2.4580214182339386,-0.0051363474,-0.087667234,750000
7948,101.32104015350342,0.0032018009,5.492948,0.33020172,0.8087314814329147,0.025040003,8000,40.14,16,-2.3518061842724274,-0.0047599864,-0.09117779,800000
