value_loss,true_reward,clipfrac,explained_variance,total_timesteps,ep_len_mean,time_elapsed,ep_reward_mean,policy_loss,fps,serial_timesteps,approxkl,policy_entropy,n_updates
0.6983932,-0.04788458,0.034082003,0.08358561992645264,50000,37.87,0.020325660705566406,-0.734140472994768,-0.005662126,7854,500,0.0038690148,5.6744995,1
0.64271,-0.0527842,0.029374003,0.289681077003479,100000,32.62,7.171059846878052,-0.32454435572610235,-0.005124104,7941,1000,0.0034666306,5.6760693,2
0.526852,-0.042942047,0.027862001,0.354583203792572,150000,34.25,14.091454982757568,-0.46862411452952074,-0.005366063,8023,1500,0.0033186905,5.666701,3
0.39885414,-0.044165436,0.031248,0.4725167155265808,200000,38.75,20.598026752471924,-1.0380911777262372,-0.005429528,8166,2000,0.0036430287,5.6565266,4
0.4248717,-0.045053095,0.029358001,0.519353449344635,250000,44.04,27.15711522102356,-0.7560114471979614,-0.0052221757,8194,2500,0.0035497537,5.6365047,5
0.40185672,-0.043801144,0.034642007,0.5818459093570709,300000,42.83,33.80688834190369,-0.5858494842235086,-0.005763403,8107,3000,0.0038322199,5.612758,6
0.3470072,-0.040007472,0.03738401,0.6342902481555939,350000,38.4,40.53921604156494,-0.20625549767064513,-0.005766744,8182,3500,0.004023078,5.5934997,7
0.32924935,-0.0410923,0.03709,0.6775977313518524,400000,37.89,47.23178744316101,-0.14509820281227803,-0.0059787347,7914,4000,0.0040463763,5.575233,8
0.30800653,-0.041107904,0.031349994,0.7112350463867188,450000,39.2,54.09592056274414,-0.5837810728415207,-0.005771432,8063,4500,0.0036206266,5.5687957,9
0.31957674,-0.042994156,0.031720005,0.7325277030467987,500000,38.44,60.81940817832947,-0.3282901649111591,-0.005172832,7961,5000,0.003743222,5.558348,10
0.2831362,-0.042683475,0.034800004,0.7603311538696289,550000,38.56,67.6763436794281,-0.1569111443125439,-0.0056052655,7842,5500,0.0039670034,5.530269,11
