fps,time_elapsed,policy_loss,true_reward,total_timesteps,approxkl,explained_variance,value_loss,serial_timesteps,policy_entropy,n_updates,ep_reward_mean,ep_len_mean,clipfrac
7785,0.02012920379638672,-0.005902916,-0.04471949,50000,0.003949745,0.0960037112236023,0.65475893,500,5.6691303,1,-0.5787605567411811,41.04,0.034904003
7807,7.251270771026611,-0.004871237,-0.049766406,100000,0.0033646182,0.27009135484695435,0.6308816,1000,5.657706,2,-0.6117037202570645,40.81,0.027697999
7955,14.173742771148682,-0.006008783,-0.042184073,150000,0.0038011489,0.3802340030670166,0.49560001,1500,5.6505384,3,-0.552271172353212,38.84,0.034967996
7788,20.96028971672058,-0.0054420847,-0.045187782,200000,0.0036704459,0.45820510387420654,0.4748386,2000,5.649884,4,-0.6419823640680988,38.13,0.032577995
7861,27.99627161026001,-0.005389421,-0.048587486,250000,0.0036291874,0.5321042239665985,0.45500293,2500,5.638037,5,-0.6041643938729249,40.54,0.031336002
7727,34.96756601333618,-0.0051850914,-0.042395663,300000,0.003533211,0.5767203867435455,0.38628528,3000,5.6251054,6,-0.14876172201198642,39.89,0.029477999
7601,42.08611822128296,-0.00545797,-0.04365595,350000,0.0038126612,0.633025586605072,0.36509445,3500,5.6111827,7,-0.2536713192485695,40.6,0.034859993
7707,49.281705141067505,-0.0052173226,-0.04499313,400000,0.0033278968,0.66697758436203,0.34199443,4000,5.5916924,8,-0.7833863696650951,41.34,0.027218003
7792,56.3530011177063,-0.0058896244,-0.045180704,450000,0.0036747428,0.7150872945785522,0.34329805,4500,5.576557,9,-0.940184044257112,40.61,0.032264
7758,63.25808143615723,-0.005604094,-0.040158693,500000,0.0035088279,0.7355770766735077,0.291701,5000,5.5647364,10,-0.6299188744820277,42.24,0.031012
7811,70.36172032356262,-0.005676827,-0.04197503,550000,0.003715082,0.7562766671180725,0.27299595,5500,5.556543,11,-0.7551208797494837,39.76,0.033476003
7758,77.30478739738464,-0.0057791043,-0.038834784,600000,0.0038423312,0.7772619873285294,0.29285806,6000,5.537122,12,-0.43103226659222854,35.43,0.034077995
7941,84.19612312316895,-0.0057051433,-0.041012928,650000,0.0038614222,0.8041673451662064,0.24569963,6500,5.507227,13,-0.8057507503715169,36.58,0.034330003
8082,90.95778250694275,-0.005821729,-0.035989366,700000,0.003910592,0.8247514367103577,0.2409231,7000,5.4901776,14,-0.5769449563752278,37.97,0.036152
8358,97.69894742965698,-0.0061656986,-0.042036444,750000,0.0041450947,0.8254714012145996,0.27011564,7500,5.4780073,15,-0.5569981347573048,36.27,0.03923
8030,104.1310088634491,-0.005730592,-0.036295727,800000,0.0039554564,0.8324720114469528,0.22870034,8000,5.4629164,16,-0.043785570307227316,38.34,0.035467997
7822,110.94103980064392,-0.0056093065,-0.035726532,850000,0.003747283,0.8516695648431778,0.22592674,8500,5.4421496,17,-0.2989812510188494,31.41,0.033576
7971,117.73763942718506,-0.0061419397,-0.034162086,900000,0.0042149005,0.8549874573945999,0.23751007,9000,5.422688,18,-0.1116772994002531,41.85,0.041170005
7935,124.63699293136597,-0.0058491393,-0.029821632,950000,0.0040021623,0.861171543598175,0.22702695,9500,5.4001403,19,-0.14890427972648468,40.78,0.037442
7900,131.5422351360321,-0.006768948,-0.036169115,1000000,0.0042981263,0.8569329679012299,0.25351065,10000,5.38262,20,-0.6568686811317457,41.12,0.04206601
7952,138.41966605186462,-0.005713406,-0.026921337,1050000,0.0042587034,0.8785537257790565,0.21359287,10500,5.3652697,21,-0.265578108334812,39.03,0.040252004
8035,145.18103981018066,-0.006253481,-0.029765131,1100000,0.0042209984,0.8818376213312149,0.20187882,11000,5.340536,22,0.09021589069932816,43.52,0.040108
8015,151.9381914138794,-0.0063840128,-0.030098675,1150000,0.0044316463,0.8878943398594856,0.2107433,11500,5.3080206,23,-0.39095662317442476,42.31,0.041860007
7809,158.4318687915802,-0.006293101,-0.02649658,1200000,0.004530579,0.8877189457416534,0.2156412,12000,5.275992,24,-0.4677355819557852,44.14,0.045147996
7822,165.30924272537231,-0.0065444172,-0.026698215,1250000,0.0045052473,0.8860200569033623,0.21390525,12500,5.238592,25,-0.04313989976933954,41.7,0.042944
7921,172.1314356327057,-0.00590351,-0.025490839,1300000,0.0041308505,0.8901505842804909,0.21388689,13000,5.209169,26,-0.15241213939298176,41.91,0.038443998
7689,179.01980757713318,-0.0066523217,-0.027870372,1350000,0.0047438275,0.8849844038486481,0.21249138,13500,5.1851563,27,0.1261492008109053,38.4,0.049788002
7927,185.9797966480255,-0.0067906855,-0.025071621,1400000,0.0048289457,0.8983987793326378,0.19648477,14000,5.1558604,28,0.08227844012479181,41.24,0.050876003
8257,192.93393731117249,-0.0068493,-0.02119979,1450000,0.004397208,0.8977074772119522,0.21564682,14500,5.128195,29,-0.09410412657816777,46.52,0.043624006
7773,199.49069547653198,-0.006042047,-0.024074525,1500000,0.0045358744,0.8991967663168907,0.2064877,15000,5.1038194,30,0.2740295419823815,38.01,0.04588401
7987,206.5440833568573,-0.006499605,-0.020647513,1550000,0.0044205347,0.9151503816246986,0.19189768,15500,5.081104,31,-0.05944930258745444,41.67,0.043919995
7998,213.36163473129272,-0.0068594874,-0.023577647,1600000,0.004688688,0.905647024512291,0.20078932,16000,5.065208,32,0.39299685558653435,37.97,0.049836002
7916,220.20850038528442,-0.00691029,-0.016099837,1650000,0.004789415,0.9122572392225266,0.18987034,16500,5.0471144,33,0.08051485866766597,45.52,0.05031799
7733,227.01696705818176,-0.0061133234,-0.018789379,1700000,0.004148353,0.9159918576478958,0.17670706,17000,5.025442,34,0.046076268747710855,44.21,0.038932007
7995,234.04266929626465,-0.0070845014,-0.016731547,1750000,0.0049633123,0.9201269596815109,0.19295849,17500,5.0015574,35,0.3275361381307448,46.94,0.053639993
7620,240.78957557678223,-0.0068903877,-0.014900713,1800000,0.0049079,0.9206248670816422,0.18639392,18000,4.972918,36,0.5442850101741351,46.3,0.051412
8022,247.97437810897827,-0.006554802,-0.014150287,1850000,0.004621438,0.9228097349405289,0.18580632,18500,4.9450407,37,0.435602057750948,41.34,0.047622
7967,254.5701723098755,-0.0061254124,-0.01256977,1900000,0.004119477,0.923073798418045,0.18588184,19000,4.922505,38,0.2925268874023459,37.31,0.039538004
8047,261.393931388855,-0.006860699,-0.013247805,1950000,0.00478551,0.9194140434265137,0.18462373,19500,4.894597,39,0.37747862784173775,44.25,0.049170006
7737,268.07397198677063,-0.0070064627,-0.008102069,2000000,0.004471512,0.9228147193789482,0.19735436,20000,4.8649535,40,1.176397257859062,43.92,0.044595994
8071,274.84338569641113,-0.0067025064,-0.012200172,2050000,0.0047086854,0.9285465106368065,0.17204271,20500,4.833133,41,0.34262617092957953,41.22,0.048226003
7725,281.56849217414856,-0.0065798485,-0.0047197733,2100000,0.004793966,0.9269286766648293,0.19070517,21000,4.8013024,42,0.9875978160233353,45.47,0.048917998
8053,288.5063090324402,-0.0072311955,-0.0019255609,2150000,0.0049491543,0.9262391999363899,0.19173671,21500,4.7678967,43,1.0008059693775795,42.61,0.051952004
7951,295.3359444141388,-0.006782971,-0.0050405655,2200000,0.00495441,0.9345641583204269,0.18448791,22000,4.743693,44,0.6587056189334544,44.38,0.053190004
7771,302.14515805244446,-0.0075533153,-0.0075862044,2250000,0.0049785357,0.9302593916654587,0.18907854,22500,4.718027,45,0.6083618275290064,42.25,0.053965993
7732,308.8915936946869,-0.0071060564,-0.0037611786,2300000,0.0051112073,0.9312781244516373,0.20173174,23000,4.6862626,46,0.8858087201039598,45.58,0.055156004
7964,315.7836425304413,-0.0066749332,-0.0045439815,2350000,0.0049216137,0.938144139945507,0.20545001,23500,4.656415,47,0.7037117779567051,43.28,0.051484004
