serial_timesteps,approxkl,total_timesteps,time_elapsed,ep_len_mean,n_updates,ep_reward_mean,value_loss,explained_variance,policy_loss,fps,clipfrac,policy_entropy,true_reward
500,0.00369746,50000,0.0025479793548583984,34.22,1,-12.186187643500162,42.94516,0.022564470767974854,-0.004935713,18106,0.030945998,5.6736813,-0.5226618
1000,0.0034374986,100000,3.395594835281372,26.14,2,-6.023178746589183,55.456757,0.02285546064376831,-0.0045027635,14878,0.029350001,5.6726775,-0.530266
1500,0.0029919357,150000,7.371912479400635,26.54,3,-5.024685911871857,64.94559,0.027627527713775635,-0.004144877,13855,0.022888003,5.6806197,-0.5245659
2000,0.0035129986,200000,11.42858624458313,28.24,4,-5.05884246216343,36.639633,0.08835375308990479,-0.0046625924,17944,0.032833997,5.6887445,-0.5063849
2500,0.0036008134,250000,14.911681652069092,30.32,5,-7.248174354614949,27.504234,0.16324245929718018,-0.0050194543,14752,0.032502,5.6952095,-0.49421865
3000,0.0035226094,300000,18.884708881378174,26.7,6,-4.654672299836821,26.003794,0.18149691820144653,-0.005026332,17187,0.029056007,5.6972284,-0.48787493
3500,0.0031950513,350000,22.333374977111816,29.75,7,-4.92292560813903,91.551025,0.01815396547317505,-0.0044357795,15938,0.026254,5.7016845,-0.52341616
4000,0.0039171777,400000,26.08907413482666,30.59,8,-5.414120982423701,34.234386,0.12348461151123047,-0.004855677,17433,0.039095998,5.720711,-0.49822485
4500,0.0039683143,450000,29.319676399230957,29.28,9,-4.931106499588423,23.378992,0.19262415170669556,-0.0050573163,17358,0.039168004,5.724611,-0.47475734
5000,0.003342472,500000,32.703155755996704,33.2,10,-15.401670428391736,44.324535,0.06809169054031372,-0.0041348943,18628,0.028164003,5.716631,-0.4745323
5500,0.003695094,550000,35.9954047203064,28.18,11,-3.7716074120001575,17.659233,0.27172696590423584,-0.0048305867,16640,0.033887994,5.715217,-0.445884
6000,0.0038477299,600000,39.525832414627075,27.75,12,-4.2387747669249665,14.797826,0.3602210283279419,-0.004618433,17196,0.035491996,5.718018,-0.43555173
6500,0.00390989,650000,42.99462008476257,32.28,13,-4.371542914458973,15.549299,0.2977789640426636,-0.005098687,18279,0.037455995,5.731568,-0.42850962
7000,0.0037177468,700000,46.27974796295166,31.42,14,-4.437626507713649,19.950935,0.17843347787857056,-0.004795617,16087,0.033447996,5.735225,-0.43848708
7500,0.004268105,750000,49.93893623352051,31.93,15,-4.435353559760796,10.149934,0.46073901653289795,-0.005453037,17658,0.04444599,5.734045,-0.40730524
