true_reward,explained_variance,time_elapsed,policy_loss,value_loss,policy_entropy,n_updates,clipfrac,ep_reward_mean,fps,ep_len_mean,total_timesteps,approxkl,serial_timesteps
-0.5249776,0.030752956867218018,0.002603769302368164,-0.0022379472,33.608143,5.674677,1,0.020806,-6.005231928393259,10487,27.03,50000,0.0025606602,500
-0.51290697,0.0677759051322937,4.984562873840332,-0.0016343653,30.916153,5.671589,2,0.013346,-5.684632263906736,11895,26.31,100000,0.0018551133,1000
-0.49813044,0.11814701557159424,9.253694772720337,-0.00038704782,27.773666,5.6710167,3,0.011446,-5.7494827375113395,11452,26.47,150000,0.0017857574,1500
-0.48732495,0.15505480766296387,13.680029153823853,-0.0005286272,25.993912,5.669621,4,0.052203994,-4.927253236394972,11939,25.92,200000,0.004336657,2000
-0.4854464,0.17905133962631226,17.950879335403442,0.0008752469,24.780378,5.6684775,5,0.023748,-6.05007663300878,10674,29.55,250000,0.0027091273,2500
-0.47662503,0.2240769863128662,22.710259437561035,0.0013293837,22.902134,5.6659865,6,0.08691601,-5.499086385816104,10899,26.4,300000,0.00653949,3000
-0.46917954,0.26569002866744995,27.362826585769653,0.0045681964,21.347004,5.6676264,7,0.086591996,-4.8576177751467915,11476,26.39,350000,0.0065744864,3500
-0.4728395,0.29093873500823975,31.777980089187622,0.004802304,20.888144,5.6712728,8,0.18323198,-4.962324094073047,11626,26.14,400000,0.014638513,4000
-0.46236292,0.29938805103302,36.13976764678955,0.008126381,18.940279,5.676867,9,0.141372,-5.507930734519378,11334,28.87,450000,0.011051333,4500
-0.46978316,0.32717013359069824,40.61543607711792,0.0025787323,19.019665,5.6795955,10,0.13741001,-5.498333295181219,11143,27.36,500000,0.01031859,5000
-0.46036375,0.29537147283554077,45.162713289260864,0.0029622628,17.804197,5.680745,11,0.072692,-5.040996542531412,11047,26.83,550000,0.0055791023,5500
-0.46626908,0.37758034467697144,49.76908540725708,0.0005488056,16.7683,5.6819353,12,0.07507,-4.763109578491203,11915,26.34,600000,0.0057413927,6000
-0.46360716,0.3742561340332031,54.03106641769409,0.0035318458,15.494673,5.681318,13,0.07584399,-4.533406968134586,11673,24.95,650000,0.0058981683,6500
-0.45838907,0.36527031660079956,58.37440538406372,0.0028436645,14.772069,5.6790714,14,0.121496,-4.6638315203651155,11803,27.47,700000,0.009627188,7000
-0.44920692,0.3560637831687927,62.67271852493286,0.0026009683,13.639674,5.676572,15,0.07619001,-4.684150689439338,11853,27.81,750000,0.0058465237,7500
-0.44784296,0.3997678756713867,66.94996643066406,0.001659881,12.486123,5.6751084,16,0.09655,-4.1441694873155805,11532,24.45,800000,0.0073309727,8000
-0.4489613,0.387606680393219,71.36520075798035,0.0035255968,11.97099,5.675083,17,0.112298,-4.6642884044080715,11109,28.8,850000,0.008495551,8500
