ep_len_mean,serial_timesteps,true_reward,ep_reward_mean,total_timesteps,policy_entropy,policy_loss,n_updates,time_elapsed,clipfrac,approxkl,fps,value_loss,explained_variance
11.97,500,0.07412933,0.9221963419392705,50000,5.676002,-0.0026750225,1,0.002034425735473633,0.026069999,0.0031684134,23819,0.093739994,-0.07445085048675537
11.95,1000,0.07453416,0.9272049184888601,100000,5.67778,-0.0015958268,2,2.333772897720337,0.016802,0.0024760012,25257,0.054026764,0.41109973192214966
12.4,1500,0.0740243,0.9442615324258804,150000,5.6806226,-0.0016060468,3,4.413977146148682,0.023998,0.0028164976,25549,0.028534416,0.7081877291202545
11.94,2000,0.07458673,0.8950808171927929,200000,5.678054,-0.0019373238,4,6.5266618728637695,0.028877998,0.0032471898,25412,0.021542815,0.8163543194532394
11.77,2500,0.07485064,0.8946018269658089,250000,5.6710424,-0.0020340472,5,8.585422277450562,0.027430004,0.0031380102,25355,0.018818796,0.8516822010278702
11.96,3000,0.074692234,0.8939213737100363,300000,5.666585,-0.0019350555,6,10.661704778671265,0.029024001,0.003078966,25448,0.018402943,0.8574085682630539
12.23,3500,0.07408987,0.9459307183325291,350000,5.6597176,-0.0017577208,7,12.73230504989624,0.022815999,0.0029278332,25329,0.01647463,0.8725345879793167
12.59,4000,0.074397765,0.9635977376997471,400000,5.649619,-0.0020663484,8,14.798973798751831,0.03468,0.0036162157,25483,0.018288916,0.8691541105508804
12.25,4500,0.07489559,0.9366007586568594,450000,5.6393533,-0.002191231,9,16.856318712234497,0.034072,0.003462961,25427,0.017797578,0.8762929439544678
13.69,5000,0.074412756,1.0541207315400243,500000,5.6312604,-0.002113611,10,18.945347547531128,0.039614,0.0037679567,25489,0.018312326,0.8779141530394554
13.65,5500,0.07425322,1.0275841442495584,550000,5.6242266,-0.002345567,11,21.00386118888855,0.037408,0.0035953994,25476,0.021806924,0.8675118088722229
13.24,6000,0.07394284,1.0067404879571404,600000,5.6152005,-0.0018136125,12,23.057586908340454,0.036276,0.0035590504,25397,0.024423175,0.8594602197408676
16.81,6500,0.07303466,1.2326838346596924,650000,5.6070485,-0.0018366106,13,25.11483335494995,0.015507999,0.0022723745,25507,0.044131838,0.7835743576288223
17.79,7000,0.07207228,1.0005514220500482,700000,5.596779,-0.0022973362,14,27.16952085494995,0.036388002,0.003634115,24784,0.05718101,0.7564135640859604
17.27,7500,0.070288435,0.9727322079718579,750000,5.588805,-0.0024867582,15,29.28587818145752,0.012782,0.002157749,25314,0.13280582,0.628388524055481
15.9,8000,0.071213074,1.1348737673449796,800000,5.584947,-0.0027658832,16,31.348840713500977,0.040377997,0.0038803283,25659,0.06080451,0.7986053973436356
23.78,8500,0.06609899,1.7044548958982342,850000,5.577759,-0.002689168,17,33.449984550476074,0.0101499995,0.0016889895,25576,0.26697165,0.6199471950531006
24.74,9000,0.065910436,1.5424462028054404,900000,5.5766764,-0.0021874935,18,35.56494688987732,0.014785999,0.0023342257,25256,0.47195894,0.5349633693695068
25.94,9500,0.064137064,1.5472384550006246,950000,5.577153,-0.0023748989,19,37.67854046821594,0.010679999,0.0014880042,24507,0.34711665,0.6314844489097595
27.2,10000,0.050913673,1.3681409220962086,1000000,5.578061,-0.0016471595,20,39.81899571418762,0.015412,0.002127317,25738,1.136426,0.5463143885135651
44.98,10500,0.051689688,1.9433114347559604,1050000,5.5780096,-0.0028682342,21,41.87500476837158,0.0072919996,0.0011663674,25580,0.7882824,0.5773430168628693
49.75,11000,0.032040954,1.1148218873122278,1100000,5.5804405,-0.0015045742,22,43.93849754333496,0.0077239997,0.0010972687,25744,2.4889376,0.43117719888687134
34.7,11500,0.03288441,0.6160354539300169,1150000,5.584277,-0.0015751291,23,45.960609912872314,0.0071720006,0.0012737906,25480,2.5806413,0.4539986252784729
40.29,12000,0.025479661,1.116565849935232,1200000,5.589218,-0.0012061435,24,48.01212692260742,0.005284,0.0010391994,25643,3.0774777,0.47010600566864014
57.75,12500,0.03643367,0.9413446487820329,1250000,5.592656,-0.0016420509,25,50.041836738586426,0.009962,0.0014219398,24798,1.5714178,0.5671911835670471
