ep_len_mean,fps,policy_loss,total_timesteps,ep_reward_mean,value_loss,clipfrac,approxkl,time_elapsed,n_updates,serial_timesteps,policy_entropy,explained_variance,true_reward
45.57,7956,-0.006086451,50000,-1.3246973311901094,0.5344744,0.05332599,0.0051425546,0.002226114273071289,1,500,5.67133,-0.37385094165802,-0.058762487
51.45,8360,-0.0056467843,100000,-1.7468284213542937,0.46104538,0.046005998,0.004732869,7.127326965332031,2,1000,5.6515803,-0.09927308559417725,-0.05757374
44.27,8198,-0.00444918,150000,-1.2242432248592376,0.44374675,0.030191999,0.0036532541,13.333823680877686,3,1500,5.6369953,0.08651489019393921,-0.058938902
49.83,8678,-0.0052705454,200000,-1.6641775250434876,0.4308146,0.037758008,0.0041533425,19.956812381744385,4,2000,5.6244826,0.19208800792694092,-0.058491148
51.11,8363,-0.004442164,250000,-1.5504292845726013,0.45386064,0.025410002,0.0032528904,26.286603927612305,5,2500,5.607614,0.2600482702255249,-0.060427707
52.9,8208,-0.005293022,300000,-1.1735814213752747,0.37685874,0.042578,0.004502628,32.83195495605469,6,3000,5.5803742,0.3256884813308716,-0.055733927
57.36,8214,-0.0054816855,350000,-1.5656091475486755,0.38300177,0.042852014,0.004462717,39.53726768493652,7,3500,5.5607786,0.3722408413887024,-0.05391996
71.39,8573,-0.006436601,400000,-1.7881968915462494,0.33599514,0.051924,0.004881212,46.2576789855957,8,4000,5.5537434,0.4292587637901306,-0.049306132
82.71,8335,-0.006214549,450000,-1.6868175208568572,0.36450446,0.053593997,0.0050392025,52.759541749954224,9,4500,5.5353804,0.4489571452140808,-0.045500718
84.37,8231,-0.006703975,500000,-1.51674742102623,0.317208,0.052604012,0.004944192,59.390791177749634,10,5000,5.513277,0.4994261860847473,-0.040299606
87.05,8374,-0.00663495,550000,-1.4255644237995149,0.2686048,0.05070801,0.0048033055,66.07765817642212,11,5500,5.500795,0.48122549057006836,-0.036446664
84.98,8543,-0.0058400393,600000,-1.437590952217579,0.24955033,0.04078399,0.0042159455,72.62450885772705,12,6000,5.492386,0.5674044489860535,-0.035853595
96.62,8469,-0.0057711476,650000,-1.8270844066143035,0.20502758,0.042639993,0.004375504,79.05168843269348,13,6500,5.4766283,0.6512757241725922,-0.03345335
121.93,8352,-0.005365286,700000,-2.438806161880493,0.189225,0.045566007,0.0044901106,85.5052855014801,14,7000,5.4618745,0.7042398452758789,-0.03413294
110.57,8607,-0.0052772556,750000,-2.4800864085555077,0.12279068,0.040975995,0.004204713,91.70387578010559,15,7500,5.4406896,0.8043266087770462,-0.031797234
114.86,8502,-0.0055209035,800000,-1.482254534959793,0.089449294,0.041822,0.004237194,98.03182792663574,16,8000,5.425612,0.8394292443990707,-0.026487872
99.61,8491,-0.005954743,850000,-0.8923089212179184,0.048974667,0.051486004,0.0048190267,104.49908018112183,17,8500,5.417862,0.8919431790709496,-0.022039616
122.86,8183,-0.005583685,900000,-0.6426513122022152,0.04358722,0.043452002,0.0043807225,110.98244190216064,18,9000,5.4010725,0.8965565785765648,-0.01802778
105.1,8767,-0.0054748934,950000,-0.06126952037215233,0.039254647,0.04911001,0.0048380117,117.63069152832031,19,9500,5.3761168,0.9073125496506691,-0.015529881
104.18,8566,-0.0049182605,1000000,0.05868207812309265,0.048994053,0.047812007,0.0046354397,123.79661440849304,20,10000,5.3608947,0.8913018703460693,-0.013471566
130.87,8355,-0.0056012655,1050000,0.2702051985263825,0.034086693,0.048620004,0.004706406,129.93830680847168,21,10500,5.342605,0.9165534749627113,-0.012202882
117.59,8278,-0.004751074,1100000,0.33408434242010115,0.042794533,0.036445998,0.003997126,136.32745671272278,22,11000,5.3153944,0.8995547592639923,-0.010742765
135.14,8671,-0.005900983,1150000,0.34315398544073106,0.043789964,0.052881993,0.0050084973,142.88911318778992,23,11500,5.2863812,0.8977925479412079,-0.009721448
132.35,8272,-0.0054010474,1200000,0.3075644153356552,0.04128591,0.050304003,0.0048843003,149.03647780418396,24,12000,5.2591815,0.8943007960915565,-0.008920068
163.13,8077,-0.0060225185,1250000,0.3349231094121933,0.04359836,0.050940007,0.0048741032,155.59057927131653,25,12500,5.234881,0.8740548640489578,-0.0067415596
182.49,8362,-0.005158194,1300000,0.32844023570418357,0.04829158,0.040886,0.0043927724,162.37120294570923,26,13000,5.203105,0.8616208583116531,-0.0050672875
215.03,8121,-0.005983865,1350000,0.4578921353816986,0.04482823,0.049319986,0.0047669997,168.91344022750854,27,13500,5.176377,0.8477045148611069,-0.003477236
210.48,8285,-0.0049833464,1400000,0.5648905542492867,0.045531325,0.038222,0.0041376324,175.6933572292328,28,14000,5.152721,0.8406215310096741,-0.0019969095
