fps,ep_reward_mean,serial_timesteps,value_loss,time_elapsed,explained_variance,total_timesteps,ep_len_mean,true_reward,n_updates,policy_entropy,approxkl,clipfrac,policy_loss
13452,-1.7468767201900481,500,0.9872776,0.0019698143005371094,-0.3013286590576172,50000,55.87,-0.06779572,1,5.682499,0.004801278,0.050259992,-0.0063916803
16605,-3.0297518342733385,1000,0.86252475,4.536870718002319,-0.029880523681640625,100000,81.46,-0.06337025,2,5.673738,0.004636651,0.04702801,-0.0061710384
17144,-2.1195800733566283,1500,0.7059468,8.051315307617188,0.10505282878875732,150000,72.11,-0.057402562,3,5.655681,0.0045674015,0.046931993,-0.0060557406
17029,-2.788885467648506,2000,0.5606931,11.462989807128906,0.19329363107681274,200000,89.52,-0.049415883,4,5.638129,0.0047510853,0.048766002,-0.0065163816
19651,-0.9862706053256989,2500,0.3729854,14.906986951828003,0.24929195642471313,250000,82.8,-0.03950041,5,5.632015,0.0047549712,0.050133996,-0.0067101866
17451,-1.1100431621074676,3000,0.24885783,17.754791498184204,0.3143961429595947,300000,96.87,-0.030857643,6,5.63007,0.0045438726,0.046324,-0.006909755
17084,-1.4936942219734193,3500,0.24288811,21.14195489883423,0.42264240980148315,350000,111.51,-0.029932545,7,5.6184444,0.004746782,0.048945993,-0.007000591
15533,-0.9596758699417114,4000,0.19157442,24.289384841918945,0.48394596576690674,400000,107.96,-0.027617263,8,5.5961146,0.0045315586,0.044712003,-0.00681739
18820,-0.2473376700282097,4500,0.1724621,28.1374454498291,0.5760018825531006,450000,98.81,-0.024797935,9,5.5704956,0.0046604616,0.045923997,-0.006617668
19458,-0.5363935145735741,5000,0.11688928,31.105562925338745,0.6949529647827148,500000,106.84,-0.022452272,10,5.5486803,0.0039408756,0.033956,-0.005666023
15396,-0.3533704474568367,5500,0.10255845,34.13412857055664,0.735653430223465,550000,112.35,-0.02051456,11,5.5333605,0.0043440964,0.043114,-0.0068606706
18855,-0.08844740360975266,6000,0.08614521,37.93120193481445,0.7818695604801178,600000,104.29,-0.01862629,12,5.5146813,0.0046033077,0.046224,-0.006976475
18304,-0.15665271013975143,6500,0.066416666,41.18815302848816,0.8264331072568893,650000,105.29,-0.017323673,13,5.483819,0.0048001627,0.049613986,-0.0069645727
16126,0.13213966459035872,7000,0.060675837,44.37443923950195,0.8341910094022751,700000,97.52,-0.015059926,14,5.454021,0.005378676,0.06062799,-0.00784786
16591,0.20036198645830156,7500,0.05382034,48.0740270614624,0.8514772802591324,750000,115.28,-0.013709716,15,5.433728,0.0049817795,0.053638,-0.006864509
16875,0.20236096322536468,8000,0.043010168,51.69845509529114,0.8630819320678711,800000,145.59,-0.010612598,16,5.410912,0.0053678756,0.059980005,-0.0073688156
18713,0.25398490726947787,8500,0.04578485,55.19993495941162,0.83509960770607,850000,173.13,-0.008237763,17,5.374448,0.004979415,0.052166,-0.006674431
17983,0.005746766924858093,9000,0.05029966,58.13016986846924,0.7981602847576141,900000,252.3,-0.005867945,18,5.3422155,0.0053009386,0.059771996,-0.007383787
17138,0.31807022988796235,9500,0.036751125,61.52787756919861,0.8278090953826904,950000,277.98,-0.0036227186,19,5.310656,0.00548258,0.061496,-0.008097754
17003,0.40161533623933793,10000,0.0323108,64.94571590423584,0.8322613537311554,1000000,329.94,-0.0021380193,20,5.2829595,0.005130048,0.055910014,-0.0071164165
17391,0.5273303401470184,10500,0.031423688,68.43557572364807,0.8127902299165726,1050000,340.16,-0.00066691986,21,5.253786,0.0049402835,0.051609993,-0.0072181034
17544,0.6157708811759949,11000,0.022185873,71.77747893333435,0.8219165802001953,1100000,417.9,0.0014191763,22,5.2178035,0.0053678574,0.059385985,-0.0072160177
19223,0.9341140630096197,11500,0.020207727,75.1521224975586,0.8268269002437592,1150000,427.1,0.0021740918,23,5.183672,0.004989212,0.05296,-0.0066111316
16878,1.197840806245804,12000,0.014225484,78.24244856834412,0.8406766802072525,1200000,403.31,0.003541333,24,5.147998,0.005701007,0.063944004,-0.0067793787
20755,1.208168270587921,12500,0.011213332,81.83851623535156,0.8704614192247391,1250000,437.06,0.0033689367,25,5.1002016,0.005830376,0.06579598,-0.007422714
19735,1.416537910476327,13000,0.009573624,84.82501077651978,0.8924231305718422,1300000,391.9,0.0047825417,26,5.0567293,0.005906011,0.06829799,-0.006927715
20590,1.4459167638421058,13500,0.009463841,87.73901009559631,0.9035044386982918,1350000,340.44,0.005760838,27,5.0182962,0.0064337547,0.077433996,-0.0070362855
16000,1.5093590798974037,14000,0.006063462,90.68057489395142,0.9314846470952034,1400000,285.39,0.0079376,28,4.9768257,0.0055651725,0.061307993,-0.0059301727
17141,1.3707102529704571,14500,0.005475639,94.08935546875,0.9457244649529457,1450000,222.12,0.009114818,29,4.941066,0.0061888765,0.07496799,-0.0070883934
17234,1.4162172897905112,15000,0.0049600117,97.70160627365112,0.9547645002603531,1500000,177.16,0.011356815,30,4.9046793,0.005484669,0.060115997,-0.0065386314
20234,1.381724734529853,15500,0.0029234302,101.23570561408997,0.9741505086421967,1550000,119.78,0.014498141,31,4.8533235,0.005342699,0.055999994,-0.006599822
19443,1.3743003913760186,16000,0.0017390482,104.33039903640747,0.9854206657037139,1600000,88.95,0.01729899,32,4.8037844,0.0048713777,0.050708003,-0.005716561
17437,1.2315397541970015,16500,0.0012738704,107.41655659675598,0.9896290823817253,1650000,70.66,0.018803269,33,4.7501626,0.005114789,0.051363993,-0.006246416
19645,1.12256809219718,17000,0.0016318035,110.8176097869873,0.9870433518663049,1700000,57.85,0.019476054,34,4.6997476,0.0045172824,0.043478,-0.005811992
19610,1.2694518521428109,17500,0.00067957846,114.0394515991211,0.9945019986480474,1750000,52.83,0.022041759,35,4.6394506,0.0053420677,0.055283993,-0.0059454483
19001,1.2094631621986627,18000,0.0005762444,117.06305480003357,0.995365699287504,1800000,51.97,0.022795195,36,4.5746255,0.0053896643,0.055643998,-0.005743301
17234,1.1643380066007376,18500,0.00050225155,120.16522431373596,0.9961513672024012,1850000,45.23,0.024493663,37,4.518995,0.0055415374,0.059315976,-0.006083663
19831,1.1859979306161403,19000,0.00044715946,123.53573942184448,0.9966181302443147,1900000,46.25,0.025263147,38,4.465856,0.0054530273,0.058020007,-0.005676198
16317,1.144335168004036,19500,0.00038646293,126.59764409065247,0.9971317611634731,1950000,37.99,0.027160048,39,4.4099827,0.005411402,0.058321986,-0.005600062
18351,1.0970841317623854,20000,0.00036308763,130.06649589538574,0.9974049928132445,2000000,35.01,0.027712647,40,4.359311,0.0055331234,0.060494017,-0.005977646
18906,1.1349949613958596,20500,0.00033212104,133.1779854297638,0.9976816412527114,2050000,40.33,0.028520608,41,4.3016515,0.005680883,0.061000004,-0.0057850494
16086,1.127773752734065,21000,0.0003165758,136.34418034553528,0.9978573534172028,2100000,34.13,0.030111635,42,4.2449193,0.0058138794,0.06561001,-0.0054949587
14901,1.0333034965395926,21500,0.00029310124,140.169775724411,0.998007764108479,2150000,31.33,0.032057486,43,4.19066,0.005548613,0.058899995,-0.005765728
18600,0.9343186329305172,22000,0.0002649441,144.2176012992859,0.9982298068935052,2200000,29.77,0.03290446,44,4.138897,0.005895932,0.06625202,-0.005737645
20271,0.9423531477153301,22500,0.00023908174,147.3256585597992,0.9984055386157706,2250000,27.55,0.03395594,45,4.0890207,0.006024277,0.069362,-0.0057336204
18437,0.98024424046278,23000,0.00023411275,150.21708631515503,0.9984469105256721,2300000,30.57,0.034686442,46,4.0403686,0.0055214884,0.060069993,-0.0050182655
15413,0.8731952396035194,23500,0.0002166203,153.5876224040985,0.9985532067948952,2350000,25.87,0.03627576,47,3.9895644,0.0062029595,0.07087198,-0.0056544715
16959,1.0028068330138922,24000,0.00021762888,157.48614263534546,0.9985470988322049,2400000,27.91,0.037465055,48,3.934335,0.006408706,0.07475401,-0.006337514
17074,0.8880565477907658,24500,0.00023928759,161.0227484703064,0.9983922690153122,2450000,25.1,0.038664956,49,3.8891144,0.0062440783,0.074071996,-0.0055880137
