serial_timesteps,ep_len_mean,value_loss,clipfrac,ep_reward_mean,policy_loss,policy_entropy,total_timesteps,n_updates,true_reward,time_elapsed,approxkl,fps,explained_variance
500,54.39,1.3672395,0.034749996,-2.1933897960186006,-0.0056560095,5.667894,50000,1,-0.08344546,0.0025179386138916016,0.0039820666,15080,-0.09142148494720459
1000,50.47,1.1960242,0.029908001,-1.852297236919403,-0.0046365657,5.654663,100000,2,-0.07994857,4.013841867446899,0.0035720496,17880,0.07887989282608032
1500,56.56,1.16189,0.028894002,-2.5187458375096323,-0.0049089524,5.6434965,150000,3,-0.07967108,7.367871522903442,0.0033853143,16584,0.21016734838485718
2000,51.6,1.0284889,0.037456,-1.6885108530521393,-0.0054212916,5.646026,200000,4,-0.077191,10.897884607315063,0.003976038,18630,0.27532529830932617
2500,61.68,0.85997915,0.042287994,-2.422970482110977,-0.0055393167,5.6326246,250000,5,-0.07124379,13.921308040618896,0.0043406836,17276,0.3220963478088379
3000,56.06,0.7129534,0.05071599,-1.8217468440532685,-0.0065551414,5.608799,300000,6,-0.06601297,17.444272756576538,0.004757317,18638,0.41329556703567505
3500,64.84,0.47455665,0.045576006,-1.488061009645462,-0.006141763,5.5925746,350000,7,-0.05242983,20.66847324371338,0.004488074,19441,0.4624977707862854
4000,51.2,0.4279274,0.054594018,-0.37983920484781264,-0.00718783,5.5759497,400000,8,-0.04788111,23.742608785629272,0.0048967125,19173,0.532570868730545
4500,75.44,0.30266896,0.051578,-1.1132592087984086,-0.0070871916,5.565467,450000,9,-0.039499007,26.846903800964355,0.004811084,18573,0.5858402252197266
5000,55.88,0.2054202,0.05742,-0.2431347680091858,-0.007987568,5.545898,500000,10,-0.03357543,30.21576428413391,0.005157111,16865,0.6909249126911163
5500,64.61,0.16549017,0.051702,0.09698266476392746,-0.0073313247,5.518256,550000,11,-0.027437005,33.7577588558197,0.0048358757,17678,0.7321804761886597
6000,58.13,0.15823628,0.053979997,0.08947848558425903,-0.007534246,5.4932027,600000,12,-0.02552992,37.15725064277649,0.004962483,20337,0.7618115693330765
6500,68.53,0.11450713,0.050962005,-0.04475181251764297,-0.007051152,5.4575586,650000,13,-0.0219759,40.104517698287964,0.004893371,19085,0.8080741465091705
7000,65.32,0.10809721,0.047620006,0.3645893028378487,-0.007220948,5.428842,700000,14,-0.021201758,43.36491084098816,0.0046580504,17903,0.8360163569450378
7500,65.9,0.1150279,0.04929001,0.49688071846961973,-0.007286404,5.418183,750000,15,-0.019798143,46.680084228515625,0.004652073,19465,0.8324783593416214
8000,74.27,0.08710068,0.055887986,0.23080010533332826,-0.0076064034,5.393137,800000,16,-0.017365772,49.70833420753479,0.005182449,18086,0.8598461300134659
8500,91.63,0.07975758,0.052214004,0.409655419588089,-0.0074734027,5.366786,850000,17,-0.014012202,52.69760823249817,0.00490749,20042,0.876190572977066
9000,82.04,0.07635589,0.049252003,0.4178737214207649,-0.0071857236,5.345972,900000,18,-0.012416588,55.6552472114563,0.0047194986,17341,0.8833906799554825
9500,90.82,0.07138359,0.041531995,0.719621644616127,-0.0065029087,5.324269,950000,19,-0.010884914,59.081202030181885,0.0042565437,16587,0.8923060894012451
10000,107.09,0.06623673,0.051227998,0.3913104820251465,-0.0076173525,5.297986,1000000,20,-0.009823945,62.59286069869995,0.0049007568,16091,0.9045339226722717
10500,103.54,0.06486974,0.05050399,0.8338996040821075,-0.0075084977,5.2720385,1050000,21,-0.00941205,66.31510734558105,0.0048661367,16801,0.9059586226940155
11000,102.9,0.056677755,0.050546,0.8246271997690201,-0.007099694,5.2415004,1100000,22,-0.0077539287,69.9248776435852,0.0048917998,18468,0.9113717153668404
11500,132.95,0.054475904,0.055200003,0.8395848882198333,-0.007563213,5.2143946,1150000,23,-0.0060941544,73.08181118965149,0.0051059546,16546,0.916048638522625
12000,155.52,0.048789393,0.050225988,1.2006028541922569,-0.007148776,5.1894994,1200000,24,-0.003291131,76.77454781532288,0.004831758,15889,0.917359434068203
12500,166.34,0.043504618,0.060574003,1.46112929135561,-0.0075484775,5.1568017,1250000,25,-0.002082461,80.50641894340515,0.005466655,18462,0.9212695434689522
13000,189.19,0.044140253,0.05433399,1.2765545377135277,-0.0070783407,5.1267786,1300000,26,-0.0008614353,83.67483425140381,0.0050530583,17893,0.9128299355506897
13500,228.47,0.04061327,0.051116005,1.9350815308094025,-0.0076276716,5.083989,1350000,27,0.00065868086,86.80662035942078,0.0049862983,16241,0.9165008887648582
14000,335.58,0.032501813,0.05650198,2.05910518348217,-0.007784731,5.0440354,1400000,28,0.0024232129,90.52284550666809,0.0051659564,19870,0.9167165979743004
14500,363.38,0.027218498,0.06397801,2.4708255788683893,-0.00880713,5.0068965,1450000,29,0.0041274596,93.5708179473877,0.005604195,19637,0.9199711382389069
15000,430.42,0.019836802,0.056404,2.7713883306086062,-0.0076571107,4.9760737,1500000,30,0.0051871003,96.6418867111206,0.005176265,18169,0.9289956316351891
15500,442.39,0.019998774,0.06944201,2.9177638828754424,-0.009210694,4.9483275,1550000,31,0.005544291,99.8835961818695,0.00590179,18278,0.9210488125681877
16000,453.4,0.013304556,0.080482006,3.1216163754463198,-0.008638043,4.907984,1600000,32,0.0065733665,103.11154890060425,0.00655027,17477,0.9361347258090973
16500,437.59,0.011036639,0.096784,3.140555190593004,-0.0094584795,4.869386,1650000,33,0.0074262214,106.38873243331909,0.007385494,17248,0.9478573463857174
17000,415.14,0.012442163,0.08868401,3.3535077980160715,-0.008790965,4.8343377,1700000,34,0.008208206,109.88773226737976,0.0069649424,19285,0.9464925415813923
17500,351.9,0.0084115965,0.08072199,3.3009354861825706,-0.008659322,4.8114834,1750000,35,0.009742051,113.00255560874939,0.006485252,17409,0.9641388393938541
18000,280.18,0.0072557675,0.08703801,3.269063412100077,-0.009011761,4.777515,1800000,36,0.012460922,116.40473365783691,0.0069563757,17280,0.9728429839015007
18500,209.91,0.0072390954,0.052198008,3.0697367028146982,-0.007350728,4.7310185,1850000,37,0.0142155625,119.91507244110107,0.0050236546,19476,0.9745943173766136
19000,183.47,0.0058014505,0.04163,3.1483560655266047,-0.0073026447,4.6898613,1900000,38,0.015437024,122.74122333526611,0.0042941514,18441,0.9800513349473476
19500,137.21,0.006350096,0.037582003,2.6779702366143465,-0.0071985857,4.649724,1950000,39,0.015777592,125.98086285591125,0.0041354173,18216,0.9794137831777334
20000,149.44,0.0038875386,0.03943,3.142796035557985,-0.0077292467,4.6115236,2000000,40,0.017179579,129.33048272132874,0.004259676,16650,0.9877692358568311
20500,152.11,0.005675757,0.038578,3.0737372338026763,-0.0068513267,4.5784426,2050000,41,0.01832413,132.71131992340088,0.004137815,21156,0.9833735357969999
21000,125.06,0.004096338,0.047108002,3.084572935476899,-0.007427243,4.5438976,2100000,42,0.02002558,135.70077753067017,0.0046912692,16887,0.9886653833091259
21500,115.93,0.002401619,0.05234,3.1328476869314907,-0.0072282683,4.4991426,2150000,43,0.020645568,139.31891345977783,0.0050804145,18722,0.9935316005721688
22000,104.0,0.0037819308,0.040618,2.8166588135808706,-0.0071525844,4.445393,2200000,44,0.021173775,142.33261632919312,0.004377025,17587,0.9905075393617153
22500,103.41,0.0021187225,0.041437987,2.7304334995150565,-0.0058638733,4.4006114,2250000,45,0.022278981,145.4689085483551,0.004315328,17732,0.9951071925461292
23000,105.3,0.0029813692,0.04393,2.945625336840749,-0.006242994,4.3646746,2300000,46,0.02321895,148.87956142425537,0.0044619944,18229,0.99315195530653
23500,80.05,0.0026913732,0.041130003,2.4809238252043726,-0.0068958513,4.3220887,2350000,47,0.023936037,152.20535397529602,0.0043249596,16907,0.993897242937237
24000,79.37,0.00195881,0.046252,2.693557478711009,-0.0063566137,4.280724,2400000,48,0.025541816,155.6578242778778,0.0046036746,15870,0.9958026963286102
24500,97.32,0.002075757,0.047478005,3.064460458829999,-0.0056877197,4.2464366,2450000,49,0.025893778,159.36552166938782,0.0046625948,18122,0.9957778281532228
25000,79.54,0.003907978,0.039228,2.8616684064269067,-0.0062200236,4.2231374,2500000,50,0.028006107,162.70336318016052,0.004072762,16319,0.9922454264014959
25500,76.97,0.003044864,0.050313998,2.8686651557683946,-0.0070782495,4.197105,2550000,51,0.029350903,166.24758219718933,0.004787536,20741,0.9943461953662336
26000,75.29,0.0024521803,0.047323998,2.826273772865534,-0.0065050228,4.174509,2600000,52,0.02998685,169.11918663978577,0.0045776707,17160,0.9956298349425197
26500,73.01,0.0017121537,0.050178003,2.7543636309355497,-0.006013794,4.144945,2650000,53,0.030270826,172.6202552318573,0.004811578,17354,0.9970334477256984
27000,69.66,0.0022938154,0.04564801,2.6712961004674436,-0.005962262,4.1130037,2700000,54,0.03015748,176.0375108718872,0.004566422,21374,0.9958831178955734
27500,69.94,0.0014896473,0.05516001,2.7886395896971226,-0.0063346094,4.0738735,2750000,55,0.03240026,178.9042055606842,0.005181072,18641,0.9975990233942866
28000,65.3,0.0015120441,0.056888003,2.5746774393320084,-0.0062927846,4.035548,2800000,56,0.03245877,182.16918015480042,0.005170994,19071,0.9976192303001881
28500,61.32,0.0015732809,0.048158,2.571935846954584,-0.006369599,4.0042152,2850000,57,0.033609994,185.07243967056274,0.0046784217,17344,0.9975590708199888
29000,63.42,0.0079653505,0.041637998,2.5647715470939874,-0.0063101365,3.9875512,2900000,58,0.03381028,188.3552529811859,0.004253698,17911,0.9875721158459783
29500,60.7,0.008275541,0.042444002,2.65186829932034,-0.006830503,3.9892309,2950000,59,0.03436177,191.60795331001282,0.004254436,16082,0.9874310400336981
30000,57.63,0.0025631008,0.048569985,2.5583645256608722,-0.0073888106,3.977961,3000000,60,0.034421638,195.1995611190796,0.0046499786,16780,0.9955697488039732
30500,66.92,0.0015241483,0.049332008,2.878315999805927,-0.0064567197,3.942542,3050000,61,0.036928307,198.69061183929443,0.004852999,17152,0.9977026258129627
31000,62.84,0.0035671738,0.048168,2.8410046388208867,-0.0062604803,3.9139156,3100000,62,0.0357027,202.192125082016,0.004654158,17902,0.994674454908818
31500,61.19,0.003506287,0.052934006,2.661250379607081,-0.0067858906,3.889943,3150000,63,0.037097562,205.59468293190002,0.0049787066,18104,0.9948852034285665
32000,53.72,0.002081378,0.05792001,2.502308528870344,-0.0075242375,3.8640928,3200000,64,0.038319334,208.7189905643463,0.00530823,18226,0.9968189122155309
32500,62.92,0.002004581,0.05068599,2.8361346571147443,-0.0065927543,3.8438427,3250000,65,0.037664887,211.92896366119385,0.0048051034,14537,0.9971317800227553
33000,54.09,0.0039547943,0.051529992,2.5607636460661887,-0.006304092,3.8268778,3300000,66,0.037740905,215.89715600013733,0.0048558493,16009,0.9941484406590462
33500,57.02,0.0011572414,0.04761,2.5452882075309753,-0.0061907023,3.8056803,3350000,67,0.038471214,219.62261772155762,0.0046040225,20619,0.9983212141087279
34000,57.7,0.0018819998,0.041017998,2.6416913056373597,-0.0060722935,3.7770178,3400000,68,0.037546013,222.49929547309875,0.00433183,18630,0.9972588282544166
34500,57.53,0.00083946064,0.054662,2.656490935832262,-0.0057993545,3.7420309,3450000,69,0.039239943,225.64607739448547,0.0050445916,14993,0.9988505403744057
35000,54.38,0.0010633103,0.054208003,2.7355945666879418,-0.006464076,3.702437,3500000,70,0.039416894,229.5169107913971,0.0050805556,17125,0.9985432053217664
35500,55.19,0.0008492268,0.046863995,2.581904319524765,-0.005763248,3.6699924,3550000,71,0.039843105,232.99427103996277,0.0046179257,20070,0.9988703361013904
36000,49.43,0.00076171034,0.049365997,2.1482366409897806,-0.005457602,3.640649,3600000,72,0.04097368,235.85653853416443,0.0047532646,17104,0.9990262044593692
36500,49.86,0.0017057376,0.050056,2.56797864317894,-0.0056481464,3.614617,3650000,73,0.04113136,239.39446449279785,0.004742825,18324,0.9976633607875556
37000,52.55,0.0026416169,0.05300999,2.454088561087847,-0.0055892514,3.5876124,3700000,74,0.04119174,242.6551070213318,0.005001633,17358,0.9963446068577468
37500,48.34,0.0014624125,0.052163992,2.4470893333852293,-0.0064693755,3.560452,3750000,75,0.041800626,246.1626284122467,0.004909552,15670,0.9979466772638261
38000,49.59,0.0006712838,0.051012017,2.501518366485834,-0.0055029094,3.5225663,3800000,76,0.04310333,249.85128545761108,0.004892224,17571,0.999136311293114
38500,49.07,0.00063247746,0.04923001,2.5049433764070272,-0.0056963037,3.4871328,3850000,77,0.04305078,253.19760179519653,0.004803735,15615,0.9992002236540429
39000,45.75,0.0005837162,0.046794012,2.5100171568989755,-0.0054150694,3.4582028,3900000,78,0.043799188,256.8604664802551,0.0046149446,17232,0.9992543844273314
39500,51.24,0.0015115913,0.049807996,2.7558070220053197,-0.0062494446,3.432254,3950000,79,0.04414915,260.3216116428375,0.0048017693,17751,0.9978418939281255
40000,52.18,0.0014961378,0.053248,2.8436420513689518,-0.006380877,3.4101713,4000000,80,0.044922035,263.5114686489105,0.004931643,18005,0.9979444467462599
40500,50.94,0.0011207252,0.056788005,2.737505898401141,-0.006131569,3.387578,4050000,81,0.045316357,266.7735826969147,0.005209106,16812,0.9983742667827755
41000,42.8,0.0005708954,0.05511801,2.303559769541025,-0.005357493,3.360473,4100000,82,0.04460021,270.3036062717438,0.0050704167,16045,0.9992575010983273
41500,39.15,0.0018238666,0.052286007,2.1327431695908308,-0.0055765957,3.3422449,4150000,83,0.045709677,273.8627600669861,0.0049270545,19877,0.9976025160867721
