serial_timesteps,clipfrac,ep_len_mean,n_updates,true_reward,total_timesteps,value_loss,ep_reward_mean,approxkl,policy_entropy,policy_loss,explained_variance,fps,time_elapsed
500,0.062974006,26.77,1,-0.4732405,50000,30.183264,-4.8389652270655645,0.005602318,5.669078,-0.0048234514,0.048795878887176514,7946,0.002597332000732422
1000,0.05217001,26.78,2,-0.46976367,100000,28.668818,-4.545976965773134,0.004925091,5.667524,-0.0053599775,0.07147997617721558,8192,7.104115962982178
1500,0.056935996,25.64,3,-0.47473907,150000,28.858624,-4.1334488837424574,0.005252892,5.662563,-0.005207116,0.10856932401657104,8046,13.85153579711914
2000,0.052773986,26.38,4,-0.47096428,200000,25.830864,-4.3953393914743355,0.0049093966,5.6729665,-0.0053532,0.17453229427337646,8016,20.494052171707153
2500,0.058748003,27.64,5,-0.47581652,250000,25.968578,-5.395278150453596,0.00531791,5.677919,-0.0057987506,0.19479745626449585,8311,27.317978143692017
3000,0.060557995,26.08,6,-0.46899363,300000,23.982517,-4.693599569616839,0.005376846,5.6867986,-0.005368884,0.24583107233047485,8389,33.781413078308105
3500,0.053492013,33.35,7,-0.4882595,350000,46.26082,-18.06385777042975,0.0050238385,5.69255,-0.0033772825,0.07290804386138916,8371,40.23673367500305
4000,0.049235996,29.12,8,-0.48478898,400000,43.046333,-5.149531011359723,0.004671203,5.7125983,-0.003157113,0.09965306520462036,8304,46.87397837638855
4500,0.053562008,28.81,9,-0.45872435,450000,23.184546,-4.819396883209247,0.0049707075,5.7460814,-0.0054080663,0.24884033203125,8254,53.508896350860596
5000,0.06692,30.18,10,-0.446883,500000,15.629874,-4.746735993352486,0.005670287,5.76253,-0.0056545455,0.4912784695625305,8030,60.229424238204956
5500,0.06755598,27.89,11,-0.4377617,550000,13.595014,-4.0935201049049645,0.0057375743,5.76545,-0.005595639,0.5429845750331879,8032,67.16084671020508
6000,0.06888199,29.41,12,-0.426456,600000,11.947402,-3.867561572435734,0.005888787,5.765719,-0.0053714137,0.5792112648487091,8149,73.8006043434143
6500,0.066093996,29.84,13,-0.42477202,650000,12.042607,-4.8620236610707614,0.005673907,5.7745833,-0.0052278475,0.5249648988246918,8173,80.57288312911987
7000,0.057154015,28.15,14,-0.42224327,700000,10.483977,-4.847920849829534,0.0051587075,5.779281,-0.005255953,0.5939769148826599,8590,87.17645835876465
7500,0.07168,29.06,15,-0.42362437,750000,9.656301,-4.990208043448583,0.0061467546,5.760579,-0.0061464924,0.6017676293849945,8192,93.24132966995239
8000,0.06321,26.14,16,-0.410289,800000,8.722637,-3.1821919165872385,0.0055592563,5.7500134,-0.0051559657,0.5933479368686676,8323,99.91477751731873
8500,0.062374014,29.62,17,-0.40862876,850000,8.945465,-5.652090082047708,0.0054712184,5.7606483,-0.0052631153,0.527001827955246,8098,106.42201256752014
9000,0.055894,28.83,18,-0.42043653,900000,23.653967,-4.0036936756325305,0.005380669,5.7501063,-0.0032128114,0.17080092430114746,8107,112.97658801078796
9500,0.048720002,31.28,19,-0.4257665,950000,32.21817,-4.1626551002845735,0.004705191,5.758059,-0.003586499,0.12868982553482056,8218,119.68475770950317
10000,0.06378399,34.82,20,-0.4159261,1000000,8.543868,-5.630249035319484,0.005522017,5.760834,-0.0063053234,0.4456852674484253,8299,126.31219506263733
10500,0.051124,28.35,21,-0.4032292,1050000,15.108456,-9.274615043397716,0.004874067,5.768293,-0.004480489,0.22747963666915894,8259,132.97218012809753
11000,0.042582,28.79,22,-0.41854277,1100000,33.016037,-2.93986619466143,0.00442814,5.787074,-0.0051695444,0.06896626949310303,7812,139.52203130722046
11500,0.06163401,29.39,23,-0.38594988,1150000,8.123813,-3.2600360495980203,0.005563125,5.771654,-0.003975892,0.3577972650527954,8077,146.55241107940674
12000,0.072634,31.25,24,-0.373135,1200000,3.8990989,-3.5079717848350267,0.0061729867,5.743519,-0.0056511853,0.6251083314418793,8272,153.20539450645447
12500,0.06089799,32.43,25,-0.373235,1250000,3.4156132,-3.4343732487311898,0.0054377588,5.7390685,-0.00545573,0.6293276846408844,8039,159.8554983139038
13000,0.062741995,27.87,26,-0.3731928,1300000,4.9846764,-3.0029537702116795,0.0055447845,5.7392845,-0.005726108,0.4620698094367981,8240,166.44270420074463
13500,0.067618,31.06,27,-0.36469352,1350000,2.993262,-3.6086497564860474,0.0058944267,5.72039,-0.006110726,0.6345784962177277,8487,172.94185662269592
14000,0.061487995,32.65,28,-0.37460247,1400000,6.2617555,-3.6852871053488343,0.005539779,5.716502,-0.005122968,0.39128220081329346,8431,179.264666557312
14500,0.073158,29.84,29,-0.36194322,1450000,3.1460977,-3.431001740010961,0.0061141592,5.716511,-0.006931945,0.6128929257392883,8189,185.44883465766907
15000,0.072438,33.42,30,-0.3682948,1500000,3.464783,-3.725268008232888,0.0060649733,5.729195,-0.00743276,0.5241707563400269,8123,192.08176231384277
15500,0.07659599,36.07,31,-0.35170534,1550000,2.9709985,-4.0065762132868805,0.006403167,5.7253785,-0.006443185,0.5844746232032776,8541,198.84241557121277
16000,0.06368401,30.49,32,-0.34608844,1600000,2.9465783,-2.412248904476346,0.005717448,5.7046227,-0.005676842,0.5663644373416901,8070,205.18101572990417
16500,0.07500402,34.49,33,-0.34534776,1650000,2.3792593,-2.7550442048891637,0.006255442,5.699733,-0.006621936,0.6649525463581085,8050,211.9724633693695
17000,0.088104,37.7,34,-0.331923,1700000,1.6059767,-3.6705060528994364,0.007036541,5.682611,-0.0068930592,0.7470106780529022,8302,218.6875250339508
17500,0.0801,35.86,35,-0.34114593,1750000,4.127383,-3.1265304427746603,0.006515004,5.6782484,-0.0062947124,0.5617050230503082,7959,225.206444978714
18000,0.064356,38.52,36,-0.3286789,1800000,10.391831,-2.0773837424972044,0.0056726746,5.679798,-0.0047390396,0.38943153619766235,8434,231.8062767982483
18500,0.06803801,46.98,37,-0.3169271,1850000,5.155057,-5.075813528191434,0.0058103986,5.681214,-0.004625762,0.5620320439338684,8449,238.16775012016296
19000,0.077758,56.47,38,-0.3019405,1900000,1.3234584,-3.838591985110088,0.0064140456,5.678062,-0.0060849674,0.8205680102109909,8137,244.64859771728516
19500,0.07747999,63.19,39,-0.3479105,1950000,36.01236,-7.465238708722336,0.0064827376,5.67991,-0.003901937,0.16788679361343384,8622,251.26399636268616
20000,0.04386399,76.1,40,-0.3045928,2000000,5.778028,-12.213081526847567,0.004402315,5.6860356,-0.004587553,0.5782271027565002,8400,257.46957564353943
20500,0.06736801,73.44,41,-0.29976448,2050000,6.454709,-5.755120681189714,0.0057834713,5.692487,-0.0051569445,0.6052859127521515,8374,263.97713255882263
21000,0.066436,75.6,42,-0.32867208,2100000,19.927824,-7.173368429130224,0.0057617044,5.6950636,-0.0045859134,0.3625827431678772,8347,270.48540115356445
21500,0.05949202,118.03,43,-0.31817088,2150000,26.5363,-35.40715476151116,0.0052288757,5.724529,-0.0047759684,0.35944420099258423,8469,277.0034565925598
22000,0.029638002,103.93,44,-0.2953518,2200000,17.515,-6.9549134533174675,0.0034691405,5.735304,-0.0048103137,0.4904877543449402,8614,283.36242413520813
22500,0.032137997,132.49,45,-0.32586235,2250000,20.009392,-19.271020511138595,0.003605041,5.748925,-0.0036804057,0.47394007444381714,8523,289.608943939209
23000,0.052636016,123.76,46,-0.31434274,2300000,19.86189,-23.42266304702717,0.004904451,5.749023,-0.004939443,0.5263793766498566,7939,295.70470905303955
23500,0.037936006,163.9,47,-0.27002364,2350000,12.702958,-14.891884854398304,0.003884485,5.76013,-0.0053676325,0.5778334736824036,8158,302.46305680274963
24000,0.038002,160.77,48,-0.26524702,2400000,17.823896,-21.04670242904894,0.003919998,5.779422,-0.00400845,0.5032626688480377,8313,309.03614377975464
24500,0.050755993,203.88,49,-0.23002006,2450000,6.463113,-15.705214101916463,0.00485854,5.787076,-0.004865058,0.7250188291072845,8595,315.5244228839874
25000,0.065166004,244.35,50,-0.20043692,2500000,1.9484898,-12.589933139641802,0.0056339884,5.7708216,-0.00533099,0.8776110410690308,8525,321.82337069511414
25500,0.09987403,283.5,51,-0.15921643,2550000,2.2446368,-4.693396384501479,0.007798714,5.734823,-0.0067129177,0.8876363188028336,8197,328.23495841026306
26000,0.07972,340.68,52,-0.09236694,2600000,0.709904,8.603112837797607,0.00644471,5.7100616,-0.006840046,0.9694321807473898,8325,334.88157653808594
26500,0.10803598,369.68,53,-0.053710304,2650000,0.69332486,17.835160549082612,0.0086111715,5.655304,-0.007575378,0.9787519089877605,8255,341.3739399909973
27000,0.14570199,393.82,54,-0.034102723,2700000,0.7154637,22.38493043870174,0.010663416,5.6017165,-0.008323079,0.9784385990351439,8080,347.9921703338623
27500,0.16936201,408.47,55,-0.016062941,2750000,0.7486458,24.98491721631527,0.012402565,5.5518,-0.0065789665,0.9772470276802778,8380,354.7180452346802
28000,0.120315984,393.95,56,-0.024609184,2800000,0.730456,25.110661801322767,0.009453334,5.4849358,-0.0060743447,0.9781939405947924,8230,361.0955686569214
28500,0.09015398,402.0,57,-0.02059861,2850000,0.64996994,25.298710227514217,0.0076605068,5.4224205,-0.0063156174,0.980594964697957,8448,367.54488158226013
29000,0.102273986,409.48,58,-0.017724456,2900000,0.58240116,24.011268822802123,0.008117655,5.37818,-0.005467701,0.9807752408087254,8064,373.92019534111023
29500,0.101806,407.02,59,-0.02134472,2950000,0.52836746,23.414403718512418,0.008183041,5.328417,-0.005049518,0.9826704077422619,8181,380.6018023490906
30000,0.102024004,436.91,60,0.0069263633,3000000,0.48401448,26.36685597916502,0.008324414,5.2631474,-0.0053810556,0.9797489196062088,8252,386.9246871471405
30500,0.090369985,437.43,61,0.008336369,3050000,0.49570316,26.266653410197204,0.007468174,5.208052,-0.0050024153,0.9785232618451118,7889,393.270042181015
31000,0.09709402,423.64,62,-0.0031372802,3100000,0.47725007,26.651701262590596,0.007986555,5.1419873,-0.005710138,0.9827224761247635,8067,400.1935362815857
