n_updates,explained_variance,policy_entropy,total_timesteps,serial_timesteps,ep_len_mean,policy_loss,value_loss,fps,true_reward,clipfrac,ep_reward_mean,time_elapsed,approxkl
1,-0.8431756496429443,5.676204,50000,500,9.01,-0.00920261,0.06825324,7874,-0.01047944,0.113408,-0.05891825806524139,0.0023872852325439453,0.0081832865
2,-0.10566353797912598,5.6674304,100000,1000,7.27,-0.011503931,0.017011944,8166,-0.007654225,0.13987799,-0.0333957830190775,6.966080188751221,0.009652006
3,0.20563018321990967,5.6485744,150000,1500,6.91,-0.0138529055,0.0047998047,8534,-0.0058352193,0.15794201,-0.037822451577521864,13.57259202003479,0.010691897
4,0.023953795433044434,5.623439,200000,2000,5.06,-0.013879691,0.0017620324,8177,-0.00476072,0.16151802,-0.014581928578554653,20.078534364700317,0.01074951
5,0.33782076835632324,5.6008606,250000,2500,5.38,-0.013353307,0.0009472556,8143,-0.004256241,0.16352597,-0.014810776435624576,26.728965282440186,0.011020254
6,-0.08262550830841064,5.5770736,300000,3000,4.86,-0.013491966,0.00027006987,7985,-0.0037696436,0.156618,-0.012732984910544474,33.440781354904175,0.010564022
7,0.032351791858673096,5.5511694,350000,3500,5.15,-0.0125765465,0.00017708469,7850,-0.0034600445,0.15080601,-0.013110940483456943,39.994412660598755,0.010428842
8,0.057098567485809326,5.5207844,400000,4000,5.01,-0.011475269,0.00015369478,8088,-0.0032857917,0.15709801,-0.012190033059741836,46.98821520805359,0.010705762
9,0.09242409467697144,5.4937634,450000,4500,4.99,-0.010781426,0.000113211376,8165,-0.0030755685,0.157028,-0.012222629385069012,53.78084635734558,0.010782296
10,0.026350796222686768,5.4806175,500000,5000,4.78,-0.010911997,0.00011536396,7981,-0.0028571526,0.16177595,-0.011360566520888824,60.5184109210968,0.011037044
11,0.0018726587295532227,5.4607563,550000,5500,4.82,-0.011123964,0.00011012071,8275,-0.0025786483,0.166496,-0.010253678712906548,67.19651246070862,0.011808436
12,-0.04980647563934326,5.423893,600000,6000,5.54,-0.013132027,0.00019997191,8376,-0.002086407,0.18905601,-0.010398294533370062,73.81263756752014,0.013005728
13,0.23879027366638184,5.382573,650000,6500,6.34,-0.01775172,0.0003270451,8348,-0.0014384935,0.21265194,-0.007929437382263132,80.36092019081116,0.014580692
14,0.3245060443878174,5.3409576,700000,7000,7.02,-0.019253014,0.00075477146,8299,-0.00014613217,0.21648605,0.001950546226289589,87.02391791343689,0.014949412
15,0.4309103488922119,5.2881427,750000,7500,7.19,-0.022527272,0.0016990402,8158,0.0018547798,0.22093602,0.0030549065792001783,93.73984622955322,0.015212288
16,0.4964834451675415,5.2398767,800000,8000,10.19,-0.024415595,0.0037203827,8173,0.004943146,0.21661805,0.05066892847622512,100.51811337471008,0.015075956
17,0.5381909012794495,5.1871223,850000,8500,12.55,-0.025170185,0.00795834,8255,0.010208528,0.21059804,0.09393941670452477,107.30701971054077,0.014445816
18,0.58409783244133,5.131137,900000,9000,16.02,-0.02383825,0.01661045,8435,0.017205238,0.19544007,0.19250785069045379,114.02494215965271,0.013875132
19,0.6754040420055389,5.078161,950000,9500,18.63,-0.021681115,0.022058243,8195,0.023532791,0.17727001,0.3497873388712469,120.32207417488098,0.012609911
20,0.7643147557973862,5.027914,1000000,10000,23.05,-0.018553834,0.02955406,8348,0.02906945,0.160182,0.5658422020761645,126.97303652763367,0.011363609
21,0.8190463483333588,4.981775,1050000,10500,25.1,-0.01513362,0.037818126,8165,0.033988986,0.13475001,0.7972685043895035,133.46011900901794,0.009831532
22,0.8308016657829285,4.9397144,1100000,11000,27.97,-0.012501522,0.05619446,8263,0.036620013,0.12691002,1.034262623609684,140.14176154136658,0.009221119
23,0.7762251049280167,4.904928,1150000,11500,38.27,-0.009195583,0.12286738,8487,0.034337826,0.10299001,1.1797863642888842,146.76197957992554,0.007836153
24,0.6928493082523346,4.8780274,1200000,12000,40.67,-0.0053727822,0.29683644,8076,0.025137085,0.064214,1.3162202822678954,152.86175870895386,0.0057718386
25,0.6996434032917023,4.8665867,1250000,12500,45.69,-0.003453663,0.50395083,8386,0.009802197,0.028436007,1.2991288228501798,159.46414232254028,0.0035780119
