serial_timesteps,fps,policy_loss,approxkl,ep_reward_mean,n_updates,time_elapsed,total_timesteps,true_reward,ep_len_mean,explained_variance,value_loss,clipfrac,policy_entropy
500,7925,-0.0052133184,0.004186934,-0.10416771832053201,1,0.002613544464111328,50000,-0.016234333,16.93,-0.1351490020751953,0.1353131,0.03729,5.6668
1000,8345,-0.004297159,0.0035026805,-0.2769185387817561,2,7.06002140045166,100000,-0.0147660095,18.47,0.2092840075492859,0.10659147,0.028366001,5.663966
1500,8270,-0.0042746523,0.0033214958,-0.08725685847493878,3,13.70127272605896,150000,-0.014258485,16.13,0.3858771324157715,0.07532505,0.024928,5.657212
2000,8317,-0.00484154,0.003536166,-0.18380034639929363,4,20.43494153022766,200000,-0.012361517,17.32,0.5321278870105743,0.06802039,0.030876,5.6514697
2500,7979,-0.0044963732,0.0030712588,-0.09759343779529445,5,27.112876892089844,250000,-0.011199573,17.73,0.6015654504299164,0.061904546,0.022818007,5.6447735
3000,8037,-0.004970387,0.0035786584,-0.12829216169993743,6,33.90515375137329,300000,-0.013517338,16.22,0.6730323433876038,0.04931905,0.029376004,5.629815
3500,7935,-0.0040928693,0.0032320218,-0.1254891284336918,7,40.792222023010254,350000,-0.011557617,16.45,0.7078973352909088,0.04761079,0.023319997,5.607308
4000,8173,-0.004669195,0.0035573288,-0.05905847522961267,8,47.73703336715698,400000,-0.011055417,15.77,0.7395862638950348,0.04161669,0.028577995,5.584589
4500,8132,-0.00478885,0.0034491313,-0.03225581819700892,9,54.32537317276001,450000,-0.010229732,16.95,0.7534197419881821,0.04052355,0.028752001,5.578955
5000,7831,-0.0053827586,0.0041751154,-0.13234247934371524,10,60.8402795791626,500000,-0.011147788,14.05,0.7801496684551239,0.03859866,0.038927995,5.5627666
5500,7959,-0.0045336043,0.0036420824,-0.024680966266350877,11,67.85074806213379,550000,-0.010016538,14.93,0.7808322608470917,0.032270648,0.029782005,5.5394216
6000,7924,-0.0051482213,0.0040771123,-0.09706974864489894,12,74.51607394218445,600000,-0.0087950565,14.85,0.8070504665374756,0.027090183,0.036292,5.511651
6500,8056,-0.005280175,0.0041272817,-0.06827683764204266,13,81.46382975578308,650000,-0.008975143,14.89,0.8107603043317795,0.027683504,0.039467994,5.4924245
7000,7770,-0.0050928867,0.0039042945,0.005821815529634478,14,88.29190754890442,700000,-0.006569853,12.69,0.8128803372383118,0.022999229,0.034094006,5.480691
7500,8092,-0.0050221425,0.0039736964,-0.04328379150916589,15,95.38543152809143,750000,-0.006862236,13.14,0.8287613838911057,0.0213717,0.034943998,5.4625688
8000,8026,-0.0049327,0.003910606,-0.04537387727003079,16,102.28315353393555,800000,-0.0075237793,14.5,0.8172057271003723,0.021129321,0.033558004,5.434252
8500,7793,-0.00566318,0.003814257,-0.07490970759066841,17,109.10790920257568,850000,-0.0073040565,16.19,0.8258122205734253,0.020643678,0.03527,5.4137635
9000,8173,-0.00556156,0.003972798,-0.003434896184626268,18,116.11331534385681,900000,-0.0071653156,13.61,0.8373674750328064,0.020415317,0.036948003,5.3976426
9500,7962,-0.005203706,0.004164829,0.08874681301946112,19,122.82421898841858,950000,-0.0053694714,14.71,0.8498627096414566,0.016771033,0.038738005,5.381919
10000,8006,-0.0049441326,0.004029169,0.01949605718102248,20,129.71874713897705,1000000,-0.0045868214,15.76,0.8358159959316254,0.017864205,0.037456,5.3594103
10500,7824,-0.005314334,0.003863568,-0.02632728923628747,21,136.64907312393188,1050000,-0.004226994,15.59,0.8534674793481827,0.015976673,0.033824004,5.3369226
11000,7916,-0.005252012,0.003926156,0.03148720121353108,22,143.74775314331055,1100000,-0.0040121586,15.66,0.8567084819078445,0.016601112,0.035062,5.310469
11500,7975,-0.0051450515,0.0041671973,0.06344102689734427,23,150.65686511993408,1150000,-0.004142885,15.12,0.8675595074892044,0.01630082,0.039653994,5.280049
12000,8018,-0.00484871,0.0037038373,-0.005222284450355801,24,157.56787848472595,1200000,-0.0034048646,16.07,0.8514598160982132,0.01591454,0.032897998,5.263982
12500,8021,-0.005269845,0.0039613573,-0.055098780820826504,25,164.26624274253845,1250000,-0.0038119366,15.37,0.8594574481248856,0.015666516,0.036691993,5.247571
13000,8229,-0.0051769004,0.0038607407,0.1333666540577542,26,171.22683715820312,1300000,-0.0019871627,13.14,0.8668361008167267,0.015318003,0.032798,5.228208
13500,7925,-0.005398524,0.003875036,0.16115831461604102,27,177.9197769165039,1350000,-0.0020999613,15.3,0.8703523725271225,0.014711371,0.034719996,5.2028375
14000,8121,-0.006022817,0.0043513966,0.06002437569124595,28,184.968998670578,1400000,0.00029530213,13.28,0.8837836235761642,0.015086245,0.039895996,5.164194
14500,8517,-0.005947052,0.004262359,0.11125496644206578,29,191.46740651130676,1450000,-0.0013551764,16.8,0.8707151859998703,0.01751676,0.04195199,5.1319585
15000,7804,-0.005544201,0.004144625,0.029204119824571537,30,197.8410222530365,1500000,-0.0010961539,15.16,0.8691695183515549,0.016320415,0.037910007,5.102196
15500,8129,-0.0059175435,0.0043887636,0.08256707100037602,31,204.87124395370483,1550000,-0.0005426622,14.67,0.8800355494022369,0.014965767,0.042586006,5.074239
16000,8289,-0.006515066,0.004723213,0.10004343166554464,32,211.41513109207153,1600000,0.00063227693,14.33,0.8728881180286407,0.017500421,0.04891999,5.043572
16500,7795,-0.005910843,0.0040924014,0.1515307423489503,33,218.09525656700134,1650000,0.0010821962,14.65,0.8751619011163712,0.016646896,0.039001998,5.023612
17000,7900,-0.006133241,0.004214034,0.11856548141240637,34,224.99115896224976,1700000,0.0003077661,15.33,0.884507805109024,0.015356897,0.039906006,4.99858
17500,8219,-0.006050906,0.004384647,0.10220424000450294,35,231.96682715415955,1750000,0.0009313614,15.3,0.8805882930755615,0.016242178,0.042234007,4.968121
18000,7728,-0.0061543793,0.0045870338,0.10557159872008924,36,238.74219298362732,1800000,0.0020581682,14.55,0.8841158822178841,0.017041286,0.046514,4.9472456
18500,7881,-0.0061556636,0.004378262,0.18521550807017775,37,245.84135627746582,1850000,0.002932591,15.65,0.8943802416324615,0.016198203,0.043140005,4.931739
19000,7772,-0.00659195,0.004817101,0.08659816105879145,38,252.74773383140564,1900000,0.0036161845,16.36,0.8794331103563309,0.020146526,0.050474003,4.911408
19500,5700,-0.006210957,0.0046043694,0.21375465816010547,39,259.72406458854675,1950000,0.003190735,18.34,0.8815991804003716,0.017971063,0.046086002,4.8850236
20000,8245,-0.0065231863,0.0047503193,0.16860480841060052,40,269.15088081359863,2000000,0.0035419506,15.18,0.8961809650063515,0.018106466,0.048110005,4.852536
20500,7908,-0.0064222217,0.0045116623,0.1656646398732846,41,275.85118556022644,2050000,0.003891886,16.01,0.8959525674581528,0.017364819,0.04467399,4.8155537
21000,8098,-0.006550139,0.00461916,0.16465814071794738,42,282.6218903064728,2100000,0.0037729314,16.45,0.898129053413868,0.016192071,0.047220007,4.7799544
21500,8051,-0.0066719516,0.0048027183,0.1652034927274508,43,289.30795669555664,2150000,0.0026206928,16.89,0.8985209614038467,0.017135248,0.048542004,4.7426634
22000,8164,-0.0066911145,0.005073182,0.20524881244928112,44,296.08385825157166,2200000,0.005443377,17.64,0.9059106558561325,0.017215883,0.05377,4.710021
22500,8426,-0.00680254,0.004809102,0.1011243540986834,45,302.9222092628479,2250000,0.00550455,15.45,0.8923438787460327,0.019126562,0.050436,4.6802077
23000,8496,-0.006977533,0.0047727423,0.1718180086225766,46,309.3984444141388,2300000,0.004604913,15.92,0.8905461058020592,0.019991864,0.049935993,4.6477327
23500,8151,-0.00609106,0.004757431,0.09706014562121709,47,315.8912739753723,2350000,0.0065558944,16.08,0.9105595275759697,0.017449453,0.04785599,4.6126614
24000,7979,-0.0069540893,0.004951779,0.19380147992815183,48,322.6052989959717,2400000,0.006241874,18.91,0.907578319311142,0.019260515,0.052443992,4.585208
24500,8010,-0.006655334,0.004660056,0.22322288069000934,49,329.3978805541992,2450000,0.006239383,17.53,0.8932743445038795,0.021094251,0.047126006,4.5545573
25000,8448,-0.006937432,0.0049982574,0.21048904973191385,50,336.3781499862671,2500000,0.0072081275,16.94,0.9036658480763435,0.019362582,0.052514005,4.517919
25500,7983,-0.006698909,0.004808134,0.29190463467501104,51,343.0097904205322,2550000,0.0083628455,17.41,0.9071780890226364,0.019036142,0.050282005,4.489554
26000,8127,-0.0070756883,0.0049945596,0.15862625284637033,52,349.8417091369629,2600000,0.007846366,15.74,0.9140346124768257,0.018341076,0.052702002,4.458986
26500,8349,-0.0067843557,0.004905484,0.09698005760510568,53,356.49689984321594,2650000,0.007716292,15.57,0.9061012640595436,0.018967863,0.05238799,4.4390135
