total_timesteps,serial_timesteps,ep_reward_mean,ep_len_mean,true_reward,policy_entropy,explained_variance,approxkl,policy_loss,fps,value_loss,clipfrac,n_updates,time_elapsed
50000,500,0.9471329936012626,12.56,0.07530597,5.672695,-0.012833356857299805,0.0028460766,-0.002378309,9778,0.10856104,0.020782,1,0.0020618438720703125
100000,1000,1.1455242992937564,14.22,0.07583905,5.6666827,0.40756094455718994,0.002607102,-0.0016614255,10063,0.07101831,0.02001,2,5.354026556015015
150000,1500,1.2013705906644463,15.68,0.075493634,5.662581,0.6116993129253387,0.0033494295,-0.0017366491,10056,0.051345088,0.03174,3,10.412228107452393
200000,2000,1.169923436231911,15.21,0.0750463,5.6589117,0.7661170363426208,0.003368122,-0.0016464485,10088,0.03493459,0.030708004,4,15.486727952957153
250000,2500,1.0768559439480305,14.27,0.07482815,5.6533704,0.807171642780304,0.004033446,-0.001972606,10262,0.03559146,0.045214,5,20.534730434417725
300000,3000,1.149339545816183,14.45,0.074478626,5.649902,0.7486834824085236,0.0035146165,-0.0022992396,10130,0.052368075,0.032324,6,25.524207830429077
350000,3500,0.981371789984405,12.75,0.074690394,5.6482725,0.8264566659927368,0.0035303314,-0.0015564979,10037,0.035435703,0.033464,7,30.564151287078857
400000,4000,1.3907870634447317,17.83,0.07378369,5.64474,0.8278631269931793,0.003932026,-0.0020652874,10105,0.037679337,0.041341998,8,35.63018083572388
450000,4500,1.2794786881134497,17.14,0.07339453,5.6434073,0.8385159075260162,0.0035518217,-0.001981093,9938,0.036855556,0.034612,9,40.766521692276
500000,5000,1.3251915311056655,17.07,0.07267817,5.642989,0.8457980155944824,0.0034309763,-0.0017664509,9956,0.0367309,0.032914,10,45.888930797576904
550000,5500,1.371674589778122,18.41,0.07128097,5.6426554,0.8341022729873657,0.0034820095,-0.0020969876,9950,0.047278292,0.03216,11,50.99770450592041
600000,6000,1.548736908415085,21.27,0.06896676,5.6428046,0.7987962663173676,0.0029390424,-0.002056102,9905,0.071877874,0.026990002,12,56.11036705970764
650000,6500,1.5756295396579663,22.35,0.06692503,5.64361,0.790103480219841,0.002911718,-0.0025692969,9985,0.0964134,0.029655999,13,61.25193691253662
700000,7000,1.6431098325169295,25.59,0.061486963,5.6462064,0.6978706121444702,0.0013049757,-0.0020504745,9823,0.22969504,0.007226,14,66.38289165496826
750000,7500,1.7175358372021583,25.45,0.061349574,5.6492586,0.7201221287250519,0.0023601898,-0.0022484483,10041,0.2011272,0.019237999,15,71.55853748321533
800000,8000,1.801544635707978,25.73,0.05201822,5.6495123,0.4407532215118408,0.0012172679,-0.0018580689,9997,0.6223852,0.007868,16,76.62396931648254
850000,8500,1.7421086203010236,29.88,0.048188675,5.652202,0.4588831067085266,0.0015107545,-0.0016532151,10007,0.8660327,0.009335999,17,81.75282549858093
900000,9000,-1.121206242119515,42.05,0.038737968,5.6563935,0.28466713428497314,0.001379103,-0.0006049448,10001,1.623133,0.010756,18,86.85320973396301
950000,9500,1.1541240371695312,36.12,0.045097437,5.6622515,0.6224758625030518,0.0012206921,-0.0010826826,9949,0.72720134,0.0075940005,19,91.96892523765564
1000000,10000,0.9209357598672068,33.71,0.03384979,5.665705,0.5522078275680542,0.0013126722,-0.00034273605,9870,1.5390761,0.010866001,20,97.09292387962341
1050000,10500,1.506725274211726,37.93,0.042148985,5.670026,0.5515184700489044,0.001183267,-0.0007131748,9997,1.0330943,0.00741,21,102.29641771316528
1100000,11000,-0.5481690964700647,37.63,0.019212889,5.673707,0.4659385681152344,0.0016941872,0.00085485727,9973,3.2861874,0.015178,22,107.39575242996216
1150000,11500,-0.18982505341788056,31.51,0.029021697,5.67764,0.5412085354328156,0.002012005,0.0012023078,9911,2.189188,0.016091999,23,112.49750757217407
1200000,12000,-1.0645012745001987,33.69,0.02770025,5.6816363,0.6424432992935181,0.003359687,0.0026956974,9846,1.8138345,0.028145999,24,117.6370644569397
1250000,12500,0.05683407069294844,43.75,0.031006098,5.686498,0.6832897067070007,0.0010194812,-0.0010687377,9922,1.3075863,0.0073180003,25,122.84446883201599
1300000,13000,-0.1101229379898723,33.57,0.025423411,5.6903424,0.650825172662735,0.0011450815,-0.0012560968,10016,1.8939552,0.007416,26,127.96419095993042
1350000,13500,0.14122052464910667,44.99,0.022038067,5.693604,0.6906448006629944,0.0010061434,-0.0008882742,9942,2.0087206,0.006094,27,133.05029702186584
1400000,14000,-0.22149941566385678,43.72,0.034853946,5.695986,0.7215243577957153,0.0011725478,-0.0006130771,9929,1.4187258,0.006566,28,138.19878506660461
1450000,14500,-1.427726087780233,34.59,0.036463432,5.699732,0.747585266828537,0.0016955656,-0.00031213262,10041,1.3267673,0.012204,29,143.32419562339783
1500000,15000,1.4840754237725924,23.34,0.058261216,5.704993,0.8550269156694412,0.0018992847,-0.0019291041,10032,0.20641951,0.01089,30,148.38765120506287
1550000,15500,1.5375191877631005,22.97,0.056294393,5.7084894,0.7408999800682068,0.0019947882,-0.0021416293,10019,0.73186195,0.013786,31,153.4768681526184
1600000,16000,1.8195898716212104,31.7,0.06077742,5.714157,0.8434890508651733,0.0022934966,-0.0028220282,10004,0.18225268,0.016196001,32,158.56076955795288
1650000,16500,1.683651726692915,24.04,0.069228075,5.7112546,0.8762297183275223,0.002524,-0.0019392142,10015,0.055189244,0.018606002,33,163.64433574676514
1700000,17000,1.5813709163264138,22.81,0.06973681,5.7006006,0.8703791946172714,0.003265959,-0.0024217265,9998,0.05078595,0.028385997,34,168.72622537612915
1750000,17500,1.406835363834616,20.22,0.068707526,5.685336,0.861125037074089,0.002608595,-0.002002221,9950,0.067714795,0.023704,35,173.81329703330994
1800000,18000,1.3911233512719627,19.75,0.0692468,5.6703453,0.8597211241722107,0.0021947513,-0.001964421,9951,0.053467847,0.015632,36,178.9259111881256
1850000,18500,1.633768474435201,22.12,0.06951735,5.658416,0.8650459945201874,0.0032272742,-0.0019321407,9983,0.060448565,0.02874,37,184.0442464351654
1900000,19000,1.6855403787374963,23.96,0.06952556,5.6510324,0.876783937215805,0.0027265716,-0.0019239096,9992,0.05252971,0.025658,38,189.1514801979065
1950000,19500,1.5612819043025956,22.9,0.06832696,5.6442785,0.8732731342315674,0.0025847792,-0.0018452127,9756,0.060851723,0.021546,39,194.24110198020935
2000000,20000,1.6690005211063543,24.41,0.06723455,5.634397,0.8735268861055374,0.0033311085,-0.0023792933,9909,0.06879517,0.032541998,40,199.45894503593445
2050000,20500,1.6958515072986484,22.76,0.06898821,5.6260633,0.8793538212776184,0.0030082173,-0.0019768248,9741,0.055533774,0.026482001,41,204.5986087322235
2100000,21000,1.9508891640548245,27.25,0.06779917,5.61696,0.8728815615177155,0.0027785222,-0.001880922,9950,0.065137744,0.020906,42,209.84697008132935
2150000,21500,1.7302629712485942,25.64,0.06864352,5.606078,0.8863753750920296,0.0033847534,-0.0025657522,9942,0.057013355,0.029835999,43,214.99162912368774
2200000,22000,1.833134547829686,26.21,0.06784225,5.593588,0.867476299405098,0.0036189486,-0.0022102906,9897,0.07583745,0.032718,44,220.11595392227173
2250000,22500,1.8548782511687023,27.59,0.0669959,5.5798984,0.87969820946455,0.0033747156,-0.0021585424,9910,0.06432966,0.028946001,45,225.2468535900116
2300000,23000,1.807768439669453,27.32,0.064887024,5.567096,0.8887888267636299,0.003662339,-0.002161754,9961,0.07166727,0.034086,46,230.3989429473877
2350000,23500,2.3942680002519046,37.1,0.06736016,5.558261,0.8898978307843208,0.0033684266,-0.0017716167,9951,0.062330686,0.030904,47,235.5078935623169
2400000,24000,1.8269765796374304,26.39,0.06619622,5.552738,0.8858474045991898,0.002618915,-0.0014567098,10012,0.07214047,0.01915,48,240.62088179588318
2450000,24500,2.1400940311809973,32.88,0.06658771,5.5489173,0.8905819803476334,0.002620294,-0.0018605785,9962,0.06718363,0.021226,49,245.7153754234314
2500000,25000,2.419911561396657,37.19,0.0653665,5.5458574,0.8909923806786537,0.0022758762,-0.001790092,9996,0.07258697,0.0168,50,250.81762194633484
2550000,25500,2.0621429976212675,29.55,0.06468726,5.540471,0.8966915532946587,0.002891137,-0.0019565625,9978,0.06286595,0.024761999,51,255.90202951431274
2600000,26000,2.147130712520666,33.5,0.064310595,5.530898,0.8927543610334396,0.0033522744,-0.0024589696,9982,0.07694976,0.029962,52,261.0716509819031
2650000,26500,1.7380070713769964,24.97,0.061205532,5.5201764,0.8018127977848053,0.0028777116,-0.002215724,9993,0.1809619,0.021022001,53,266.16988825798035
2700000,27000,2.3793891721966793,35.56,0.06365905,5.5096693,0.8790069222450256,0.0024025096,-0.0019439489,10025,0.09068924,0.017058,54,271.258647441864
2750000,27500,2.0936876108356954,33.98,0.062105883,5.4978743,0.8667946606874466,0.0029855766,-0.0025403134,9980,0.10404302,0.024532,55,276.3360469341278
2800000,28000,2.2185830838587752,33.4,0.06290059,5.4898424,0.871834859251976,0.003098155,-0.0019331112,10001,0.085602015,0.026503999,56,281.45627450942993
2850000,28500,2.302201700873411,34.22,0.062304325,5.4822516,0.8516986817121506,0.0026202481,-0.0020753664,10011,0.11727557,0.020915998,57,286.53588819503784
2900000,29000,2.2978512317054265,34.54,0.06436961,5.475709,0.8675140142440796,0.003448448,-0.0021047355,10029,0.091640756,0.03165,58,291.6095428466797
2950000,29500,1.9366134402816533,36.1,0.06256285,5.469369,0.8550228923559189,0.0027835586,-0.0021552262,9999,0.11561372,0.023314,59,296.68360447883606
3000000,30000,2.2362998261561735,35.54,0.06438245,5.4626517,0.8552584499120712,0.0029449202,-0.0020299316,9970,0.11090598,0.025538001,60,301.76795387268066
3050000,30500,1.4632829080960983,30.36,0.06116799,5.457919,0.7873716354370117,0.002599941,-0.0024117907,10034,0.18901752,0.01845,61,306.8957188129425
3100000,31000,1.0957813235133653,40.07,0.05798568,5.4560256,0.7409493625164032,0.00247966,-0.0021194897,10002,0.44310102,0.020876,62,311.9635593891144
3150000,31500,2.7013004172593353,43.96,0.06295514,5.4548306,0.8433245718479156,0.0030148719,-0.0022942277,9976,0.11467624,0.02813,63,317.04204392433167
3200000,32000,2.1936541965258947,46.13,0.06044916,5.4497766,0.8703928887844086,0.002608905,-0.0021021012,10086,0.10705569,0.02157,64,322.14801692962646
3250000,32500,1.9489536517545094,34.83,0.06386989,5.4412336,0.8706526905298233,0.003029552,-0.0022968252,9986,0.109110735,0.023362,65,327.18266320228577
3300000,33000,2.5377795034669544,39.9,0.06357499,5.433427,0.8926796391606331,0.0022212206,-0.0017819597,10020,0.09243422,0.014948001,66,332.3148844242096
3350000,33500,2.6186503839300714,43.89,0.061605163,5.4236283,0.8874848410487175,0.002665596,-0.002301004,9899,0.09827973,0.023706,67,337.3861882686615
3400000,34000,2.2240774254902136,52.28,0.05965214,5.4162946,0.8630558550357819,0.002209403,-0.0020397801,9953,0.15510139,0.015461999,68,342.5148482322693
3450000,34500,2.185209242902347,42.76,0.059366953,5.4110036,0.8572935312986374,0.003297209,-0.0024051904,9984,0.13446826,0.032696,69,347.65024161338806
3500000,35000,2.5820532181586486,48.81,0.060655985,5.4066157,0.8715016543865204,0.0027533055,-0.0021968526,9960,0.1177095,0.022994,70,352.74105501174927
3550000,35500,1.460534941753722,49.96,0.056555875,5.4030685,0.8302505165338516,0.0021536457,-0.0021079988,9955,0.2674989,0.017396,71,357.83847212791443
3600000,36000,2.964676024116634,49.04,0.057100363,5.401737,0.7883952409029007,0.0027596427,-0.0023155757,10031,0.42700496,0.020848002,72,362.9374256134033
3650000,36500,2.9108633671444113,48.75,0.057476673,5.39602,0.8648581802845001,0.0024801004,-0.0021783202,9974,0.13090034,0.019746,73,367.99965143203735
3700000,37000,2.630941776076652,44.71,0.057187486,5.3869085,0.8628839552402496,0.0028112894,-0.0021789656,9982,0.13087267,0.024018,74,373.10521364212036
3750000,37500,3.0061347488332832,58.81,0.0569574,5.3804426,0.8907490447163582,0.0027297253,-0.0021158115,9966,0.107642315,0.022754,75,378.22529125213623
3800000,38000,2.225627413463262,59.05,0.05429152,5.3732505,0.8865325003862381,0.0034142055,-0.0021945282,10022,0.13371083,0.031386,76,383.31721234321594
3850000,38500,2.771913293556427,56.21,0.055641748,5.3643303,0.8854728117585182,0.002936545,-0.0018412884,9975,0.12862754,0.025432,77,388.39468598365784
3900000,39000,2.8355819112053906,68.81,0.052713905,5.354148,0.8701362162828445,0.002572978,-0.0018810749,9945,0.16759135,0.020564,78,393.5066246986389
3950000,39500,2.361202562026156,61.28,0.047667798,5.346532,0.8839071840047836,0.0028074388,-0.0015872831,10056,0.18061207,0.020798001,79,398.6088066101074
4000000,40000,3.3237393300636904,61.92,0.056499697,5.340641,0.8969156444072723,0.0029488027,-0.0022069872,10080,0.11574666,0.024,80,403.6575164794922
4050000,40500,3.222167822873398,73.88,0.052785844,5.3318596,0.8830350413918495,0.0024756775,-0.0020589884,10010,0.14908421,0.018456,81,408.7018303871155
4100000,41000,3.3057746423918615,55.07,0.057895306,5.323786,0.9008854553103447,0.003046348,-0.0023957214,9992,0.1045951,0.026410002,82,413.7877652645111
4150000,41500,2.875486380553848,65.76,0.052110214,5.314719,0.8990436792373657,0.0036875755,-0.0021343348,10055,0.12665173,0.03536,83,418.8701250553131
4200000,42000,3.961422775827523,75.7,0.054688063,5.3029494,0.8988586291670799,0.0035938367,-0.0024814722,10007,0.12993081,0.03289,84,423.91779136657715
4250000,42500,3.751054457569735,72.25,0.05809873,5.289917,0.8992776200175285,0.0031356819,-0.0018257095,10000,0.09861798,0.02715,85,428.98875308036804
4300000,43000,3.8676105677208397,70.94,0.055608854,5.2768226,0.8981506898999214,0.0032362528,-0.00258905,9981,0.11358514,0.028296,86,434.0712058544159
4350000,43500,2.8185678084326535,65.03,0.050756674,5.2690783,0.8952375575900078,0.0025620891,-0.001820302,9978,0.16002072,0.019568,87,439.1569368839264
4400000,44000,3.2403142957824365,73.3,0.056473617,5.2647314,0.8949915021657944,0.0030371966,-0.0021909424,9991,0.11256961,0.025796,88,444.2440586090088
4450000,44500,3.7024105072035307,67.05,0.055736274,5.2563305,0.9075031653046608,0.0035189867,-0.0023292429,10007,0.10451845,0.032338,89,449.325767993927
4500000,45000,3.6973043868699644,78.8,0.054964814,5.244636,0.9030140116810799,0.0030967179,-0.0020294662,10004,0.11679979,0.024582,90,454.3971359729767
4550000,45500,3.6294868436072285,70.04,0.057005662,5.234904,0.902323305606842,0.0031602539,-0.0023389799,9984,0.11302761,0.029214,91,459.47375535964966
4600000,46000,3.8598562133459198,70.91,0.057168428,5.22722,0.9062803164124489,0.0031239267,-0.0023139017,10050,0.10027623,0.026898002,92,464.55916810035706
4650000,46500,3.8963264054129834,78.24,0.0570648,5.2212176,0.9056807532906532,0.0030417764,-0.0020515523,10063,0.103210375,0.026152,93,469.6169376373291
4700000,47000,4.271842547598644,78.84,0.05866833,5.210406,0.9044333472847939,0.0035706325,-0.0025021276,10029,0.095492,0.034106,94,474.66446900367737
4750000,47500,4.764030801840504,85.83,0.05787598,5.198704,0.9059644564986229,0.0032696687,-0.0019541637,9994,0.09578606,0.029027998,95,479.73183250427246
4800000,48000,4.542263503113736,86.4,0.05641542,5.1866918,0.9116894155740738,0.0035846676,-0.002433997,9994,0.09701569,0.033242,96,484.81295943260193
4850000,48500,5.002860580120178,91.22,0.056558266,5.1731524,0.9064337238669395,0.0028123432,-0.0020718693,10084,0.09652084,0.022302,97,489.89100217819214
4900000,49000,4.699838396304581,91.78,0.055576418,5.1605444,0.9183439910411835,0.0029080599,-0.0020886213,9916,0.097512856,0.02283,98,494.9280767440796
4950000,49500,4.514453516542353,88.25,0.05601645,5.147932,0.9148081243038177,0.0033343073,-0.0023101922,10001,0.10245969,0.029414002,99,500.06625151634216
5000000,50000,5.232988890288507,108.66,0.0553301,5.136055,0.9161848500370979,0.0033838544,-0.0024444829,10017,0.10061099,0.031326,100,505.1461582183838
5050000,50500,4.767995848935425,96.37,0.054343082,5.1230183,0.9138586223125458,0.0029102913,-0.002071489,10003,0.10156454,0.023141999,101,510.2241599559784
5100000,51000,5.473059780877712,107.27,0.054278273,5.1091604,0.9214543402194977,0.0027237968,-0.0019798966,10033,0.10245464,0.020706,102,515.2972922325134
